character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Bayonetta,Ground Attacks,Jab 1,9,31,--,Transitions to jab 2 as early as frame 15,1.4,4,3,--,-19,9—12,19
Bayonetta,Ground Attacks,Jab 2,7,31,--,Transitions to jab 3 as early as frame 14,1.4,4,3,--,-21,7—8,23
Bayonetta,Ground Attacks,Jab 3,7,39,--,Transitions to rapid jab as early as frame 17,2.2,6,3,--,-29,7—8,31
Bayonetta,Ground Attacks,Rapid Jab,6/10/14,--,--,--,0.5/0.2,4,4,--,**,**,--
Bayonetta,Ground Attacks,Rapid Jab Finisher,4/11,62,--,--,5.0,10,6,--,-45,4—5/11—12,50
Bayonetta,Ground Attacks,Forward Tilt 1,12,31,--,Transitions to next hit as early as frame 16,3.0,5,4,--,-15,12,19
Bayonetta,Ground Attacks,Forward Tilt 2,12,39,--,Transitions to next hit as early as frame 16,3.0,5,4,--,-23,12,27
Bayonetta,Ground Attacks,Forward Tilt 3,14,39,--,--,7.0,7,7,--,-21,14—15,24
Bayonetta,Ground Attacks,Up Tilt,7/10/13,29,--,--,1.5/6.0,--,4/9,3/6,-19/-10,7—9(10—12)/13—15,14
Bayonetta,Ground Attacks,Down Tilt,7,28,--,--,5.0/6.0,6/6,6/6,Close/Far,-15,7—8,20
Bayonetta,Ground Attacks,Dash Attack,15,42,--,--,10.0/8.0,8/7,10/8,Early/Late,-17,15—20(21—26),16
Bayonetta,Ground Attacks,Forward Smash,17,66,--,Charge hold is frame 2,16.0/14.0,14/10,11/10,Far/Close,-38/-39,17—21,45
Bayonetta,Ground Attacks,Up Smash,18,64,--,Charge hold is frame 6,17.0/16.0/15.0,11/10/10,11/11/10,Early/Late/Later,-35,18—19(20—21/22—23),41
Bayonetta,Ground Attacks,Down Smash,17/22,65,--,First hit refers to Bayonetta's stomp and is ground only. Charge hold is frame 8.,5.0/16.0/15.0,6/13/12,4/11/10,Stomp/Early/Late,-32,17—18/22(23—25),40
Bayonetta,Ground Attacks,Neutral Air,9,32,10/18,Second landing lag is extended version. Autocancels on frame 34 onward,8.0/6.0/3.0,7/6/5,4/3/2,Early/Late/Extend,-6/-7/-16,9—17(18—25) (full extended 26—66),--
