character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Cloud,Ground Attacks,Jab 1,4,29,--,Transitions to jab 2 as early as frame 8,2.5,7,4,--,-21,4—5,24
Cloud,Ground Attacks,Jab 2,5,32,--,Transitions to jab 3 as early as frame 9,2.0,5,3,--,-24,5—6,26
Cloud,Ground Attacks,Jab 3,6,37,--,--,3.5,10,4,--,-27,6—7,30
Cloud,Ground Attacks,Forward Tilt,9,35,--,--,11.0,8,10,--,-16,9—10,25
Cloud,Ground Attacks,Up Tilt,6,32,--,--,8.0,7,8,--,-18,6—9,23
Cloud,Ground Attacks,Down Tilt,7,40,--,Back leg intangibility on frames 7-17.,7.0,7,7,--,-26,7—8(9—17),23
Cloud,Ground Attacks,Dash Attack,9,45,--,--,11.0/8.0,8/7,10/8,Early/Late,-26,9—13(14—18),27
Cloud,Ground Attacks,Forward Smash,19/24/28,66,--,Charge hold is frame 5,3.0/2.0/(13.0/12.0),7/7/(16/15),3/3/(9/8),First/Second/(Final Close/Far),-29/-30,19/24/28,38
Cloud,Ground Attacks,Up Smash,12,45,--,Charge hold is frame 5,13.0/8.0,10/7,9/6,--,-24,12(13—14/15—16),29
Cloud,Ground Attacks,Down Smash,8/21,49,--,Charge hold is frame 2,3.0/11.0,5/11,3/8,--,-38/-20,8—9/21—23,26
Cloud,Ground Attacks,Neutral Air,5,38,9,Autocancels on frame 31 onward,8.0,7,4,--,-5,5—15,23
Cloud,Ground Attacks,Forward Air,18,53,11,Autocancels on frame 1-2 and 43 onward,13.0/14.0/11.0,12/12/8,5/5/4,Early/Tipper/Late,-6/-6/-7,18—19(20—25),28
Cloud,Ground Attacks,Back Air,11,42,8,Autocancels on frame 1-4 and 37 onward,13.0,9,5,--,-3,11—12,30
Cloud,Ground Attacks,Up Air,8,44,9,Autocancels on frame 32 onward,11.0/8.0,10/7,4/4,Early/Late,-5/-5,8—9(10—23),21
Cloud,Ground Attacks,Down Air,11,64,16,Autocancels on frame 1-4 and 46 onward,13.0/8.0,14/9,5/4,Early/Late,-11/-12,11—13(14—39),25
Cloud,Ground Attacks,Neutral B (Blade Beam),18(18),53(60),--,Windbox on 16–17.,8.0/6.0(6.4/4.8),7/6(6/6),3/3(3/3),Ground Early/Late (Air Early/Late),-25(-33),18—35(36—67),--
Cloud,Ground Attacks,Limit Blade Beam,16 (1/7/13/19/25/28),60,--,Invulnerable on frame 10-17,6.0/2.0/3.0 (Air: 4.8/1.6/2.4),-/4/5,-/2/2,First/Multi/Final,-9,"16—62, Multihits: (1—28 (Rehit : 6)/29—30)",--
