character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Corrin,Ground Attacks,Jab 1,5,27,--,Transitions to jab 2 as early as frame 9,2.0/2.5,7/8,3/4,Close/Far,-19/-18,5—6,21
Corrin,Ground Attacks,Jab 2,4,29,--,Transitions to jab 3 as early as frame 9 and rapid as early as 8.,2.0,5,3,--,-22,4—5,24
Corrin,Ground Attacks,Jab 3,6,30,--,--,3.0/4.0,9/10,4/5,Close/Far,-20/-19,6—7,23
Corrin,Ground Attacks,Rapid Jab,12/16/20...,--,--,--,0.5,4,--,--,**,**,--
Corrin,Ground Attacks,Rapid Jab Finisher,3,39,--,--,3.0,14,4,--,-32,3—4,35
Corrin,Ground Attacks,Forward Tilt,8,34,--,--,10.5,8,10,--,-16,8—9,25
Corrin,Ground Attacks,Up Tilt,7,35,--,--,9.0,7,9,--,-19,7—8(9—16),19
Corrin,Ground Attacks,Down Tilt,5,30,--,--,7.5,7,8,--,-17,5—7,23
Corrin,Ground Attacks,Dash Attack,12/14/16/18/20/23,49,--,--,2.0/3.0,4/9,--/4,Multi/Final,-22,12/14/16/18/20/23,26
Corrin,Ground Attacks,Forward Smash,12/17,56,--,Charging hold is frame 12 and includes a hitbox that hits every 5 frames,0.5/11.0/12.0/16.7,4/9/9/16,2/13/13/17,Charging/Close/Far/Tipper,-26/-26/-22,12—**/17—18,38
Corrin,Ground Attacks,Up Smash,13,51,--,Charge hold is frame 9,10.0/13.0/15.0,8/9/14,7/9/10,Close/Far/Tipper,-31/-29/-28,13—17,34
Corrin,Ground Attacks,Down Smash,13,48,--,Charge hold is frame 8,11.0/9.0/14.0,8/7/14,8/7/10,Front/Back/Tipper,-27/-28/-25,13—15,33
Corrin,Ground Attacks,Neutral Air,6,46,10,Autocancels on frame 1-5 and 47 onward,7.0/5.5,7/6,3/3,Early/Late,-7/-7,6—7(8—19),27
Corrin,Ground Attacks,Forward Air,9,35,8,Autocancels on frame 1-8 and 30 onward,9.0,6,4,--,-4,9—12,23
Corrin,Ground Attacks,Back Air,13,41,13,Autocancels on frame 1-5 and 42 onward,12.0/9.0,9/7,5/4,Early/Late,-8/-9,13(14—16),25
Corrin,Ground Attacks,Up Air,7,37,9,Autocancels on frame 1-3 and 38 onward,10.0,7,4,--,-5,7—12,25
Corrin,Ground Attacks,Down Air,12...,51,26,Landing hit on frame 1. Autocancels on frame 1-11 and 41 onward,2.0/3.0,4/5,2/4,Falling/Landing,-21,12—28(rehit: 2)/1—5,23
Corrin,Ground Attacks,Neutral B (Dragon Fang Shot),17—47,61—95,--,--,4.0—11.0,5—8,2—4,--,**,17—71,--
Corrin,Ground Attacks,Dragon Fang Shot (chomp),24-54-85,--,--,Chomp can be charged an additional 30 frames independently of shot for more damage.,10.0—20.0,8—20,10—18,--,-31 to -19,24—25/**/85—86,--
Corrin,Ground Attacks,"Side B (Dragon Lunge, Pin)",4,--,--,"After pinning the ground, 13 frame waiting period before you can select one of the options. Empty hop on the ground without Pin is 45 frames. Cannot pin a shielding target.",7.0,7,7,--,-6,**,--
