character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Donkey_kong,Ground Attacks,Jab 1,5,24,--,Transitions to Jab 2 as early as frame 8.,4.0,8,5,--,-14,5—6,18
Donkey_kong,Ground Attacks,Jab 2,4,31,--,--,6.0,12,7,--,-20,4—6,25
Donkey_kong,Ground Attacks,Forward Tilt,7,34,--,Arm intangibility on frame 6-9,8.0/9.0,7/8,8/9,No angle/angled,-19/-18,7—9,25
Donkey_kong,Ground Attacks,Up Tilt,5,38,--,Arm intangibility on frame 5-11,10.0,8,9,--,-24,5—11,27
Donkey_kong,Ground Attacks,Down Tilt,6,24,--,Arm intangibility on frame 5-7,6.0,6,7,--,-11,6—7,17
Donkey_kong,Ground Attacks,Dash Attack,9,34,--,--,12.0/9.0,11/9,12/9,Early/Late,-13,9—12/13—24,10
Donkey_kong,Ground Attacks,Forward Smash,22,54,--,Arm and head intangibility on frame 20-26. Charge hold is frame 14. Cannot rebound.,22.0/21.0,19/19,15/14,Far/Close,-17/-18,22—23,31
Donkey_kong,Ground Attacks,Up Smash,14,49,--,Arm and head intangibility on frame 12-15. Charge hold is frame 6. Cannot rebound.,19.0,12,13,--,-22,14—15,34
Donkey_kong,Ground Attacks,Down Smash,11,55,--,Arm intangibility on frame 11-14. Charge hold is frame 2. Cannot rebound.,17.0/18.0/14.0,11,12,Early Fist/Late Fist/Arms,-32,11—12/13—14,41
Donkey_kong,Ground Attacks,Neutral Air,10,38,10,Autocancels on frame 1-9 and 27 onward,12.0/9.0,9/8,5/4,Early/Late,-5/-6,10—13/14—26,12
Donkey_kong,Ground Attacks,Forward Air,18,55,17,Autocancels on frame 56 onward,16.0/15.0/13.0,11/16/14,6/6/5,Early/Late Meteor/Late Arms,-12/-11/-12,18—20/21—23,32
Donkey_kong,Ground Attacks,Back Air,7,31,11,Autocancels on frame 1-6 and 31 onward,13.0/8.0,9/7,5/4,Early/Late,-6/-7,7—8/9—16,15
Donkey_kong,Ground Attacks,Up Air,6,37,15,Head intangibility on frame 5-10. Autocancels on frame 1-5 and 26 onward,13.0,9,5,--,-10,6—10,27
Donkey_kong,Ground Attacks,Down Air,14,54,14,Autocancels on frame 1-2 and 50 onward,16.0/13.0,10/9,6/5,--,-8/-9,14—16,38
Donkey_kong,Ground Attacks,Neutral B (Giant Punch),19(+7),62,--,Entering charge window takes 7 frames. 4 to cancel with shield. Arm intangibility on frame 4-20. Cannot rebound.,10.0—27.0,8—16,10—24,--,-33 to -19,26—27 (19—20 after starting charge),35
Donkey_kong,Ground Attacks,"Giant Punch, Full Charge",19,47,--,Ground version has Super Armor frames 9-20. Air version has Super Armor frames 15-20. Takes 111 frames to reach full charge. Cannot rebound.,Grounded: 28.0%/18.0% | Aerial: 25.0,16,25,--,-3,19—20,27
Donkey_kong,Ground Attacks,Side B (Headbutt),20,62,--,Super armor on frame 5-14 on the ground and in the air.,10.0,8,10,--,-32,20—21,41
Donkey_kong,Ground Attacks,Up B (Spinning Kong),19/25/32/40/49/55/62,104,--,Armor on frame 5-17. Arm intangibility on frame 19-24.,5.0/1.3/4.0,6/4/11,6/3/5,First/multi/Final,-37,¯\_(ツ)_/¯ (19/25-27/32-33/40-42/49-50/55-58/62),42
Donkey_kong,Ground Attacks,"Spinning Kong, Air",4/12...,--,38,"Past frame 12, this move hits once every 1, 2, or 3 frames, seems inconsistent. Arm intangibility from frame 10-38.",5.0/1.0/2.0,6/4/4,6/2/3,First/Multi/Final,**,¯\_(ツ)_/¯ (4-6/10-12/13-14/15-17/18-19/20-21/22-24/25-26/27-29/30-31/32-33/34-36/37-38/39-43),--
Donkey_kong,Ground Attacks,Down B (Hand Slap),12/23,46,--,Each additional rep takes another 26 frames as you mash.,14.0,10,8,--,-15,12—13/23—24...,22
Donkey_kong,Ground Attacks,"Hand Slap, Air",19/28,49,10,Transcendent priority.,5.0/6.0,6/6,6/6,First/Second,-4,19—21/28—30,19
Donkey_kong,Ground Attacks,Grab,8,38,--,--,--,,,,,8—10,28
Donkey_kong,Ground Attacks,Dash Grab,11,46,--,--,--,,,,,11—13,33
Donkey_kong,Ground Attacks,Pivot Grab,12,41,--,--,--,,,,,12—14,27
Donkey_kong,Ground Attacks,Pummel,2,21,--,Total frames includes 15 frames of hitlag,1.6,,,,,,
Donkey_kong,Ground Attacks,Cargo Forward Throw,15,45,--,--,12.0,,,,,,
Donkey_kong,Ground Attacks,Cargo Backward Throw,16,42,--,--,13.0,,,,,,
Donkey_kong,Ground Attacks,Cargo Up Throw,15,29,--,--,12.0,,,,,,
Donkey_kong,Ground Attacks,Cargo Down Throw,17,44,--,--,11.0,,,,,,
Donkey_kong,Ground Attacks,Backward Throw,15,39,--,--,11.0,,,,,,
Donkey_kong,Ground Attacks,Up Throw,14,43,--,--,9.0,,,,,,
Donkey_kong,Ground Attacks,Down Throw,19,54,--,--,7.0,,,,,,
Donkey_kong,Ground Attacks,Spot Dodge,,21/26,--,Intangible on frame 3-17,,,,,,,
Donkey_kong,Ground Attacks,Forward Roll,,30,--,Intangible on frame 4-15,,,,,,,
Donkey_kong,Ground Attacks,Backward Roll,,35,--,Intangible on frame 5-16,,,,,,,
Donkey_kong,Ground Attacks,Neutral Air Dodge,,48,10,Intangible on frame 4-32,,,,,,,
Donkey_kong,Ground Attacks,"Air Dodge, Down",,66,11-19,Intangible on frame 4-22,,,,,,,
Donkey_kong,Ground Attacks,"Air Dodge, Diagonally Down",,73,11-19,Intangible on frame 4-22,,,,,,,
Donkey_kong,Ground Attacks,"Air Dodge, Left/Right",,82,11-19,Intangible on frame 4-22,,,,,,,
Donkey_kong,Ground Attacks,"Air Dodge, Diagonally Up",,88,11-19,Intangible on frame 4-22,,,,,,,
Donkey_kong,Ground Attacks,"Air Dodge, Up",,109,11-19,Intangible on frame 4-22,,,,,,,
Donkey_kong,Ground Attacks,Stats,,,,,,,,,,,
Donkey_kong,Ground Attacks,Ledge Grab,,,,,,,,,,,
Donkey_kong,Ground Attacks,Ledge Hang,,,,,,,,,,,
Donkey_kong,Ground Attacks,Ledge Roll,,,,,,,,,,,
Donkey_kong,Ground Attacks,Getup Attacks,,,,,,,,,,,
Donkey_kong,Aerial Attacks,Neutral Air,10,38,10,Autocancels on frame 1-9 and 27 onward,12.0/9.0,9/8,5/4,Early/Late,-5/-6,10—13/14—26,12
Donkey_kong,Aerial Attacks,Forward Air,18,55,17,Autocancels on frame 56 onward,16.0/15.0/13.0,11/16/14,6/6/5,Early/Late Meteor/Late Arms,-12/-11/-12,18—20/21—23,32
Donkey_kong,Aerial Attacks,Back Air,7,31,11,Autocancels on frame 1-6 and 31 onward,13.0/8.0,9/7,5/4,Early/Late,-6/-7,7—8/9—16,15
Donkey_kong,Aerial Attacks,Up Air,6,37,15,Head intangibility on frame 5-10. Autocancels on frame 1-5 and 26 onward,13.0,9,5,--,-10,6—10,27
Donkey_kong,Aerial Attacks,Down Air,14,54,14,Autocancels on frame 1-2 and 50 onward,16.0/13.0,10/9,6/5,--,-8/-9,14—16,38
Donkey_kong,Aerial Attacks,Neutral B (Giant Punch),19(+7),62,--,Entering charge window takes 7 frames. 4 to cancel with shield. Arm intangibility on frame 4-20. Cannot rebound.,10.0—27.0,8—16,10—24,--,-33 to -19,26—27 (19—20 after starting charge),35
Donkey_kong,Aerial Attacks,"Giant Punch, Full Charge",19,47,--,Ground version has Super Armor frames 9-20. Air version has Super Armor frames 15-20. Takes 111 frames to reach full charge. Cannot rebound.,Grounded: 28.0%/18.0% | Aerial: 25.0,16,25,--,-3,19—20,27
Donkey_kong,Aerial Attacks,Side B (Headbutt),20,62,--,Super armor on frame 5-14 on the ground and in the air.,10.0,8,10,--,-32,20—21,41
Donkey_kong,Aerial Attacks,Up B (Spinning Kong),19/25/32/40/49/55/62,104,--,Armor on frame 5-17. Arm intangibility on frame 19-24.,5.0/1.3/4.0,6/4/11,6/3/5,First/multi/Final,-37,¯\_(ツ)_/¯ (19/25-27/32-33/40-42/49-50/55-58/62),42
