character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Dr_mario,Ground Attacks,Jab 1,2,19,--,Transitions to Jab 2 as early as frame 5,2.9,9,4,--,-13,2—3,16
Dr_mario,Ground Attacks,Jab 2,2,21,--,Transitions to Jab 3 as early as frame 6,1.7,5,3,--,-16,2—3,18
Dr_mario,Ground Attacks,Jab 3,3,33,--,--,4.7,12,5,--,-25,3—4,29
Dr_mario,Ground Attacks,Forward Tilt,5,25,--,--,10.5,7,8,--,-12,5—7,18
Dr_mario,Ground Attacks,Up Tilt,5,29,--,--,7.4,7,7,--,-17,5—11,18
Dr_mario,Ground Attacks,Down Tilt,5,27,--,--,8.2/5.8,7/6,8/6,Close/Far,-14/-16,5—7,20
Dr_mario,Ground Attacks,Dash Attack,6,37,--,--,11.5/7.0,9/7,19/12,Early/Late,-12,6—9/10—25,12
Dr_mario,Ground Attacks,Forward Smash,15,47,--,Charge hold is frame 5.,20.9/17.2,16/15,14/12,Close/Far,-18/-20,15—17,30
Dr_mario,Ground Attacks,Up Smash,9,39,--,Head Invulnerability on frame 9-13. Charge hold is frame 6.,16.4,11,11,--,-19,9—13,26
Dr_mario,Ground Attacks,Down Smash,5/14,43,--,Charge hold is frame 2.,11.7/14.1,9/10,8/10,First/Second,-30/-19,5—6/14,29
Dr_mario,Ground Attacks,Neutral Air,3,45,7,"Autocancels on frame 1-2 and 34 onward. Stronger the longer it's out (opposite of most ""sex kicks"").",5.9/11.7,6/8,3/4,Early/Late,-4/-3,3—10/11—27,18
Dr_mario,Ground Attacks,Forward Air,16,59,17,Auto cancels on frame 1-2 and frame 43 onward.,11.7/17.6/10.5,11/9/*,6/5/*,Early/Clean/Late,-11/-12,16/17—20/21,38
Dr_mario,Ground Attacks,Back Air,6,33,10,Auto cancels on frame 1-5 and frame 19 onward.,14.1/8.2,10/7,5/4,Early/Late,-5/-6,6—8/9—13,20
Dr_mario,Ground Attacks,Up Air,4,30,8,Auto cancels on frame 17 onward.,10.2,8,4,--,-4,4—7,23
Dr_mario,Ground Attacks,Down Air,14,42,13,Auto cancels on frame 1-5 and frame 33 onward.,14.1,10,5,--,-8,14—17,25
Dr_mario,Ground Attacks,Neutral B (Megavitamin Pill),17,49,--,--,5.8/4.7,6/6,3/3,Early/Late,-23,17—46/47—86,--
Dr_mario,Ground Attacks,Side B (Super Sheet),12,35,--,Reflects on frame 9-22.,8.2,7,8,--,-15,12—16,19
