character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Fox,Ground Attacks,Jab 1,2,17,--,Transitions to Jab 2 as early as frame 5.,1.8,8,3,--,-12,2,15
Fox,Ground Attacks,Jab 2,2,20,--,Transitions to Rapid Jab as early as frame 6.,1.0,5,2,--,-16,2,18
Fox,Ground Attacks,Rapid Jab,5/7/9/...,--,--,--,0.6,4,--,--,--,5/7/9...,--
Fox,Ground Attacks,Rapid Jab Finisher,3,38,--,--,2.0,14,3,--,-32,3,35
Fox,Ground Attacks,Forward Tilt,6,23,--,Deals 1.0 more damage when angled.,6.0/7.0,6/7,7/7,No Angle/Angled,-10/-10,6—8,15
Fox,Ground Attacks,Up Tilt,3,27,--,--,(6.0%/7.0%/8.0%)/(5.0%/6.0%),6/7,7/8,(Clean (Leg/Aerial Foot/Grounded Foot)/Late (Leg/Foot)),-17/-16,3—5(6—7),20
Fox,Ground Attacks,Down Tilt,7,27,--,--,8.0/7.0,7/7,8/7,Close/far,-12/-13,7—8,19
Fox,Ground Attacks,Dash Attack,4,31,--,--,6.0/4.0,7/6,11/7,Early/Late,-16,4—7(8—15),16
Fox,Ground Attacks,Forward Smash,13,45,--,Charge hold is frame 4,14.0(11.0),10,10,--,-22,13—14(15-16),31
Fox,Ground Attacks,Up Smash,8,55,--,Charge hold is frame 2,16.0/11.0,10/8,11/8,Early/Late,-36,8—9/10—11,44
Fox,Ground Attacks,Down Smash,6,52,--,Leg intangibility on frame 6-7. Charge hold is frame 2,14.0/12.0,10,10,Outer/Inner,-36,6—7,45
Fox,Ground Attacks,Neutral Air,4,38,7,Autocancels on frame 1-3 and 32 onward,9.0/6.0,8/6,4/3,Early/Late,-3/-4,4—6/7—23,15
Fox,Ground Attacks,Forward Air,7/11/16/21/26,43,18,Landing hit on frame 1. Autocancels on frame 46 onward,1.8/1.2/1.72.7/4.8/2.0,4/4/4/5/12/9,2/2/2/2/3/3,Last one is landing hitbox,-14,7—8/11—12/16—17/21—22/26—27,16
Fox,Ground Attacks,Back Air,9,48,9,Autocancels on frame 1-6 and 18 onward,13.0,9,5,--,-4,9—11,37
Fox,Ground Attacks,Up Air,9/12,35,13,Autocancels on frame 1-8 and 25 onward,5.0/10.0,6/8,3/4,First/Second,-10/-9,9—10/12—13,22
Fox,Ground Attacks,Down Air,5/8/11/14/17/20/23,49,17,Landing hit on frame 1. Autocancels on frame 1-4 and 28 onward,1.4/3.0/1.0,4/10/8,2/2/2,Multi/final/landing,-14,5—6/8—9/11—12/14—15/17—18/20—21/23/**,--
Fox,Ground Attacks,Neutral B (Blaster),"11/13/20, 9/11/18","36, 34",--,Fire rate is one shot per 10 frames.,3.0/2.0/1.4,5/4/4,2/2/2,"Ground Early/Normal/Late, Air Early/Normal/Late",-18/-19/-19,"11—12/13—19/20—32, 9—10/11—17/18—30",6
Fox,Ground Attacks,Side B (Fox Illusion),25/25,55/72,16,Fox does not suffer hitlag/shieldlag from this attack. Advantage assumes lowest altitude possible. *Hitboxes actually trail behind the character and are not actually on Fox.*,8.0/5.0,7/6,3/3,Ground/Air,-18/-28,25—29/25—29,24
Fox,Ground Attacks,Up B (Fire Fox),20/22/24/26/28/30/32/43/47,91,20,Total frames is when traveling along the ground.,1.7/16.0,4/10,3/14,Multi/Final,-34,20/22/24/26/28/30/32/43—46/47—72,19
Fox,Ground Attacks,Down B (Reflector),3,36,--,Invulnerable on frame 2-3 Reflects as early as frame 4.,2.0,7,3,--,-30,--,--
Fox,Ground Attacks,Grab,6,36,--,--,--,,,,,6—7,29
Fox,Ground Attacks,Dash Grab,10,44,--,--,--,,,,,10—11,33
Fox,Ground Attacks,Pivot Grab,11,39,--,--,--,,,,,11—12,27
Fox,Ground Attacks,Pummel,1,15,Total frames includes 10 frames of hitlag.,--,1.0,,,,,,
Fox,Ground Attacks,Forward Throw,10/11,33,--,--,4.0/3.0,,,,,,
Fox,Ground Attacks,Backward Throw,10/16/19/22,49,--,"Victim is thrown at 10. Blaster shots at 16, 19, 22.",2.0/2.0,,,,,,
Fox,Ground Attacks,Up Throw,7/18/21/24,49,--,"Victim is thrown at 7. Blaster shots at 18, 21, 24.",2.0/2.0,,,,,,
Fox,Ground Attacks,Down Throw,26/29/32/34,54,--,--,2.0/1.0,,,,,,
Fox,Ground Attacks,Spot Dodge,,18/23,--,Intangible on frame 3-14.,,,,,,,
Fox,Ground Attacks,Forward Roll,,26,--,Intangible on frame 4-12.,,,,,,,
Fox,Ground Attacks,Backward Roll,,32,--,Intangible on frame 4-14.,,,,,,,
Fox,Ground Attacks,Neutral Air Dodge,,38,10,Intangible on frame 2-26.,,,,,,,
Fox,Ground Attacks,"Air Dodge, Down",,54,11-19,Intangible on frame 2-19.,,,,,,,
Fox,Ground Attacks,"Air Dodge, Diagonally Down",,59,11-19,Intangible on frame 2-19.,,,,,,,
Fox,Ground Attacks,"Air Dodge, Left/Right",,64,11-19,Intangible on frame 2-19.,,,,,,,
Fox,Ground Attacks,"Air Dodge, Diagonally Up",,70,11-19,Intangible on frame 2-19.,,,,,,,
Fox,Ground Attacks,"Air Dodge, Up",,75,11-19,Intangible on frame 2-19.,,,,,,,
Fox,Ground Attacks,Stats,,,,,,,,,,,
Fox,Ground Attacks,Ledge Grab,,,,,,,,,,,
Fox,Ground Attacks,Ledge Hang,,,,,,,,,,,
Fox,Ground Attacks,Ledge Roll,,,,,,,,,,,
Fox,Ground Attacks,Getup Attacks,,,,,,,,,,,
Fox,Aerial Attacks,Neutral Air,4,38,7,Autocancels on frame 1-3 and 32 onward,9.0/6.0,8/6,4/3,Early/Late,-3/-4,4—6/7—23,15
Fox,Aerial Attacks,Forward Air,7/11/16/21/26,43,18,Landing hit on frame 1. Autocancels on frame 46 onward,1.8/1.2/1.72.7/4.8/2.0,4/4/4/5/12/9,2/2/2/2/3/3,Last one is landing hitbox,-14,7—8/11—12/16—17/21—22/26—27,16
Fox,Aerial Attacks,Back Air,9,48,9,Autocancels on frame 1-6 and 18 onward,13.0,9,5,--,-4,9—11,37
Fox,Aerial Attacks,Up Air,9/12,35,13,Autocancels on frame 1-8 and 25 onward,5.0/10.0,6/8,3/4,First/Second,-10/-9,9—10/12—13,22
Fox,Aerial Attacks,Down Air,5/8/11/14/17/20/23,49,17,Landing hit on frame 1. Autocancels on frame 1-4 and 28 onward,1.4/3.0/1.0,4/10/8,2/2/2,Multi/final/landing,-14,5—6/8—9/11—12/14—15/17—18/20—21/23/**,--
Fox,Aerial Attacks,Neutral B (Blaster),"11/13/20, 9/11/18","36, 34",--,Fire rate is one shot per 10 frames.,3.0/2.0/1.4,5/4/4,2/2/2,"Ground Early/Normal/Late, Air Early/Normal/Late",-18/-19/-19,"11—12/13—19/20—32, 9—10/11—17/18—30",6
Fox,Aerial Attacks,Side B (Fox Illusion),25/25,55/72,16,Fox does not suffer hitlag/shieldlag from this attack. Advantage assumes lowest altitude possible. *Hitboxes actually trail behind the character and are not actually on Fox.*,8.0/5.0,7/6,3/3,Ground/Air,-18/-28,25—29/25—29,24
Fox,Aerial Attacks,Up B (Fire Fox),20/22/24/26/28/30/32/43/47,91,20,Total frames is when traveling along the ground.,1.7/16.0,4/10,3/14,Multi/Final,-34,20/22/24/26/28/30/32/43—46/47—72,19
Fox,Aerial Attacks,Down B (Reflector),3,36,--,Invulnerable on frame 2-3 Reflects as early as frame 4.,2.0,7,3,--,-30,--,--
Fox,Aerial Attacks,Grab,6,36,--,--,--,,,,,6—7,29
Fox,Aerial Attacks,Dash Grab,10,44,--,--,--,,,,,10—11,33
Fox,Aerial Attacks,Pivot Grab,11,39,--,--,--,,,,,11—12,27
Fox,Aerial Attacks,Pummel,1,15,Total frames includes 10 frames of hitlag.,--,1.0,,,,,,
Fox,Aerial Attacks,Forward Throw,10/11,33,--,--,4.0/3.0,,,,,,
Fox,Aerial Attacks,Backward Throw,10/16/19/22,49,--,"Victim is thrown at 10. Blaster shots at 16, 19, 22.",2.0/2.0,,,,,,
Fox,Aerial Attacks,Up Throw,7/18/21/24,49,--,"Victim is thrown at 7. Blaster shots at 18, 21, 24.",2.0/2.0,,,,,,
Fox,Aerial Attacks,Down Throw,26/29/32/34,54,--,--,2.0/1.0,,,,,,
Fox,Aerial Attacks,Spot Dodge,,18/23,--,Intangible on frame 3-14.,,,,,,,
Fox,Aerial Attacks,Forward Roll,,26,--,Intangible on frame 4-12.,,,,,,,
Fox,Aerial Attacks,Backward Roll,,32,--,Intangible on frame 4-14.,,,,,,,
Fox,Aerial Attacks,Neutral Air Dodge,,38,10,Intangible on frame 2-26.,,,,,,,
Fox,Aerial Attacks,"Air Dodge, Down",,54,11-19,Intangible on frame 2-19.,,,,,,,
Fox,Aerial Attacks,"Air Dodge, Diagonally Down",,59,11-19,Intangible on frame 2-19.,,,,,,,
Fox,Aerial Attacks,"Air Dodge, Left/Right",,64,11-19,Intangible on frame 2-19.,,,,,,,
Fox,Aerial Attacks,"Air Dodge, Diagonally Up",,70,11-19,Intangible on frame 2-19.,,,,,,,
Fox,Aerial Attacks,"Air Dodge, Up",,75,11-19,Intangible on frame 2-19.,,,,,,,
Fox,Aerial Attacks,Stats,,,,,,,,,,,
Fox,Aerial Attacks,Ledge Grab,,,,,,,,,,,
Fox,Aerial Attacks,Ledge Hang,,,,,,,,,,,
Fox,Aerial Attacks,Ledge Roll,,,,,,,,,,,
Fox,Aerial Attacks,Getup Attacks,,,,,,,,,,,
Fox,Special Attacks,Neutral B (Blaster),"11/13/20, 9/11/18","36, 34",--,Fire rate is one shot per 10 frames.,3.0/2.0/1.4,5/4/4,2/2/2,"Ground Early/Normal/Late, Air Early/Normal/Late",-18/-19/-19,"11—12/13—19/20—32, 9—10/11—17/18—30",6
