character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Ice_climbers,Ground Attacks,Jab 1,4,27,--,Transitions to Jab 2 as early as frame 10.,2.0(1.5),6(6),3(3),--,-20(-15),4—5,22
Ice_climbers,Ground Attacks,Jab 2,4,29,--,--,3.5(2.6),9(9),4(4),--,-21(-12),4—5,24
Ice_climbers,Ground Attacks,Forward Tilt,9,29,--,--,9.0(6.7),7(6),9(7),--,-14(-10),9—10,19
Ice_climbers,Ground Attacks,Up Tilt,8/11/14/17/20/23/27,48,--,--,0.8/4.5(0.6/3.0),4/11(4/10),2/5(2/4),--,-16(-7),8—9/11—12/14—15/17—18/20—21/23—24/27,21
Ice_climbers,Ground Attacks,Down Tilt,8,30,--,--,6.0(4.5),6(5),6(5),--,-16(-10),8—11,19
Ice_climbers,Ground Attacks,Dash Attack,9,39,--,--,6.0(4.5),6(5),6(5),--,-24(-18),9—12,27
Ice_climbers,Ground Attacks,Forward Smash,11,46,--,Charge hold is frame 4,12.0(9.0),9(7),8(7),--,-27(-22),11—13,33
Ice_climbers,Ground Attacks,Up Smash,12,49,--,Charge hold is frame 7,11.0(8.2),8(7),8(6),--,-29(-24),12—17,32
Ice_climbers,Ground Attacks,Down Smash,9/16,40,--,Charge hold is frame 4,13.0(9.7),9/8,9/7,--,-22/-17,9—11/16,24
Ice_climbers,Ground Attacks,Neutral Air,6,45,7,Autocancels on frame 1-5 and 30 onward,7.0(5.2),7(6),3(3),--,-4(+2),6—23,22
Ice_climbers,Ground Attacks,Forward Air,19,56,10,Autocancels on frame 1-2 and 49 onward,12.0(9.0),9(7),5(4),--,-5(+3),19—20,36
Ice_climbers,Ground Attacks,Back Air,8,35,7,Autocancels on frame 1-7 and 19 onward,10.0(7.5),8(7),4(3),--,-3(+0),8—11,24
Ice_climbers,Ground Attacks,Up Air,7,35,14,Autocancels on frame 1-6 and 27 onward,9.0(6.7),7(6),4(3),--,-10(-3),7—11,24
Ice_climbers,Ground Attacks,Down Air,12,63,20,Autocancels on frame 54 onward,8.0(6.0),7(6),4(3),--,-16(-12),12—51,12
Ice_climbers,Ground Attacks,Neutral B (Ice Shot),18/19,55,--,--,3.5/3.5,5,2,--,-29(-24),18/19—**,--
Ice_climbers,Ground Attacks,"Side B, both (Squal Hammer, both)",10/14/18/23/28/34/40/51,77,29,Landing lag only occurs if you enter special fall.,2.0/4.0,4/8,3/5,--,-21,10/14/18/23/28/34/40/51—52,25
Ice_climbers,Ground Attacks,"Side B, alone (Squal Hammer, alone)",10/13/15/18/21/24/28/32/37/42/49,77,29,Landing lag only occurs if you enter special fall.,1.2/2.0,4/4,3/3,--,-24,10/13/15/18/21/24/28/32/37/42/49—50,27
Ice_climbers,Ground Attacks,Up B (Belay),13,--,27,Hitting somebody with this move reduces its height gain for your climber. The AI is invulnerable frame 1-15 and invincible frame 16-33,16.0,10,14,--,--,16—33,--
Ice_climbers,Ground Attacks,Down B (Blizzard),16/21/26/31/36/41/46/51/56,84,--,The game randomly picks an angle between 60 and 115 for each shot and then flips to face in front of the Ice Climbers. The angles thus vary between -30 and 25.,1.8%/1.0%/1.0%,4,2,--,-22(-15),lul,--
Ice_climbers,Ground Attacks,Grab,8,39,--,--,--,,,,,8—9,30
Ice_climbers,Ground Attacks,Dash Grab,10,47,--,--,--,,,,,10—11,36
Ice_climbers,Ground Attacks,Pivot Grab,10,40,--,--,--,,,,,10—11,29
Ice_climbers,Ground Attacks,Pummel,1,16,Total frames includes 10 frames of hitlag.,--,1.0,,,,,,
Ice_climbers,Ground Attacks,Forward Throw,24/25,49,--,--,3.0/5.0,,,,,,
Ice_climbers,Ground Attacks,Backward Throw,18,39,--,--,6.0,,,,,,
Ice_climbers,Ground Attacks,Up Throw,25/27,52,--,--,3.0/5.0,,,,,,
Ice_climbers,Ground Attacks,Down Throw,37,49,--,--,6.0,,,,,,
Ice_climbers,Ground Attacks,Spot Dodge,,20/25,--,Intangible on frame 3-17,,,,,,,
Ice_climbers,Ground Attacks,Forward Roll,,29,--,Intangible on frame 4-15.,,,,,,,
Ice_climbers,Ground Attacks,Backward Roll,,34,--,Intangible on frame 5-16.,,,,,,,
Ice_climbers,Ground Attacks,Neutral Air Dodge,,58,10,Intangible on frame 3-28.,,,,,,,
Ice_climbers,Ground Attacks,"Air Dodge, Down",,81,11-19,Intangible on frame 3-21.,,,,,,,
Ice_climbers,Ground Attacks,"Air Dodge, Diagonally Down",,86,11-19,Intangible on frame 3-21.,,,,,,,
Ice_climbers,Ground Attacks,"Air Dodge, Left/Right",,96,11-19,Intangible on frame 3-21.,,,,,,,
Ice_climbers,Ground Attacks,"Air Dodge, Diagonally Up",,115,11-19,Intangible on frame 3-21.,,,,,,,
Ice_climbers,Ground Attacks,"Air Dodge, Up",,129,11-19,Intangible on frame 3-21.,,,,,,,
Ice_climbers,Ground Attacks,Stats,,,,,,,,,,,
Ice_climbers,Ground Attacks,Ledge Grab,,,,,,,,,,,
Ice_climbers,Ground Attacks,Ledge Hang,,,,,,,,,,,
Ice_climbers,Ground Attacks,Ledge Roll,,,,,,,,,,,
Ice_climbers,Ground Attacks,Getup Attacks,,,,,,,,,,,
Ice_climbers,Aerial Attacks,Neutral Air,6,45,7,Autocancels on frame 1-5 and 30 onward,7.0(5.2),7(6),3(3),--,-4(+2),6—23,22
Ice_climbers,Aerial Attacks,Forward Air,19,56,10,Autocancels on frame 1-2 and 49 onward,12.0(9.0),9(7),5(4),--,-5(+3),19—20,36
Ice_climbers,Aerial Attacks,Back Air,8,35,7,Autocancels on frame 1-7 and 19 onward,10.0(7.5),8(7),4(3),--,-3(+0),8—11,24
Ice_climbers,Aerial Attacks,Up Air,7,35,14,Autocancels on frame 1-6 and 27 onward,9.0(6.7),7(6),4(3),--,-10(-3),7—11,24
Ice_climbers,Aerial Attacks,Down Air,12,63,20,Autocancels on frame 54 onward,8.0(6.0),7(6),4(3),--,-16(-12),12—51,12
Ice_climbers,Aerial Attacks,Neutral B (Ice Shot),18/19,55,--,--,3.5/3.5,5,2,--,-29(-24),18/19—**,--
Ice_climbers,Aerial Attacks,"Side B, both (Squal Hammer, both)",10/14/18/23/28/34/40/51,77,29,Landing lag only occurs if you enter special fall.,2.0/4.0,4/8,3/5,--,-21,10/14/18/23/28/34/40/51—52,25
Ice_climbers,Aerial Attacks,"Side B, alone (Squal Hammer, alone)",10/13/15/18/21/24/28/32/37/42/49,77,29,Landing lag only occurs if you enter special fall.,1.2/2.0,4/4,3/3,--,-24,10/13/15/18/21/24/28/32/37/42/49—50,27
Ice_climbers,Aerial Attacks,Up B (Belay),13,--,27,Hitting somebody with this move reduces its height gain for your climber. The AI is invulnerable frame 1-15 and invincible frame 16-33,16.0,10,14,--,--,16—33,--
Ice_climbers,Aerial Attacks,Down B (Blizzard),16/21/26/31/36/41/46/51/56,84,--,The game randomly picks an angle between 60 and 115 for each shot and then flips to face in front of the Ice Climbers. The angles thus vary between -30 and 25.,1.8%/1.0%/1.0%,4,2,--,-22(-15),lul,--
Ice_climbers,Aerial Attacks,Grab,8,39,--,--,--,,,,,8—9,30
Ice_climbers,Aerial Attacks,Dash Grab,10,47,--,--,--,,,,,10—11,36
Ice_climbers,Aerial Attacks,Pivot Grab,10,40,--,--,--,,,,,10—11,29
Ice_climbers,Aerial Attacks,Pummel,1,16,Total frames includes 10 frames of hitlag.,--,1.0,,,,,,
Ice_climbers,Aerial Attacks,Forward Throw,24/25,49,--,--,3.0/5.0,,,,,,
Ice_climbers,Aerial Attacks,Backward Throw,18,39,--,--,6.0,,,,,,
Ice_climbers,Aerial Attacks,Up Throw,25/27,52,--,--,3.0/5.0,,,,,,
Ice_climbers,Aerial Attacks,Down Throw,37,49,--,--,6.0,,,,,,
Ice_climbers,Aerial Attacks,Spot Dodge,,20/25,--,Intangible on frame 3-17,,,,,,,
Ice_climbers,Aerial Attacks,Forward Roll,,29,--,Intangible on frame 4-15.,,,,,,,
Ice_climbers,Aerial Attacks,Backward Roll,,34,--,Intangible on frame 5-16.,,,,,,,
Ice_climbers,Aerial Attacks,Neutral Air Dodge,,58,10,Intangible on frame 3-28.,,,,,,,
Ice_climbers,Aerial Attacks,"Air Dodge, Down",,81,11-19,Intangible on frame 3-21.,,,,,,,
Ice_climbers,Aerial Attacks,"Air Dodge, Diagonally Down",,86,11-19,Intangible on frame 3-21.,,,,,,,
Ice_climbers,Aerial Attacks,"Air Dodge, Left/Right",,96,11-19,Intangible on frame 3-21.,,,,,,,
Ice_climbers,Aerial Attacks,"Air Dodge, Diagonally Up",,115,11-19,Intangible on frame 3-21.,,,,,,,
