character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Isabelle,Ground Attacks,Jab,3,19,--,Transitions to another jab on frame 13.,2.0,4,3,--,-13,3—4,15
Isabelle,Ground Attacks,Forward Tilt,8,36,--,--,9.0,7,9,--,-19,8—11,25
Isabelle,Ground Attacks,Up Tilt,6,29,--,--,8.0,7,8,--,-15,6—13,16
Isabelle,Ground Attacks,Down Tilt,9,31,--,--,13.0/8.0,9/7,12/8,--,-10/-14,9—10,21
Isabelle,Ground Attacks,Dash Attack,7,39,--,"Projectile Attack. If done off ledge, the late hit of the projectile will fall 15—68 instead.",10.0/6.0,8/6,4/3,Clean/Late,-21,7—12/13—19 (Normal)7-12/13-66 (Off Ledge),--
Isabelle,Ground Attacks,Forward Smash,14,45,--,Charge hold is frame 6,17.0/8.0,10,11,--,-20,14—16/17—19,26
Isabelle,Ground Attacks,Up Smash,9/14,45,--,"Isabelle will not suffer hitlag from this attack, improving combo potential. Charge hold is frame 8",2.0/12.0,0/11,4/8,Early/Clean/Late,-12,9—10/14—16/17—18,27
Isabelle,Ground Attacks,Down Smash,8/12,43,--,Charge hold is frame 4,10.0/8.0,8/7,7/6,--,-28/-25,8—9/12—13,30
Isabelle,Ground Attacks,Neutral Air,5/8,33,6,Autocancels on frame 1-2 and 34 onward,10.0/6.0,8/6,4/3,--,-2/-3,5—7/8—25,8
Isabelle,Ground Attacks,Forward Air,10,39,14,Projectile attack. Autocancels on frame 1-2 and 30 onward,7.0/4.0/2.5,7/5/5,3/2/2,--,-6 — +4,10—12(13—18/19—23),16
Isabelle,Ground Attacks,Back Air,13,35,14,Projectile attack. Autocancels on frame 1-2 and 30 onward,9.0/5.0/3.0,7/6/5,4/3/2,--,-4 — +5,13—15(16—21/22—26),9
Isabelle,Ground Attacks,Up Air,6,42,9,Autocancels on frame 1-5 and 39 onward,10.0/5.0,8/6,4/3,--,-5/-6,6—7/8—31,11
Isabelle,Ground Attacks,Down Air,11,42,9,Autocancels on frame 1-13 and 39 onward,10.0/5.0,8/6,4/3,--,-5/-6,11—12/13—28,14
Isabelle,Ground Attacks,Neutral B (Pocket),8 (Start of projectile pocket),50,--,Invulnerable on frame 5-23. Pockets projectiles on frame 8-23.,**,**,**,--,--,8—23,27
Isabelle,Ground Attacks,"Pocket, Throw",9,30,--,This is not the same throw as with a holdable item,**,**,**,--,**,,--
Isabelle,Ground Attacks,Side B (Fishing Rod),21,--,--,Frame 50 is the earliest you can reel in.,**,**,**,--,**,"21—43 (Ground), 21—70+ (Air), 18 (Tether)",--
Isabelle,Ground Attacks,"Fishing Rod, Reel In",2,38,--,--,**,**,**,--,**,2—11,27
