character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Jigglypuff,Ground Attacks,Jab 1,5,16,--,Transitions to Jab 2 as early as frame 7.,3.0,6,4,--,-7,5—6,10
Jigglypuff,Ground Attacks,Jab 2,5,16,--,--,3.0,9,4,--,-7,5—6,10
Jigglypuff,Ground Attacks,Forward Tilt,7,24,--,--,10.0,8,10,--,-7,7—10,14
Jigglypuff,Ground Attacks,Up Tilt,9,24,--,--,9.0/8.0,7/7,9/8,Early/Late,-6,9—10(11—13),11
Jigglypuff,Ground Attacks,Down Tilt,10,30,--,--,10.0,8,10,--,-10,10—12,18
Jigglypuff,Ground Attacks,Dash Attack,5,39,--,--,12.0/8.0,9/7,12/8,Early/Late,-22/-23,5—7(8—20),19
Jigglypuff,Ground Attacks,Forward Smash,16,49,--,Charge hold is frame 4,16.0/14.0,10/10,11/10,Early/Late,-22,16—19(20—24),25
Jigglypuff,Ground Attacks,Up Smash,16,45,--,Charge hold is frame 8,15.0,10,11,--,-18,16—19,26
Jigglypuff,Ground Attacks,Down Smash,14,48,--,Charge hold is frame 4,11.0,8,8,--,-26,14—16,32
Jigglypuff,Ground Attacks,Neutral Air,6,43,9,Autocancels on frame 1-3 and 40 onward,11.0/6.0,9/6,5/3,Early/Late,-4/-6,6—7(8—30),13
Jigglypuff,Ground Attacks,Forward Air,8,36,9,Autocancels on frame 1-3 and 28 onward,9.0/6.0,8/6,4/3,Early/Late,-5/-6,8—9(10—20),16
Jigglypuff,Ground Attacks,Back Air,10,35,8,Autocancels on frame 1-3 and 26 onward. Turns the character around.,13.0,10,5,--,-3,10—11,24
Jigglypuff,Ground Attacks,Up Air,9,39,9,Autocancels on frame 1-3 and 35 onward,9.0,8,4,--,-5,9—21,18
Jigglypuff,Ground Attacks,Down Air,7/10/13/16/19/22/25/28/31,52,12,Autocancels on frame 42 onward,1.5/2.0,4/10,2/2,Multi/Final,-13,7—8/10—11/13—14/16—17/19—20/22—23/25—26/28—29/31—32,20
Jigglypuff,Ground Attacks,Neutral B (Rollout),15+37...,67 (no charge),--,"Reaches full charge at 51 frames. Max charge active frames are at 52-144 if released frame perfectly (93 active frames). Ending animation has 31 total frames if grounded or 36 when aerial.Jigglypuff is helpless if she does not land or grab an edge after a hit, but she will pass through shields.",10.0—20.0,9—12,11—18,--,**,**,--
