character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
King_dedede,Ground Attacks,Jab 1,10,32,--,Transitions to Jab 2 as early as frame 13,2.5,7,4,--,-18,10—11,21
King_dedede,Ground Attacks,Jab 2,11,27,--,Transitions to Rapid jab as early as frame 22,2.2,7,3,--,-13,11—12,15
King_dedede,Ground Attacks,Rapid Jab,5/8/11...,--,--,--,0.5,4,3,--,--,34—**,--
King_dedede,Ground Attacks,Rapid Jab Finisher,4,49,--,--,3.0,10,4,--,-41,**,--
King_dedede,Ground Attacks,Forward Tilt,12/16/20/23,48,--,--,2.0/3.0,4/10,3/4,Multi/Final,-21,12—21/23,25
King_dedede,Ground Attacks,Up Tilt,7,38,--,Head intangible on frame 7-13.,10.0/8.0,8/7,10/8,Close/Far,-21/-23,7—13,25
King_dedede,Ground Attacks,Down Tilt,6,37,--,Clanks with projectiles doing less than 26.8% damage.,10.0/6.0,8/6,10/6,Early/Late,-21,6—7(8—11),26
King_dedede,Ground Attacks,Dash Attack,26,66,--,--,16.0/13.0,13/9,14/12,Early/Late,-26,26—27(28—41),25
King_dedede,Ground Attacks,Forward Smash,40,77,--,"This attack hits directly above Dedede only on frame 40. Hammer comes down on 43. Shockwave on 44. Charge hold is frame 33. Multiple hitboxes: an aerial only hitbox that does 0%, sweetspot near tip of hammer, weak hit near Dedede.",16.0/18.5/25.0/11.0,?/12/14/8,?/-/16/8,Early/close/far/Shockwave,?/-/-18/-25,40—41(42—43/44),33
King_dedede,Ground Attacks,Up Smash,17,67,--,Charge hold is frame 6,16.0,10,11,--,-39,17—24,43
King_dedede,Ground Attacks,Down Smash,14,52,--,Charge hold is frame 3,13.0,9,9,--,-31/-23,14—22,30
King_dedede,Ground Attacks,Neutral Air,7,39,9,Autocancels on frame 1-2 and 35 onward,12.0/7.0,9/7,5/3,Early/Late,-4/-6,7—8(9—29),10
King_dedede,Ground Attacks,Forward Air,13,41,18,Autocancels on frame 1-4 and 40 onward,12.0,9,5,--,-13,13—15,26
King_dedede,Ground Attacks,Back Air,17,37,13,Autocancels on frame 1-4 and 33 onward,16.0,13,6,--,-7,17—19,18
King_dedede,Ground Attacks,Up Air,10/12/14/16/18/20/22/24,44,13,Autocancels on frame 1-4 and 42 onward,1.0/5.0,4/12,-/3,Multi/Final,-10,10/12/14/16/18/20/22/24—25,19
King_dedede,Ground Attacks,Down Air,22,47,18,Autocancels on frame 1-6 and 44 onward,15.0/8.0,15/7,5/4,Meteor/Late,-13/-14,22—23,24
King_dedede,Ground Attacks,Neutral B (Inhale),14,74,--,"Startup and total frames refer to minimum usage. 19 endlag after extended usage. Can inhale projectiles starting on frame 14 and involuntarily spit them back.Gains invulnerability for 14 frames after the 4th frame of inhaling a character/item out. For example, if a character gets grabbed as soon as inhale comes out, (f14) the i-frames would be 18-32. Invulnerability informationfrom @Landslide___ on Twitter.",--,--,--,--,--,17—**,--
King_dedede,Ground Attacks,"Inhale, Spit",6,29,--,--,--,--,--,--,--,**,--
King_dedede,Ground Attacks,Side B (Gordo Throw),29,58,--,--,10.0/9.5—14.0,8/12—15/15,10/4—5/14,Hammer/gordo/both,-21/-11/-17,29(5—146),--
King_dedede,Ground Attacks,Up B (Super Dedede Jump),69,--,60/30,Cancelling incurs 30 frames landing lag. Invulnerable on frame 18-21. Super Armor (infinite %) on frames 22-34 and then 69-76. Leg intangibility frame 69-landing. Landing hitbox on frame 3—4. Stars on frame 5—24. Hitbox 69—landing.,15.0/12.0/5.0,10/9/6,14/-/3,Falling/landing/stars,-46,69/4—5/6—20,--
King_dedede,Ground Attacks,"Down B (Jet Hammer, Partial Charge)",10(+17),59,--,10 startup from release. 17 to enter charge state. 136 frames to reach full charge. Heavy armor (14%) on frame 1-14 from release but only on ground version.,11.0—29.8,8—15,10—25,--,-39 to -24,27—29,30
King_dedede,Ground Attacks,"Down B, Full Charge (Jet Hammer, Full Charge)",10,69,--,Heavy armor on frame 1-14 from release but only on ground version.,40.0,16,34,--,-26,10—11,58
King_dedede,Ground Attacks,Grab,8,39,--,--,--,,,,,8—10,29
King_dedede,Ground Attacks,Dash Grab,11,47,--,--,--,,,,,11—13,34
King_dedede,Ground Attacks,Pivot Grab,12,42,--,--,--,,,,,12—14,28
King_dedede,Ground Attacks,Pummel,2,21,--,Total frames includes 14 frames of hitlag,1.6,,,,,,
King_dedede,Ground Attacks,Forward Throw,14,37,--,"Hit is 12/13, throw is 14",4.0/6.0,,,,,,
King_dedede,Ground Attacks,Backward Throw,19,41,--,"Hit is 16—18, throw is 19",4.0/9.0,,,,,,
King_dedede,Ground Attacks,Up Throw,19,39,--,"Hit is 16—18, throw is 19",4.0/5.0,,,,,,
King_dedede,Ground Attacks,Down Throw,26,41,--,--,6.0,,,,,,
King_dedede,Ground Attacks,Spot Dodge,,23/28,--,Intangible on frame 3-18,,,,,,,
King_dedede,Ground Attacks,Forward Roll,,32,--,Intangible on frame 4-16,,,,,,,
King_dedede,Ground Attacks,Backward Roll,,37,--,Intangible on frame 5-17,,,,,,,
King_dedede,Ground Attacks,Neutral Air Dodge,,43,10,Intangible on frame 4-32,,,,,,,
King_dedede,Ground Attacks,"Air Dodge, Down",,58,11-19,Intangible on frame 4-23,,,,,,,
King_dedede,Ground Attacks,"Air Dodge, Diagonally Down",,66,11-19,Intangible on frame 4-23,,,,,,,
King_dedede,Ground Attacks,"Air Dodge, Left/Right",,72,11-19,Intangible on frame 4-23,,,,,,,
King_dedede,Ground Attacks,"Air Dodge, Diagonally Up",,86,11-19,Intangible on frame 4-23,,,,,,,
King_dedede,Ground Attacks,"Air Dodge, Up",,96,11-19,Intangible on frame 4-23,,,,,,,
King_dedede,Ground Attacks,Stats,,,,,,,,,,,
King_dedede,Ground Attacks,Ledge Grab,,,,,,,,,,,
King_dedede,Ground Attacks,Ledge Hang,,,,,,,,,,,
King_dedede,Ground Attacks,Ledge Roll,,,,,,,,,,,
King_dedede,Ground Attacks,Getup Attacks,,,,,,,,,,,
King_dedede,Aerial Attacks,Neutral Air,7,39,9,Autocancels on frame 1-2 and 35 onward,12.0/7.0,9/7,5/3,Early/Late,-4/-6,7—8(9—29),10
King_dedede,Aerial Attacks,Forward Air,13,41,18,Autocancels on frame 1-4 and 40 onward,12.0,9,5,--,-13,13—15,26
King_dedede,Aerial Attacks,Back Air,17,37,13,Autocancels on frame 1-4 and 33 onward,16.0,13,6,--,-7,17—19,18
King_dedede,Aerial Attacks,Up Air,10/12/14/16/18/20/22/24,44,13,Autocancels on frame 1-4 and 42 onward,1.0/5.0,4/12,-/3,Multi/Final,-10,10/12/14/16/18/20/22/24—25,19
King_dedede,Aerial Attacks,Down Air,22,47,18,Autocancels on frame 1-6 and 44 onward,15.0/8.0,15/7,5/4,Meteor/Late,-13/-14,22—23,24
King_dedede,Aerial Attacks,Neutral B (Inhale),14,74,--,"Startup and total frames refer to minimum usage. 19 endlag after extended usage. Can inhale projectiles starting on frame 14 and involuntarily spit them back.Gains invulnerability for 14 frames after the 4th frame of inhaling a character/item out. For example, if a character gets grabbed as soon as inhale comes out, (f14) the i-frames would be 18-32. Invulnerability informationfrom @Landslide___ on Twitter.",--,--,--,--,--,17—**,--
King_dedede,Aerial Attacks,"Inhale, Spit",6,29,--,--,--,--,--,--,--,**,--
King_dedede,Aerial Attacks,Side B (Gordo Throw),29,58,--,--,10.0/9.5—14.0,8/12—15/15,10/4—5/14,Hammer/gordo/both,-21/-11/-17,29(5—146),--
King_dedede,Aerial Attacks,Up B (Super Dedede Jump),69,--,60/30,Cancelling incurs 30 frames landing lag. Invulnerable on frame 18-21. Super Armor (infinite %) on frames 22-34 and then 69-76. Leg intangibility frame 69-landing. Landing hitbox on frame 3—4. Stars on frame 5—24. Hitbox 69—landing.,15.0/12.0/5.0,10/9/6,14/-/3,Falling/landing/stars,-46,69/4—5/6—20,--
King_dedede,Aerial Attacks,"Down B (Jet Hammer, Partial Charge)",10(+17),59,--,10 startup from release. 17 to enter charge state. 136 frames to reach full charge. Heavy armor (14%) on frame 1-14 from release but only on ground version.,11.0—29.8,8—15,10—25,--,-39 to -24,27—29,30
King_dedede,Aerial Attacks,"Down B, Full Charge (Jet Hammer, Full Charge)",10,69,--,Heavy armor on frame 1-14 from release but only on ground version.,40.0,16,34,--,-26,10—11,58
King_dedede,Aerial Attacks,Grab,8,39,--,--,--,,,,,8—10,29
King_dedede,Aerial Attacks,Dash Grab,11,47,--,--,--,,,,,11—13,34
King_dedede,Aerial Attacks,Pivot Grab,12,42,--,--,--,,,,,12—14,28
King_dedede,Aerial Attacks,Pummel,2,21,--,Total frames includes 14 frames of hitlag,1.6,,,,,,
