character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
King_k_rool,Ground Attacks,Jab 1,4,24,--,--,2.5,9,4,--,-16,4—5,19
King_k_rool,Ground Attacks,Jab 2,3,27,--,--,2.5,6,4,--,-20,3—4,23
King_k_rool,Ground Attacks,Jab 3,5,33,--,--,7.0,13,7,--,-21,5—8,25
King_k_rool,Ground Attacks,Forward Tilt,12,42,--,Belly armor on frame 5-11,11.0/13.0,12/13,10/12,Close/Far,-20/-18,12—13,29
King_k_rool,Ground Attacks,Up Tilt,5,37,--,Arm intangibility on frame 4-9,12.5/8.9/7.4,10/9/8,11/8/7,Early/Late Far/Close,-21,5—6/7—13,24
King_k_rool,Ground Attacks,Down Tilt,13,42,--,--,13.0/8.0/7.0,9/8/7,12/10/7,Frame 13/Close/Far,-17,13/14—15,27
King_k_rool,Ground Attacks,Dash Attack,7,60,--,Belly armor on frame 7-28,15.0/11.0,11/9,15/10,Early/Late,-38,7—14/15—25,35
King_k_rool,Ground Attacks,Forward Smash,19,61,--,Charge hold on frame 9,19.0/16.5/19.5/16.9/19.9/17.3,13/--/14/--/14/12,13/--/13/--/13/12,(neutral far/close)/(Down far/close)/(Up far/close),-29/--/-29/--/-29/-30,19—21,40
King_k_rool,Ground Attacks,Up Smash,6/19/22,71,--,Head intangibility on frame 6-11. Belly armor on frame 6-19.  Charge hold is frame 2,17.0/3.0/8.0,11/0/10,10/--/7,Hit 1/Hit 2/Hit 3,-55/-42,(6—9/10—11)(19/20/21—23)(22—23),48
King_k_rool,Ground Attacks,Down Smash,22,63,--,Belly armor on frame 8-21. Charge hold is frame 1,18.0/4.0,10/5,12/4,Body/Shockwave,-29/-34,22—24/25,38
King_k_rool,Ground Attacks,Neutral Air,7,45,9,Belly armor on frame 6-30. Autocancels on frame 1-3 and 40 onward,12.0/8.0,9/7,5/4,Early/Late,-4/-5,7—8/9—30,15
