character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Lucas,Ground Attacks,Jab 1,2,19,--,Transitions to Jab 2 as early as frame 5,2.5,8,4,--,-13,2,17
Lucas,Ground Attacks,Jab 2,3,19,--,Transitions to Jab 3 as early as frame 5,1.5,8,3,--,-13,3,16
Lucas,Ground Attacks,Jab 3,6,29,--,--,3.5,11,4,--,-19,6—7,22
Lucas,Ground Attacks,Forward Tilt,7,25,--,--,7.5/11.0,7/13,8/10,Cose/far,-10/-8,7—9,16
Lucas,Ground Attacks,Up Tilt,4/7,33,--,--,1.5/8.0/5.0,7/11/9,-/8/6,first/second/late,-18,4/7—10(11—14/15—16),17
Lucas,Ground Attacks,Down Tilt,3,15,--,--,5.0,6,6,--,-6,3—4,11
Lucas,Ground Attacks,Dash Attack,13,37,--,--,9.0/13.0,11/15,9/12,Close/Far,-15/-12,13—17,20
Lucas,Ground Attacks,Forward Smash,14,45,--,Reflects on frame 11-19. Charge hold is frame 7,14.0/15.0,10/12,10/10,Close/far,-21,14—15,30
Lucas,Ground Attacks,Up Smash,28/30,98,--,"Invincible on frame 1-7. Head intangibility on frame 15-29. Charge hold is frame 4. **Invincibility during the first 4 frames of charging (but goes away after the initial 4), upon release you gain the other 3 frames immediately.",2.0/21.0[20.0/18.0/16.0/14.0],4/16,-/14,Launcher/Main Hit[diminishing over time],-54,28/30—32(33—37/38—42/43—47/48—52/53—54),44
Lucas,Ground Attacks,Down Smash,20/29/39,59,--,Charge hold is frame 5. Shield damage: -10.0/-8.0/-6.0.,17.0/14.0/11.0,15/15/13,-/-/8,--,-12,20—22/29—31/39—41,18
Lucas,Ground Attacks,Neutral Air,7.../26,44,12,Autocancels on frame 37 onward,2.0/4.0,7/10,2/3,Multi/Final,-10/-9,7—21 (rehit: 5) / 26,23
Lucas,Ground Attacks,Forward Air,9,41,7,Autocancels on frame 34 onward,9.0/12.5,7/15,4/5,Close/Far,-3/-2,9—10/11—12,29
Lucas,Ground Attacks,Back Air,15,39,9,Autocancels on frame 1-2 and 34 onward,9.0 / 12.0 / 7.0,11/13/10,4/5/3,Close/medium/far,-5/-4/-6,15—19(19—22),17
Lucas,Ground Attacks,Up Air,7,31,7,Autocancels on frame 34 onward,11.0,9,4,--,-3,7—10,21
Lucas,Ground Attacks,Down Air,10/18/26/34,56,16,Autocancels on frame 47 onward,3.5/5.0,8/9,2/3,Multi/Final,-14/-13,10—12/18—20/26—28/34—35,21
Lucas,Ground Attacks,Z Air,9,51,8,Tethers on frame 7.,5.0/3.0,6,6,--,-2,9—12(13—21),30
Lucas,Ground Attacks,Neutral B (PK Freeze),40-92,66-118,--,"From charge release, startup is 5 and total frames is 31",10.0—23.0,8—14,4—7,--,-14 to -5,40—43(92—95),--
Lucas,Ground Attacks,Side B (PK Fire),21,52,19,Explosion 1 frame after projectile hits something. Does not erupt on shields. PK Fire Burst is frames 1-20.,3.0/7.0/4.0,5,2,Spark/Burst Close/Burst Far,-24,21—38(1—19),14
Lucas,Ground Attacks,Up B (PK Thunder),20,--,--,Hits every six frames as it passes through somebody. 44 endlag when projectile ends,2.5/0.7,5,2,Head/Tail,--,20—**,--
Lucas,Ground Attacks,"Up B, Self-hit (PK Thunder 2)",1/4/6/8/10/12/14/17/20/23/26/29,60,30,Total frames refers to travel along the ground. Intangibility on frames 1-9.,5.0/2.0/1.5/10.0,9/7/7/15,-/-/-10,First/early/late/final,-21,1—2/4—5/6—7/8—9/10—11/12—13/14—15/17—19/20—21/23—24/26—27/29—30,30
Lucas,Ground Attacks,Down B (PSI Magnet),19 (7 is start of absorb),27,--,"Absorbs as early as frame 7. On release, startup is 1 with 9 total frames",8.0,11,8,--,+0,19,8
Lucas,Ground Attacks,Grab,12,46,--,--,--,,,,,12—17,29
Lucas,Ground Attacks,Dash Grab,14,54,--,--,--,,,,,14—19,35
Lucas,Ground Attacks,Pivot Grab,15,49,--,--,--,,,,,15—20,29
Lucas,Ground Attacks,Pummel,1,19,--,Total frames includes 13 frames of hitlag,1.3,,,,,,
Lucas,Ground Attacks,Forward Throw,23,52,--,--,10.0,,,,,,
Lucas,Ground Attacks,Backward Throw,20,52,--,--,10.0,,,,,,
Lucas,Ground Attacks,Up Throw,25,55,--,--,10.0,,,,,,
Lucas,Ground Attacks,Down Throw,41,57,--,--,11.0,,,,,,
Lucas,Ground Attacks,Spot Dodge,,20/25,--,Intangible on frame 3-17,,,,,,,
Lucas,Ground Attacks,Forward Roll,,29,--,Intangible on frame 4-15,,,,,,,
Lucas,Ground Attacks,Backward Roll,,34,--,Intangible on frame 5-16,,,,,,,
Lucas,Ground Attacks,Neutral Air Dodge,,56,10,Intangible on frame 3-30,,,,,,,
Lucas,Ground Attacks,"Air Dodge, Down",,75,11-19,Intangible on frame 3-21,,,,,,,
Lucas,Ground Attacks,"Air Dodge, Diagonally Down",,85,11-19,Intangible on frame 3-21,,,,,,,
Lucas,Ground Attacks,"Air Dodge, Left/Right",,95,11-19,Intangible on frame 3-21,,,,,,,
Lucas,Ground Attacks,"Air Dodge, Diagonally Up",,117,11-19,Intangible on frame 3-21,,,,,,,
Lucas,Ground Attacks,"Air Dodge, Up",,126,11-19,Intangible on frame 3-21,,,,,,,
Lucas,Ground Attacks,Stats,,,,,,,,,,,
Lucas,Ground Attacks,Ledge Grab,,,,,,,,,,,
Lucas,Ground Attacks,Ledge Hang,,,,,,,,,,,
Lucas,Ground Attacks,Ledge Roll,,,,,,,,,,,
Lucas,Ground Attacks,Getup Attacks,,,,,,,,,,,
Lucas,Aerial Attacks,Neutral Air,7.../26,44,12,Autocancels on frame 37 onward,2.0/4.0,7/10,2/3,Multi/Final,-10/-9,7—21 (rehit: 5) / 26,23
Lucas,Aerial Attacks,Forward Air,9,41,7,Autocancels on frame 34 onward,9.0/12.5,7/15,4/5,Close/Far,-3/-2,9—10/11—12,29
Lucas,Aerial Attacks,Back Air,15,39,9,Autocancels on frame 1-2 and 34 onward,9.0 / 12.0 / 7.0,11/13/10,4/5/3,Close/medium/far,-5/-4/-6,15—19(19—22),17
Lucas,Aerial Attacks,Up Air,7,31,7,Autocancels on frame 34 onward,11.0,9,4,--,-3,7—10,21
Lucas,Aerial Attacks,Down Air,10/18/26/34,56,16,Autocancels on frame 47 onward,3.5/5.0,8/9,2/3,Multi/Final,-14/-13,10—12/18—20/26—28/34—35,21
Lucas,Aerial Attacks,Z Air,9,51,8,Tethers on frame 7.,5.0/3.0,6,6,--,-2,9—12(13—21),30
Lucas,Aerial Attacks,Neutral B (PK Freeze),40-92,66-118,--,"From charge release, startup is 5 and total frames is 31",10.0—23.0,8—14,4—7,--,-14 to -5,40—43(92—95),--
Lucas,Aerial Attacks,Side B (PK Fire),21,52,19,Explosion 1 frame after projectile hits something. Does not erupt on shields. PK Fire Burst is frames 1-20.,3.0/7.0/4.0,5,2,Spark/Burst Close/Burst Far,-24,21—38(1—19),14
Lucas,Aerial Attacks,Up B (PK Thunder),20,--,--,Hits every six frames as it passes through somebody. 44 endlag when projectile ends,2.5/0.7,5,2,Head/Tail,--,20—**,--
Lucas,Aerial Attacks,"Up B, Self-hit (PK Thunder 2)",1/4/6/8/10/12/14/17/20/23/26/29,60,30,Total frames refers to travel along the ground. Intangibility on frames 1-9.,5.0/2.0/1.5/10.0,9/7/7/15,-/-/-10,First/early/late/final,-21,1—2/4—5/6—7/8—9/10—11/12—13/14—15/17—19/20—21/23—24/26—27/29—30,30
Lucas,Aerial Attacks,Down B (PSI Magnet),19 (7 is start of absorb),27,--,"Absorbs as early as frame 7. On release, startup is 1 with 9 total frames",8.0,11,8,--,+0,19,8
Lucas,Aerial Attacks,Grab,12,46,--,--,--,,,,,12—17,29
Lucas,Aerial Attacks,Dash Grab,14,54,--,--,--,,,,,14—19,35
Lucas,Aerial Attacks,Pivot Grab,15,49,--,--,--,,,,,15—20,29
Lucas,Aerial Attacks,Pummel,1,19,--,Total frames includes 13 frames of hitlag,1.3,,,,,,
Lucas,Aerial Attacks,Forward Throw,23,52,--,--,10.0,,,,,,
Lucas,Aerial Attacks,Backward Throw,20,52,--,--,10.0,,,,,,
Lucas,Aerial Attacks,Up Throw,25,55,--,--,10.0,,,,,,
Lucas,Aerial Attacks,Down Throw,41,57,--,--,11.0,,,,,,
Lucas,Aerial Attacks,Spot Dodge,,20/25,--,Intangible on frame 3-17,,,,,,,
Lucas,Aerial Attacks,Forward Roll,,29,--,Intangible on frame 4-15,,,,,,,
Lucas,Aerial Attacks,Backward Roll,,34,--,Intangible on frame 5-16,,,,,,,
Lucas,Aerial Attacks,Neutral Air Dodge,,56,10,Intangible on frame 3-30,,,,,,,
Lucas,Aerial Attacks,"Air Dodge, Down",,75,11-19,Intangible on frame 3-21,,,,,,,
Lucas,Aerial Attacks,"Air Dodge, Diagonally Down",,85,11-19,Intangible on frame 3-21,,,,,,,
Lucas,Aerial Attacks,"Air Dodge, Left/Right",,95,11-19,Intangible on frame 3-21,,,,,,,
Lucas,Aerial Attacks,"Air Dodge, Diagonally Up",,117,11-19,Intangible on frame 3-21,,,,,,,
