character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Luigi,Ground Attacks,Jab 1,2,18,--,Transitions to Jab 2 as early as frame 5,2.0,8,3,--,-13,2—3,15
Luigi,Ground Attacks,Jab 2,3,18,--,Transitions to Jab 3 as early as frame 6,2.0,5,3,--,-12,3—4,14
Luigi,Ground Attacks,Jab 3,6,30,--,--,4.0,11,5,--,-19,6—7,23
Luigi,Ground Attacks,Forward Tilt,5,32,--,--,9.0,7,9,--,-18,5—7,25
Luigi,Ground Attacks,Up Tilt,5,27,--,--,6.0,7,9,--,-15,5—10,17
Luigi,Ground Attacks,Down Tilt,5,13,--,--,5.0,6,6,--,-2,5—8,5
Luigi,Ground Attacks,Dash Attack,4/8/12/16/25,47,--,--,2.0/4.0,4/14,3/5,Multi/final,-17,4/8/12/16/25,22
Luigi,Ground Attacks,Forward Smash,12,41,--,Charge hold is frame 4,15.0,10,11,--,-18,12—13,28
Luigi,Ground Attacks,Up Smash,9,39,--,Head intangibility on frame 9-13. Charge hold is frame 6,14.0/12.0,10,10,Far/Close,-20,9—13,26
Luigi,Ground Attacks,Down Smash,6/14,37,--,Charge hold is frame 2.,15.0/14.0,10/10,11/11,Close/Far,-20/-12,6—7/14—15,22
Luigi,Ground Attacks,Down Taunt,45,69,--,--,2.0,,,,-21,,--
Luigi,Ground Attacks,Neutral Air,3,44,8,Auto cancels on frame 1-2 and frame 36 onward.,12.0/6.0,9/6,5/3,Early/Late,-3/-5,3—5(6—31),13
Luigi,Ground Attacks,Forward Air,7,23,13,Autocancels on frame 21 onward,8.0,7,4,--,-9,7—10,13
Luigi,Ground Attacks,Back Air,6,44,10,Autocancels on frame 1-2 and 33 onward,14.0/8.0,10/7,5/4,Early/Late,-5/-6,6—7(8—13),31
Luigi,Ground Attacks,Up Air,5,26,7,Autocancels on frame 19 onward,11.0/7.0,9/7,5/3,Early/Late,-2/-4,5—7(8—11),15
Luigi,Ground Attacks,Down Air,10,28,12,Autocancels on frame 1-5 and 24 onward,10.0/8.0,12/7,4/4,Early/Late,-8/-8,10(11—14),14
Luigi,Ground Attacks,Z Air,14,52,20,"If you land before firing, it will fire on frame 6 of landing. Advantage is that shot.",5.0,6,6,--,-2,14—68,--
Luigi,Ground Attacks,Neutral B (Fireball),17,43,--,--,6.0/5.0,6/6,3/3,Early/Late,-17,17—45(46—66),--
Luigi,Ground Attacks,Side B (Green Missile),22,79/95,39,"On hit endlag is 18 or 32 total if you landed during that 18 frame animation. Total frames is 79 in the air, 95 on level ground. 41 landing lag is consistent as long as you land during the 79 frame animation. Invulnerable on frame 18-22.",6.1—21.0/25.0,10—16/15,8—19/22,--,-23 to -13/-10,22—60,19
Luigi,Ground Attacks,"Up B (Super Jump Punch, Ground)",8,109,45,Invulnerable on frame 8-10 on the ground. Total frames assumes level ground.,25.0/1.0,14/4,22/2,Sweet/sourspot,-79/-99,8(9—23),86
Luigi,Ground Attacks,"Up B (Super Jump Punch, Air)",6,--,45,Invulnerable on frame 6-8 in the air,20.0/1.0,**,**,Sweet/sourspot,**,6(7—23),--
Luigi,Ground Attacks,Down B (Luigi Cyclone),10.../40,85,--,Invincible on frame 4-8 on the ground. 1-7 in the air.,2.0/4.0,4/11,3/5,Multi/Final,-40,10—33(rehit:6)/40,45
Luigi,Ground Attacks,Grab,14,47,--,Body grabbox only active for the first 2 frames,--,,,,,14—20,27
Luigi,Ground Attacks,Dash Grab,16,51,--,Body grabbox only active for the first 2 frames,--,,,,,16—22,29
Luigi,Ground Attacks,Pivot Grab,17,49,--,Body grabbox only active for the first 2 frames,--,,,,,17—24,25
Luigi,Ground Attacks,Pummel,1,19,Total frames includes 13 frames of hitlag.,--,1.3,,,,,,
Luigi,Ground Attacks,Forward Throw,15,37,--,--,9.0,,,,,,
Luigi,Ground Attacks,Backward Throw,15,37,--,--,10.0,,,,,,
Luigi,Ground Attacks,Up Throw,18,39,--,"Collateral hitbox on frame 15, does 6.0%.",8.0,,,,,,
Luigi,Ground Attacks,Down Throw,18/29,40,--,Collateral hitbox on frames 18—28.,3.0/3.0,,,,,,
Luigi,Ground Attacks,Spot Dodge,,20/25,--,Intangible on frame 3-17.,,,,,,,
Luigi,Ground Attacks,Forward Roll,,29,--,Intangible on frame 4-15.,,,,,,,
Luigi,Ground Attacks,Backward Roll,,34,--,Intangible on frame 5-16.,,,,,,,
Luigi,Ground Attacks,Neutral Air Dodge,,57,10,Intangible on frame 3-29.,,,,,,,
Luigi,Ground Attacks,"Air Dodge, Down",,81,11-19,Intangible on frame 3-21.,,,,,,,
Luigi,Ground Attacks,"Air Dodge, Diagonally Down",,88,11-19,Intangible on frame 3-21.,,,,,,,
Luigi,Ground Attacks,"Air Dodge, Left/Right",,96,11-19,Intangible on frame 3-21.,,,,,,,
Luigi,Ground Attacks,"Air Dodge, Diagonally Up",,113,11-19,Intangible on frame 3-21.,,,,,,,
Luigi,Ground Attacks,"Air Dodge, Up",,127,11-19,Intangible on frame 3-21.,,,,,,,
Luigi,Ground Attacks,Stats,,,,,,,,,,,
Luigi,Ground Attacks,Ledge Grab,,,,,,,,,,,
Luigi,Ground Attacks,Ledge Hang,,,,,,,,,,,
Luigi,Ground Attacks,Ledge Roll,,,,,,,,,,,
Luigi,Ground Attacks,Getup Attacks,,,,,,,,,,,
Luigi,Aerial Attacks,Neutral Air,3,44,8,Auto cancels on frame 1-2 and frame 36 onward.,12.0/6.0,9/6,5/3,Early/Late,-3/-5,3—5(6—31),13
Luigi,Aerial Attacks,Forward Air,7,23,13,Autocancels on frame 21 onward,8.0,7,4,--,-9,7—10,13
Luigi,Aerial Attacks,Back Air,6,44,10,Autocancels on frame 1-2 and 33 onward,14.0/8.0,10/7,5/4,Early/Late,-5/-6,6—7(8—13),31
Luigi,Aerial Attacks,Up Air,5,26,7,Autocancels on frame 19 onward,11.0/7.0,9/7,5/3,Early/Late,-2/-4,5—7(8—11),15
Luigi,Aerial Attacks,Down Air,10,28,12,Autocancels on frame 1-5 and 24 onward,10.0/8.0,12/7,4/4,Early/Late,-8/-8,10(11—14),14
Luigi,Aerial Attacks,Z Air,14,52,20,"If you land before firing, it will fire on frame 6 of landing. Advantage is that shot.",5.0,6,6,--,-2,14—68,--
Luigi,Aerial Attacks,Neutral B (Fireball),17,43,--,--,6.0/5.0,6/6,3/3,Early/Late,-17,17—45(46—66),--
Luigi,Aerial Attacks,Side B (Green Missile),22,79/95,39,"On hit endlag is 18 or 32 total if you landed during that 18 frame animation. Total frames is 79 in the air, 95 on level ground. 41 landing lag is consistent as long as you land during the 79 frame animation. Invulnerable on frame 18-22.",6.1—21.0/25.0,10—16/15,8—19/22,--,-23 to -13/-10,22—60,19
Luigi,Aerial Attacks,"Up B (Super Jump Punch, Ground)",8,109,45,Invulnerable on frame 8-10 on the ground. Total frames assumes level ground.,25.0/1.0,14/4,22/2,Sweet/sourspot,-79/-99,8(9—23),86
Luigi,Aerial Attacks,"Up B (Super Jump Punch, Air)",6,--,45,Invulnerable on frame 6-8 in the air,20.0/1.0,**,**,Sweet/sourspot,**,6(7—23),--
Luigi,Aerial Attacks,Down B (Luigi Cyclone),10.../40,85,--,Invincible on frame 4-8 on the ground. 1-7 in the air.,2.0/4.0,4/11,3/5,Multi/Final,-40,10—33(rehit:6)/40,45
Luigi,Aerial Attacks,Grab,14,47,--,Body grabbox only active for the first 2 frames,--,,,,,14—20,27
Luigi,Aerial Attacks,Dash Grab,16,51,--,Body grabbox only active for the first 2 frames,--,,,,,16—22,29
Luigi,Aerial Attacks,Pivot Grab,17,49,--,Body grabbox only active for the first 2 frames,--,,,,,17—24,25
Luigi,Aerial Attacks,Pummel,1,19,Total frames includes 13 frames of hitlag.,--,1.3,,,,,,
Luigi,Aerial Attacks,Forward Throw,15,37,--,--,9.0,,,,,,
Luigi,Aerial Attacks,Backward Throw,15,37,--,--,10.0,,,,,,
Luigi,Aerial Attacks,Up Throw,18,39,--,"Collateral hitbox on frame 15, does 6.0%.",8.0,,,,,,
Luigi,Aerial Attacks,Down Throw,18/29,40,--,Collateral hitbox on frames 18—28.,3.0/3.0,,,,,,
Luigi,Aerial Attacks,Spot Dodge,,20/25,--,Intangible on frame 3-17.,,,,,,,
Luigi,Aerial Attacks,Forward Roll,,29,--,Intangible on frame 4-15.,,,,,,,
Luigi,Aerial Attacks,Backward Roll,,34,--,Intangible on frame 5-16.,,,,,,,
Luigi,Aerial Attacks,Neutral Air Dodge,,57,10,Intangible on frame 3-29.,,,,,,,
Luigi,Aerial Attacks,"Air Dodge, Down",,81,11-19,Intangible on frame 3-21.,,,,,,,
Luigi,Aerial Attacks,"Air Dodge, Diagonally Down",,88,11-19,Intangible on frame 3-21.,,,,,,,
Luigi,Aerial Attacks,"Air Dodge, Left/Right",,96,11-19,Intangible on frame 3-21.,,,,,,,
Luigi,Aerial Attacks,"Air Dodge, Diagonally Up",,113,11-19,Intangible on frame 3-21.,,,,,,,
Luigi,Aerial Attacks,"Air Dodge, Up",,127,11-19,Intangible on frame 3-21.,,,,,,,
Luigi,Aerial Attacks,Stats,,,,,,,,,,,
Luigi,Aerial Attacks,Ledge Grab,,,,,,,,,,,
Luigi,Aerial Attacks,Ledge Hang,,,,,,,,,,,
Luigi,Aerial Attacks,Ledge Roll,,,,,,,,,,,
Luigi,Aerial Attacks,Getup Attacks,,,,,,,,,,,
Luigi,Special Attacks,Neutral B (Fireball),17,43,--,--,6.0/5.0,6/6,3/3,Early/Late,-17,17—45(46—66),--
