character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Mario,Ground Attacks,Jab 1,2,19,--,Transitions to Jab 2 as early as frame 5,2.2,8,3,--,-14,2—3,16
Mario,Ground Attacks,Jab 2,2,21,--,Transitions to Jab 3 as early as frame 6,1.7,5,3,--,-16,2—3,18
Mario,Ground Attacks,Jab 3,3,33,--,--,4.0,11,5,--,-25,3—4,29
Mario,Ground Attacks,Forward Tilt,5,25,--,--,7.0,7,7,--,-13,5—7,18
Mario,Ground Attacks,Up Tilt,5,29,--,--,5.5,6,6,--,-18,5—11,18
Mario,Ground Attacks,Down Tilt,5,27,--,--,7.0/5.0,7/6,7/6,Close/Far,-15/-16,5—7,20
Mario,Ground Attacks,Dash Attack,6,37,--,--,8.0/6.0,9/8,14/11,Early/Late,-17,6—9(10—25),12
Mario,Ground Attacks,Forward Smash,15,47,--,Charge hold is frame 5.,17.7/14.6,11/10,12/10,Far/Close,-22/-20,15—17,30
Mario,Ground Attacks,Up Smash,9,39,--,Head Invulnerability on frame 9-12. Charge hold is frame 6.,14.0,10,10,--,-20,9—12,27
Mario,Ground Attacks,Down Smash,5/14,43,--,Charge hold is frame 2.,10.0/12.0,8/9,8/9,First/Second,-30/-20,5—6/14,29
Mario,Ground Attacks,Neutral Air,3,45,6,Auto cancels on frame 1-2 and frame 39 onward.,8.0/5.0,7/6,4/3,Early/Late,-2/-3/-3/-3,3—5(6—27),18
Mario,Ground Attacks,Forward Air,16,59,17,Auto cancels on frame 1-2 and frame 43 onward.,12.0/14.0/10.0,9/10/8,5/5/4,Early/Clean/Late,-12/-12/-13,16/17—20/21,38
Mario,Ground Attacks,Back Air,6,33,6,Auto cancels on frame 1-5 and frame 19 onward.,10.5/7.0,8/7,4/3,Early/Late,-2/-3/-2/-3,6—7(8—10),23
Mario,Ground Attacks,Up Air,4,30,6,Auto cancels on frame 17 onward.,7.0,7,3,--,-3,4—7,23
