character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Mewtwo,Ground Attacks,Jab,5,21,--,Transitions to Rapid Jab as early as frame 12.,3.0,9,4,--,-12,5—6,15
Mewtwo,Ground Attacks,Rapid Jab,5/8/11...,--,--,--,0.8,4,4,--,--,**,--
Mewtwo,Ground Attacks,Rapid Jab Finisher,6,40,--,--,2.5,10,4,--,-30,6—7,33
Mewtwo,Ground Attacks,Forward Tilt,10,35,--,--,11.0/10.0/9.0,10/8/7,10/10/9,Close/Med/Far,-15/-15/-16,10—11,24
Mewtwo,Ground Attacks,Up Tilt,8,29,--,--,"7.0/6.0/5.5, 5.0/4.0","7/6/6, 6/5","7/6/6, 6/5","Early close/med/far, Late med/far",-14/-15/-15,8(9—13),16
Mewtwo,Ground Attacks,Down Tilt,6,23,--,--,5.0/4.5/4.0,6/5/5,6/5/5,Close/med/far,-11/-12/-12,6—7,16
Mewtwo,Ground Attacks,Dash Attack,10,38,--,--,12.0/6.0,11/8,14/8,Early/Late,-14,10—11(12—20),18
Mewtwo,Ground Attacks,Forward Smash,19,52,--,Charge hold is frame 12,16.0/20.0,10/15,11/13,Close/Far,-20/-18,19—22,30
Mewtwo,Ground Attacks,Up Smash,9/14/18/22,68,--,Charge hold is frame 2,2.0/10.0,4/8,3/7,Multi/Final,-39,9(10—11)/14—15/18—19/22—25,43
Mewtwo,Ground Attacks,Down Smash,21,40,--,Charge hold is frame 15,16.0,14,11,--,-8,21—23,17
Mewtwo,Ground Attacks,Neutral Air,7/11/15/19/23/27,49,10,Autocancels on frame 46 onward,1.6/4.0,7/10,2/3,Multi/Final,-8/-7,7—8/11—12/15—16/19—20/23—24/27—28,21
Mewtwo,Ground Attacks,Forward Air,7,39,8,Autocancels on frame 37 onward,13.0,9,5,--,-3,7—9,30
Mewtwo,Ground Attacks,Back Air,13,39,10,Autocancels on frame 1-2 and 38 onward,13.0/11.0/9.0,9/8/7,5/4/4,Close/med/far,-5/-6/-6,13—17,22
Mewtwo,Ground Attacks,Up Air,10,39,8,Autocancels on frame 1-2 and 36 onward,12.0/11.0/10.0,9/8/8,5/4/4,Close/med/far,-3/-4/-4,10—14,25
Mewtwo,Ground Attacks,Down Air,15,47,11,Autocancels on frame 1-3 and frame 42 onward,15.0/14.0,12,5,--,-6,15—18,29
Mewtwo,Ground Attacks,Neutral B (Shadow Ball),9(+12),27,29,9 startup from charge state. 12 to enter charge state. Takes 4 frames to cancel charge with shield.,2.5—24.9,5—14,2—7,--,-16 to -2,**,--
Mewtwo,Ground Attacks,"Shadow Ball, Fully Charged",16,39,--,133 frames to reach full charge.,25.0,14,7,--,-2,16—98,--
Mewtwo,Ground Attacks,Side B (Confusion),10 (21/23/25/27/29/31/33/39),39/42,--,"Grab is on frame 10, the following hits are when successful. 44 total frames when you miss. Reflector active 10-33.",--,--,--,--,--,10—13,26
Mewtwo,Ground Attacks,Up B (Teleport),**,44,20,Total frames is if you end on the ground. Intangible from 9-19. Grabs ledges as early as frame 16.,--,--,--,--,--,--,--
Mewtwo,Ground Attacks,Down B (Disable),16,52,--,Intangible on frames 10-16,1.0,4,2,--,-30,16—23,29
Mewtwo,Ground Attacks,Grab,7,39,--,--,--,,,,,7—8,31
Mewtwo,Ground Attacks,Dash Grab,10,47,--,--,--,,,,,10—11,36
Mewtwo,Ground Attacks,Pivot Grab,11,42,--,--,--,,,,,11—12,30
Mewtwo,Ground Attacks,Pummel,1,19,--,Total frames includes 13 frames of hitlag,1.3,,,,,,
Mewtwo,Ground Attacks,Forward Throw,19/33/40/47/54/61,81,--,"Fires shadow balls on 33,40,47,54, and 61.",3.0/2.0,,,,,,
Mewtwo,Ground Attacks,Backward Throw,30,54,--,--,10.0,,,,,,
Mewtwo,Ground Attacks,Up Throw,43,79,--,--,12.0,,,,,,
Mewtwo,Ground Attacks,Down Throw,16/18,41,--,--,4.0/5.0,,,,,,
Mewtwo,Ground Attacks,Spot Dodge,,20/25,--,Intangible on frame 3-17,,,,,,,
Mewtwo,Ground Attacks,Forward Roll,,29,--,Intangible on frame 4-15,,,,,,,
