character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Mii_brawler,Ground Attacks,Jab 1,2,15,--,Transitions to jab 2 as early as frame 5,1.8,8,3,--,-10,2—3,12
Mii_brawler,Ground Attacks,Jab 2,2,18,--,Transitions to rapid jab as early as frame 7,1.0,5,2,--,-14,2—3,15
Mii_brawler,Ground Attacks,Rapid Jab,5/7/9...,40,--,--,0.5,4,2,--,--,**,--
Mii_brawler,Ground Attacks,Rapid Jab Finisher,4,40,--,--,2.0,14,3,--,-33,4—5,35
Mii_brawler,Ground Attacks,Forward Tilt,6,27,--,--,8.0/8.3/8.5,7/7/7,8/8/8,neutral/down/up,-13/-13/-13,6—8,19
Mii_brawler,Ground Attacks,Up Tilt,5,29,--,--,6.0,6,7,--,-17,5—12,17
Mii_brawler,Ground Attacks,Down Tilt,7,27,--,--,8.0,7,8,--,-12,7—8,19
Mii_brawler,Ground Attacks,Dash Attack,6,35,--,--,11.0/6.0,9/6,11/6,Early/Late,-18,6—9(10—17),18
Mii_brawler,Ground Attacks,Forward Smash,17,67,--,Charge hold is frame 5,18.0,18,12,--,-38,17—18,49
Mii_brawler,Ground Attacks,Up Smash,8,47,--,Legs intangibile on frame 8-11. Charge hold is frame 3,14.0/10.0,11/9,10/7,Early/Late,-29,8—12(13—14),33
Mii_brawler,Ground Attacks,Down Smash,9,43,--,Charge hold is frame 2,13.0,11,9,--,-25,9—10,33
Mii_brawler,Ground Attacks,Neutral Air,3,45,6,Autocancels on frame 1-2 and 37 onward,10.0/5.0,8/6,4/3,--,-2/-3,3—5(6—29),16
Mii_brawler,Ground Attacks,Forward Air,8/15,44,11,Autocancels on frame 1-2 and 30 onward,5.0/6.0,6/10,3/3,First/Second,-8/-8,8—9/15—17,27
Mii_brawler,Ground Attacks,Back Air,7,39,11,Autocancels on frame 28 onward,12.0,9,5,--,-6,7—9,30
Mii_brawler,Ground Attacks,Up Air,6,35,10,Autocancels on frame 23 onward,9.0,8,4,--,-6,6—10,25
Mii_brawler,Ground Attacks,Down Air,16,49,18,Autocancels on frame 1-4 and 37 onward,13.0,12,5,--,-13,16—17(18),31
Mii_brawler,Ground Attacks,Shot Put,28,67,--,--,15.0/11.2,16/13,5/4,Falling/After Bounce,-19,28—**/59,8
Mii_brawler,Ground Attacks,Flashing Mach Punch,10/14/17/20/23 (25/27/29/31/33/35/37/39/41/43/45/47/49/51/53/55/65,93/54,--,"First total frames is when successful. Second is when you miss. When successful, invincible on frame 10-69. Landing any of the first five hits will activate the full version, but not on shields.",0.4/9.5,4,2,Multi/Final,-30,10/14/17/20/23,70
Mii_brawler,Ground Attacks,Exploding Side Kick,50/52,79,--,"Second number is for reversed version, depending on reverse timing.",25.0/28.0,17/17,22/24,Normal/Reversed,-7/-5,50—52 (Reverse: 62—64 to 81—73),--
Mii_brawler,Ground Attacks,Onslaught,16—30 + 4,70/73,--,"Begins on frame 1 of reaching a target. Second total frames is if you don't hit. Stops on shields. When blocked, endlag equates to remaining total frames",2.0/2.0/7.0,4,3,--,--,Dash: 16—30Hit: 4—5/8—10/13/15—16/18—19/28—29,41
Mii_brawler,Ground Attacks,"Onslaught, Air",16—30 + 4,--,30/40,Begins on frame 1 of reaching a target. Second landing lag is if you don't hit. Stops on shields,2.0/1.5/5.0,4,3,--,--,Dash: 16—30Hit: 4—5/8—10/13/15—16/18—19/28—30,--
Mii_brawler,Ground Attacks,Burning Dropkick,18,68/60,--,"First total frames is in the air, second is on level ground. 34 endlag on hit",13.0,11,12,--,-30,18—29,39
Mii_brawler,Ground Attacks,"Suplex, Grab",13,51,--,--,--,--,--,--,--,13—21,30
Mii_brawler,Ground Attacks,"Suplex, Success",82,79,--,--,3.0/15.0,--,--,grab/landing,--,**,--
Mii_brawler,Ground Attacks,Soaring Axe Kick,10/30,--,22/29,"Second kick is voluntary, second landing lag pertains to that.**Hitbox images all have model scaling issues, the foot grows too much.**",4.0/3.0/4.0,5/11/8,5/4/5,rising/falling/landing,-23,10—15/3—**/1—2,--
Mii_brawler,Ground Attacks,Helicopter Kick,8...,--,26,Leg intangibility on frame 8-37,3.0/1.5/6.0,5/4/14,4/3/6,--,--,Ground: 8—9/15/20/26/31/36—37Air: 8/15/20/26/31/36—37,--
Mii_brawler,Ground Attacks,Thrust Uppercut,3/6/9/12/15/20,--,30,--,0.8/9.0,4/13,2/9,multi/final,--,3—4/6—7/9—10/12—13/15/20—21,--
Mii_brawler,Ground Attacks,Head-On Assault,8/31 (34/37/40...),--,58,Landing hit on frame 1,6.0/16.0/14.0,6/10/11,6/14/13,rising/falling/landing,-44,**,--
