character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Minmin,Ground Attacks,Jab 1,5,24,--,"Startup and total frames assumes player presses and releases A/B in one frame, or buffers the attack. Transitions to jab 2 on frame 10",2.5,7,4,--,-15,5—6,18
Minmin,Ground Attacks,Jab 2,8,31,--,Transitions to rapid jab on frame 14 or jab 3 on frame 15,2.0,6,3,--,-20,8—9,22
Minmin,Ground Attacks,Jab 3,6,35,--,--,5.5,14,6,--,-23,6—7,28
Minmin,Ground Attacks,Rapid Jab,6/8/10...,--,--,--,0.5,4,--,--,--,6/8/10...,--
Minmin,Ground Attacks,Rapid Jab Finisher,7,41,--,--,5.0,15,6,--,-28,6—7,34
Minmin,Ground Attacks,"Forward Tilt, Dragon",14,58 (53 air),--,Endlag on hit is 28. Endlag on block is 39. Can fire other arm beginning on frame 17. Min Min can move and jump at any point of the animation,8.0,7,8,--,-31,Ground: 14(15—24) // Air: 14(15—22),36
Minmin,Ground Attacks,"Forward Tilt, Power Dragon",14,58,--,**,9.2,**,9,--,-29,Ground: 14(15—24) // Air: 14(15—22),36
Minmin,Ground Attacks,"Forward Tilt, Ramram",14,51 (47 air),--,Can fire other arm beginning on frame 17. Projectile does not launch if blocked. Endlag is 37 if blocked.,5.0,6/5,6/2,--,-31,Ground: 14(15—21/22—29) // Air: 14(15—19/20—24),27
Minmin,Ground Attacks,"Forward Tilt, Megawatt",14,67 (59 air),--,Can fire other arm beginning on frame 17. Endlag on hit is 22-29 depending on how far the arm must retract. Endlag on block is 40-44 depending on how far the arm must retract.,11.0,10,10,--,-30 — -34,Ground: 14(15—32) // Air: 14(15—27),40
Minmin,Ground Attacks,Up Tilt,5,41,--,"Sweetspots are Min Min's feet, legs are sourspots.",(Clean) 5.0/7.0 // (Late) 4.0/6.0,5/6/6/7,5/6/6/7,(Left Leg)(Right Leg),-31/-30/-29,(5-6/7-11)(6-9/10-15),26
Minmin,Ground Attacks,Down Tilt,10,34,--,leg intangibility on frame 10-14,7.0/5.0(5.5/3.5),6/7/6,6/7/6,Early/Late,-18/-17,10-14/15-19,15
Minmin,Ground Attacks,Dash Attack,7,38,--,--,10.0/8.0,7/10/7,8/10/8,Early/Late,-23,7—10/11—16,22
Minmin,Ground Attacks,"Forward Smash, Dragon (Laser)",16 (40),65 (87),--,Charge hold frame 8. Can fire other arm beginning on frame 17. Endlag on hit is 30. Endlag on block is 40-41 depending on how far the arm must retract. You cannot fire the beam if you already made contact with a shield or clanked,12.0/16.0/13.0 (7.0),9/10/9 (7),8/11/9 (3),Early/Middle/Late (Laser),-32/-29/-30 (-35),16(17—19/20—24/25—29) (40—50),15
Minmin,Ground Attacks,"Forward Smash, Power Dragon (Laser)",16 (40),65 (87),--,**,15.0/20.0/16.25 (12.0),**,11/13/11 (4),Early/Middle/Late (Laser),-31/-31/-29 (-34),Ground: 16(17—19/20—24/25—29) (40—50) // Air: 16(17—19/20—23/24—28) (40—50),15
Minmin,Ground Attacks,"Forward Smash, Ramram",16 (26),57 (55 air),--,Can fire other arm beginning on frame 17. Projectile does not launch if blocked. Endlag is 39 if blocked. Charge hold frame 8.,10.0/12.0 (2.5),8/9/5,7/8/2,Normal/Late (Chakram),-32/-31,Ground: 16(17—18/19—25/26—35) // Air: 16(17—18/19—24/25—32),25
