character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Ness,Ground Attacks,Jab 1,3,19,--,Transitions to Jab 2 as early as frame 5,2.0,8,3,--,-13,3,16
Ness,Ground Attacks,Jab 2,3,19,--,Transitions to Jab 3 as early as frame 6,1.5,5,3,--,-13,3,16
Ness,Ground Attacks,Jab 3,6,29,--,--,4.0,11,5,--,-18,6—7,22
Ness,Ground Attacks,Forward Tilt,7,34,--,--,10.0,8,10,--,-17,7—10,24
Ness,Ground Attacks,Up Tilt,5,28,--,--,9.0/7.0,8/6,9/7,Close/Far,-14/-16,5—6(7—8),20
Ness,Ground Attacks,Down Tilt,3,11,--,Can transition to another Dtilt as early as frame 6.,4.5/3.0,5/5,5/4,Far/Close,-3/-4,3—4,7
Ness,Ground Attacks,Dash Attack,8/15/23,39,--,--,4.0/2.0/6.0,5/4/10,5/3/7,--,-10,8/15—16/23—24,15
Ness,Ground Attacks,Forward Smash,21,54,--,Reflects on frame 18-30. Charge hold is frame 10.,18.0/20.0/22.0,11/12/15,12/13/14,close/med/far,-21/-20/-19,21—22,32
Ness,Ground Attacks,Up Smash,10,52,--,Charge hold on frame 10 and also creates a hitbox hitting every 6 frames,13.0,4/9,2/9,charging/launch,-33,10—32,20
Ness,Ground Attacks,Down Smash,12/17/23/31,45,--,Charge hold on frame 12 and also creates a hitbox hitting every 6 frames,1.0/10.0,4/8,2/7,weak/strong,-21/-7,12—15(17—18)/23—25(31—32),13
Ness,Ground Attacks,Neutral Air,5,35,8,Autocancels on frame 1-4 and 26 onward,11.0/7.0,9/7,5/3,Early/Late,-3/-5,5—12(13—15),20
Ness,Ground Attacks,Forward Air,8.../20,39,12,Autocancels on frame 1-7 and 33 onward,1.5/5.5,4/9,2/3,Multi/Final,-10/-9,8—18 (rehit: 5) / 20-21,21
Ness,Ground Attacks,Back Air,10,35,10,Autocancels on frame 1-9 and 25 onward,15.0/8.0,10/7,6/4,Early/Late,-4/-6,10—11(12—18),17
Ness,Ground Attacks,Up Air,8.../15,33,8,Autocancels on frame 1-7 and 34 onward,2.5/5.0,5/9,2/3,Multi/Final,-6/-5,8—14 (rehit: 2) / 15—16,19
Ness,Ground Attacks,Down Air,18,52,12,Autocancels on frame 1-17 and 39 onward,14.0/12.0,--,--,Early/Late,-7/-8,18—20/21—24,28
Ness,Ground Attacks,Neutral B (PK Flash),40—117,61—138,--,"On release, startup is 14 and total frames is 35.",11.0—27.0,13—24,4—8,--,-4 to +11,40—44/117—121,--
Ness,Ground Attacks,Side B (PK Fire),18,55,12 (Air version),Will not erupt on shields. The flame pillar has a rehit rate of 7 and lasts about 100 frames,6.0/1.0,6,3,Spark/Pillar,-28,18—37,18
Ness,Ground Attacks,Up B (PK Thunder),20,--,--,39 endlag after hitting a target,11.0/1.0,13/3,4/10,Direct/Tail,-22,20—139,--
Ness,Ground Attacks,"Up B, Self-hit (PK Thunder 2)",1,56,24,Invulnerable on frame 1-32. Landing lag is if you enter special fall.,25.0/21.0,17/16,22/18,Early/Late,-33,1—10/11—32,24
Ness,Ground Attacks,Down B (PSI Magnet),7 (7 is start of absorb),24,--,Begins absorbing on frame 7. Total frame is the minimum duration. Endlag is otherwise 9 on release.,4.0,5,5,--,-12,7—12 (absorb),--
Ness,Ground Attacks,Grab,6,37,--,--,--,,,,,6—7,30
Ness,Ground Attacks,Dash Grab,9,45,--,--,--,,,,,9—10,35
Ness,Ground Attacks,Pivot Grab,10,40,--,--,--,,,,,10—11,29
Ness,Ground Attacks,Pummel,1,19,--,Total frames includes 13 frames of hitlag,1.3,,,,,,
Ness,Ground Attacks,Forward Throw,27,52,--,--,11.0,,,,,,
Ness,Ground Attacks,Backward Throw,27,52,--,--,11.0,,,,,,
Ness,Ground Attacks,Up Throw,36,55,--,--,12.0,,,,,,
Ness,Ground Attacks,Down Throw,"6—9, 10—13, 14—17, 26—29",50,--,Releases on frame 27.,0.5/0.5/0.5/1.5/4.0,,,,,,
Ness,Ground Attacks,Spot Dodge,,20/25,--,Intangible on frame 3-17,,,,,,,
Ness,Ground Attacks,Forward Roll,,29,--,Intangible on frame 4-15,,,,,,,
Ness,Ground Attacks,Backward Roll,,34,--,Intangible on frame 5-16,,,,,,,
Ness,Ground Attacks,Neutral Air Dodge,,59,10,Intangible on frame 3-30,,,,,,,
Ness,Ground Attacks,"Air Dodge, Down",,77,11-19,Intangible on frame 3-21,,,,,,,
Ness,Ground Attacks,"Air Dodge, Diagonally Down",,86,11-19,Intangible on frame 3-21,,,,,,,
Ness,Ground Attacks,"Air Dodge, Left/Right",,99,11-19,Intangible on frame 3-21,,,,,,,
Ness,Ground Attacks,"Air Dodge, Diagonally Up",,119,11-19,Intangible on frame 3-21,,,,,,,
Ness,Ground Attacks,"Air Dodge, Up",,134,11-19,Intangible on frame 3-21,,,,,,,
Ness,Ground Attacks,Stats,,,,,,,,,,,
Ness,Ground Attacks,Ledge Grab,,,,,,,,,,,
Ness,Ground Attacks,Ledge Hang,,,,,,,,,,,
Ness,Ground Attacks,Ledge Roll,,,,,,,,,,,
Ness,Ground Attacks,Getup Attacks,,,,,,,,,,,
Ness,Aerial Attacks,Neutral Air,5,35,8,Autocancels on frame 1-4 and 26 onward,11.0/7.0,9/7,5/3,Early/Late,-3/-5,5—12(13—15),20
Ness,Aerial Attacks,Forward Air,8.../20,39,12,Autocancels on frame 1-7 and 33 onward,1.5/5.5,4/9,2/3,Multi/Final,-10/-9,8—18 (rehit: 5) / 20-21,21
Ness,Aerial Attacks,Back Air,10,35,10,Autocancels on frame 1-9 and 25 onward,15.0/8.0,10/7,6/4,Early/Late,-4/-6,10—11(12—18),17
Ness,Aerial Attacks,Up Air,8.../15,33,8,Autocancels on frame 1-7 and 34 onward,2.5/5.0,5/9,2/3,Multi/Final,-6/-5,8—14 (rehit: 2) / 15—16,19
Ness,Aerial Attacks,Down Air,18,52,12,Autocancels on frame 1-17 and 39 onward,14.0/12.0,--,--,Early/Late,-7/-8,18—20/21—24,28
Ness,Aerial Attacks,Neutral B (PK Flash),40—117,61—138,--,"On release, startup is 14 and total frames is 35.",11.0—27.0,13—24,4—8,--,-4 to +11,40—44/117—121,--
Ness,Aerial Attacks,Side B (PK Fire),18,55,12 (Air version),Will not erupt on shields. The flame pillar has a rehit rate of 7 and lasts about 100 frames,6.0/1.0,6,3,Spark/Pillar,-28,18—37,18
Ness,Aerial Attacks,Up B (PK Thunder),20,--,--,39 endlag after hitting a target,11.0/1.0,13/3,4/10,Direct/Tail,-22,20—139,--
Ness,Aerial Attacks,"Up B, Self-hit (PK Thunder 2)",1,56,24,Invulnerable on frame 1-32. Landing lag is if you enter special fall.,25.0/21.0,17/16,22/18,Early/Late,-33,1—10/11—32,24
Ness,Aerial Attacks,Down B (PSI Magnet),7 (7 is start of absorb),24,--,Begins absorbing on frame 7. Total frame is the minimum duration. Endlag is otherwise 9 on release.,4.0,5,5,--,-12,7—12 (absorb),--
Ness,Aerial Attacks,Grab,6,37,--,--,--,,,,,6—7,30
Ness,Aerial Attacks,Dash Grab,9,45,--,--,--,,,,,9—10,35
Ness,Aerial Attacks,Pivot Grab,10,40,--,--,--,,,,,10—11,29
Ness,Aerial Attacks,Pummel,1,19,--,Total frames includes 13 frames of hitlag,1.3,,,,,,
Ness,Aerial Attacks,Forward Throw,27,52,--,--,11.0,,,,,,
Ness,Aerial Attacks,Backward Throw,27,52,--,--,11.0,,,,,,
Ness,Aerial Attacks,Up Throw,36,55,--,--,12.0,,,,,,
