character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Pit,Ground Attacks,Jab 1,4,25,--,Transitions to jab 2 as early as frame 8,2.0,7,3,--,-18,4—5,20
Pit,Ground Attacks,Jab 2,5,29,--,Transitions to jab 3 as early as frame 8. To rapid jab as early as 7,2.0,5,3,--,-21,5—6,23
Pit,Ground Attacks,Jab 3,3,31,--,--,4.0,11,5,--,-23,3,28
Pit,Ground Attacks,Rapid Jab,6/8/10...,--,--,--,0.5,4,3,--,--,6/8/10...,--
Pit,Ground Attacks,Rapid Jab Finisher,4,47,--,--,2.0,9,3,--,-40,4—5,42
Pit,Ground Attacks,Forward Tilt,10,39,--,--,7.0/10.0,7/10,7/10,Close/Far,-22/-19,10—14,25
Pit,Ground Attacks,Up Tilt,6/15,32,--,--,4.0/5.0,5/6,5/6,--,-23/-13,6—8/15—16,16
Pit,Ground Attacks,Down Tilt,6,25,--,--,6.0,6,6,--,-13,6—7,18
Pit,Ground Attacks,Dash Attack,7,38,--,--,11.0,8,14,--,-17,7—9,29
Pit,Ground Attacks,Forward Smash,10/21,54,--,Charge hold is frame 3,5.0/10.0,6/8,4/7,--,-26,10/21—22,32
Pit,Ground Attacks,Up Smash,6/7/10/18,51,--,Charge hold is frame 2,3.0/*/2.0/8.0,5/*/4/9,3/*/3/6,First/First Late/Second/Third,-27,6/7/10/18,33
Pit,Ground Attacks,Down Smash,5/18,40,--,Charge hold is frame 2,12.0/10.0,9/8,8/7,Close/Far,-27/-28/-14/-15,5—6/18—20,20
Pit,Ground Attacks,Neutral Air,4/7/10/13/16/19/22/25,54,14,Autocancels on frame 1-3 and 30 onward,0.7/4.5,4/10,2/3,Multi/Final,-12/-11,4—5/7—8/10—11/13—14/16—17/19—20/22—23/25,29
Pit,Ground Attacks,Forward Air,11/14/18,46,12,Autocancels on frame 28 onward,2.5/6.0,5/14,2/3,Multi/Final,-10/-9,11—12/14—15/18—19,27
Pit,Ground Attacks,Back Air,10,40,8,Autocancels on frame 28 onward,8.0/12.0,8/11,4/5,Close/Far,-4/-3,10—12,28
Pit,Ground Attacks,Up Air,10/13/16/19/22,40,14,Autocancels on frame 1-4 and 37 onward,1.5/5.0,4/11,2/3,--,-12/-11,10—12/13—15/16—18/19—21/22—23,17
Pit,Ground Attacks,Down Air,10,36,12,Autocancels on frame 1-6 and 36 onward,10.0,8,4,Normal/Late,-8,10/11—12,24
Pit,Ground Attacks,Neutral B (Palutena's Bow),16—76,See Notes,--,"Total frames vary depending on which move is used: Forward, Grounded : 46 | Forward, Aerial : 43 | Up, Grounded : 42 | Up, Aerial : 40",3.2—8.6,5—7,2—3,--,-23 to -20,16—60 (sideways) || 17—61 (up),--
Pit,Ground Attacks,Side B (Upperdash Arm),18,79/49,--,Startup is 2 upon reaching a target. Super Armor begins on frame 11 and ends on the frame he begins swing.,11.0,15,10,--,-37,16—35(detector),--
Pit,Ground Attacks,"Side B, Air (Upperdash Arm, Air)",21,104/51,30,Startup is 2 upon reaching a target. 55 endlag on the swing if you don't land,9.0,15,9,--,-40,19—35(detector),--
Pit,Ground Attacks,Up B (Power of Flight),--,--,40,"Invulnerable on frame 9-19, 15-19 in the air. Can Sweetspot ledges starting on frame 24.",--,--,--,--,--,--,--
Pit,Ground Attacks,Down B (Guardian Orbitars),7 (Start of Reflect),39—124,--,Reflects/blocks as early as frame 7. 18 endlag on release.,--,--,--,--,--,--,--
Pit,Ground Attacks,Grab,6,34,--,--,--,,,,,6—7,27
Pit,Ground Attacks,Dash Grab,9,42,--,--,--,,,,,9—10,32
Pit,Ground Attacks,Pivot Grab,10,37,--,--,--,,,,,10—11,26
Pit,Ground Attacks,Pummel,1,19,--,Total frames includes 13 frames of hitlag,1.3,,,,,,
Pit,Ground Attacks,Forward Throw,12/14,27,--,--,6.0/4.0,,,,,,
Pit,Ground Attacks,Backward Throw,29,38,--,--,8.0,,,,,,
Pit,Ground Attacks,Up Throw,13/15,37,--,--,4.0/7.0,,,,,,
Pit,Ground Attacks,Down Throw,13/16,31,--,--,2.0/4.0,,,,,,
Pit,Ground Attacks,Spot Dodge,,20/25,--,Intangible on frame 3-17,,,,,,,
Pit,Ground Attacks,Forward Roll,,29,--,Intangible on frame 4-15,,,,,,,
Pit,Ground Attacks,Backward Roll,,34,--,Intangible on frame 5-16,,,,,,,
Pit,Ground Attacks,Neutral Air Dodge,,52,10,Intangible on frame 3-29,,,,,,,
Pit,Ground Attacks,"Air Dodge, Down",,73,11-19,Intangible on frame 3-21,,,,,,,
Pit,Ground Attacks,"Air Dodge, Diagonally Down",,82,11-19,Intangible on frame 3-21,,,,,,,
Pit,Ground Attacks,"Air Dodge, Left/Right",,89,11-19,Intangible on frame 3-21,,,,,,,
Pit,Ground Attacks,"Air Dodge, Diagonally Up",,110,11-19,Intangible on frame 3-21,,,,,,,
Pit,Ground Attacks,"Air Dodge, Up",,119,11-19,Intangible on frame 3-21,,,,,,,
Pit,Ground Attacks,Stats,,,,,,,,,,,
Pit,Ground Attacks,Ledge Grab,,,,,,,,,,,
Pit,Ground Attacks,Ledge Hang,,,,,,,,,,,
Pit,Ground Attacks,Ledge Roll,,,,,,,,,,,
Pit,Ground Attacks,Getup Attacks,,,,,,,,,,,
Pit,Aerial Attacks,Neutral Air,4/7/10/13/16/19/22/25,54,14,Autocancels on frame 1-3 and 30 onward,0.7/4.5,4/10,2/3,Multi/Final,-12/-11,4—5/7—8/10—11/13—14/16—17/19—20/22—23/25,29
Pit,Aerial Attacks,Forward Air,11/14/18,46,12,Autocancels on frame 28 onward,2.5/6.0,5/14,2/3,Multi/Final,-10/-9,11—12/14—15/18—19,27
Pit,Aerial Attacks,Back Air,10,40,8,Autocancels on frame 28 onward,8.0/12.0,8/11,4/5,Close/Far,-4/-3,10—12,28
Pit,Aerial Attacks,Up Air,10/13/16/19/22,40,14,Autocancels on frame 1-4 and 37 onward,1.5/5.0,4/11,2/3,--,-12/-11,10—12/13—15/16—18/19—21/22—23,17
Pit,Aerial Attacks,Down Air,10,36,12,Autocancels on frame 1-6 and 36 onward,10.0,8,4,Normal/Late,-8,10/11—12,24
Pit,Aerial Attacks,Neutral B (Palutena's Bow),16—76,See Notes,--,"Total frames vary depending on which move is used: Forward, Grounded : 46 | Forward, Aerial : 43 | Up, Grounded : 42 | Up, Aerial : 40",3.2—8.6,5—7,2—3,--,-23 to -20,16—60 (sideways) || 17—61 (up),--
Pit,Aerial Attacks,Side B (Upperdash Arm),18,79/49,--,Startup is 2 upon reaching a target. Super Armor begins on frame 11 and ends on the frame he begins swing.,11.0,15,10,--,-37,16—35(detector),--
Pit,Aerial Attacks,"Side B, Air (Upperdash Arm, Air)",21,104/51,30,Startup is 2 upon reaching a target. 55 endlag on the swing if you don't land,9.0,15,9,--,-40,19—35(detector),--
Pit,Aerial Attacks,Up B (Power of Flight),--,--,40,"Invulnerable on frame 9-19, 15-19 in the air. Can Sweetspot ledges starting on frame 24.",--,--,--,--,--,--,--
Pit,Aerial Attacks,Down B (Guardian Orbitars),7 (Start of Reflect),39—124,--,Reflects/blocks as early as frame 7. 18 endlag on release.,--,--,--,--,--,--,--
Pit,Aerial Attacks,Grab,6,34,--,--,--,,,,,6—7,27
Pit,Aerial Attacks,Dash Grab,9,42,--,--,--,,,,,9—10,32
Pit,Aerial Attacks,Pivot Grab,10,37,--,--,--,,,,,10—11,26
Pit,Aerial Attacks,Pummel,1,19,--,Total frames includes 13 frames of hitlag,1.3,,,,,,
Pit,Aerial Attacks,Forward Throw,12/14,27,--,--,6.0/4.0,,,,,,
Pit,Aerial Attacks,Backward Throw,29,38,--,--,8.0,,,,,,
Pit,Aerial Attacks,Up Throw,13/15,37,--,--,4.0/7.0,,,,,,
Pit,Aerial Attacks,Down Throw,13/16,31,--,--,2.0/4.0,,,,,,
Pit,Aerial Attacks,Spot Dodge,,20/25,--,Intangible on frame 3-17,,,,,,,
Pit,Aerial Attacks,Forward Roll,,29,--,Intangible on frame 4-15,,,,,,,
Pit,Aerial Attacks,Backward Roll,,34,--,Intangible on frame 5-16,,,,,,,
Pit,Aerial Attacks,Neutral Air Dodge,,52,10,Intangible on frame 3-29,,,,,,,
Pit,Aerial Attacks,"Air Dodge, Down",,73,11-19,Intangible on frame 3-21,,,,,,,
Pit,Aerial Attacks,"Air Dodge, Diagonally Down",,82,11-19,Intangible on frame 3-21,,,,,,,
Pit,Aerial Attacks,"Air Dodge, Left/Right",,89,11-19,Intangible on frame 3-21,,,,,,,
Pit,Aerial Attacks,"Air Dodge, Diagonally Up",,110,11-19,Intangible on frame 3-21,,,,,,,
Pit,Aerial Attacks,"Air Dodge, Up",,119,11-19,Intangible on frame 3-21,,,,,,,
Pit,Aerial Attacks,Stats,,,,,,,,,,,
Pit,Aerial Attacks,Ledge Grab,,,,,,,,,,,
Pit,Aerial Attacks,Ledge Hang,,,,,,,,,,,
Pit,Aerial Attacks,Ledge Roll,,,,,,,,,,,
Pit,Aerial Attacks,Getup Attacks,,,,,,,,,,,
Pit,Special Attacks,Neutral B (Palutena's Bow),16—76,See Notes,--,"Total frames vary depending on which move is used: Forward, Grounded : 46 | Forward, Aerial : 43 | Up, Grounded : 42 | Up, Aerial : 40",3.2—8.6,5—7,2—3,--,-23 to -20,16—60 (sideways) || 17—61 (up),--
