character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Pt_charizard,Ground Attacks,Jab 1,4,22,--,Transitions to jab 2 as early as frame 7,2.5,7,4,--,-14,4—5,17
Pt_charizard,Ground Attacks,Jab 2,5,25,--,Transitions to jab 3 as early as frame 8,2.5,6,4,--,-16,5—6,19
Pt_charizard,Ground Attacks,Jab 3,7,33,--,--,5.0,9,6,--,-20,7—8,25
Pt_charizard,Ground Attacks,Forward Tilt,12,37,--,--,7.0/11.0,7/8,7/10,Close/Far,-18/-15,12—13,24
Pt_charizard,Ground Attacks,Up Tilt,9,33,--,--,8.0,7,8,--,-16,9—12,21
Pt_charizard,Ground Attacks,Down Tilt,9,30,--,--,10.0,10,10,--,-11,9—10,20
Pt_charizard,Ground Attacks,Dash Attack,10,39,--,--,13.0/10.0,9/8,17/14,Early/Late,-12,10—12/13—20,19
Pt_charizard,Ground Attacks,Forward Smash,22,69,--,Invulnerable on frame 20-24. Charge hold is frame 15,19.0/16.4,15/10,11/10,Close/Far,-36/-37,22/23—24,45
Pt_charizard,Ground Attacks,Up Smash,6/14,46,--,Charge hold is frame 2,5.0/11.0,6/8,4/8,Hit 1(Ground Only/Late) / Hit 2,-24,(6/7—9) / 14—19,27
Pt_charizard,Ground Attacks,Down Smash,14,60,--,Charge hold is frame 1,16.0,10,11,--,-35,14—16,44
Pt_charizard,Ground Attacks,Neutral Air,8,39,10,Autocancels on frame 1-3 and 31 onward,9.0/12.0,7/9,4/5,Close/Far,-6/-5,8—20,19
Pt_charizard,Ground Attacks,Forward Air,8,45,19,Autocancels on frame 1-4 and 35 onward,12.0/13.0,9/9,5/5,Close/Far,-14/-14,8—9/10—12,33
Pt_charizard,Ground Attacks,Back Air,14,45,20,Autocancels on frame 1-3 and 44 onward,11.0/14.0/16.0,8/10/10,4/5/6,Close/far/farther,-16/-15/-14,14/15—16,29
Pt_charizard,Ground Attacks,Up Air,12,45,13,Head intangibility on frame 11-15. Autocancels on frame 1-3 and 38 onward,13.0,9,5,--,-8,12—15,30
Pt_charizard,Ground Attacks,Down Air,18,51,21,Autocancels on frame 1-5 and 42 onward,14.0/8.0,10/7,5/4,Early/Late,-16/-17,18—21/22—25,26
Pt_charizard,Ground Attacks,Neutral B (Flamethrower),19/26/33/40,70,--,Startup and total frames are the minimum. Endlag is 27 from extended use,2.0/1.0,4/4,2/2,Close/Far,-24,19—22/26—29/33—36/40—43,27
Pt_charizard,Ground Attacks,Side B (Flare Blitz),23,101,--,58 endlag on hit if nothing catches your fall first. Lands on 48 on level ground and can input a wakeup move on 73. Total frames is when you don't hit anything. Explosion is frames 2—4 after connecting. Damage based armor 15% (18% in 1v1) on frames 23—51.,6.0/18.0,6/15,-/6,--,-52/-66,23—51,50
Pt_charizard,Ground Attacks,Up B (Fly),9...,--,30,Super armor on frame 4-15,5.0/2.0/4.0,6/4/5,6/3/5,--,--,9—10/16—26(rehit: 3)/27—28,--
Pt_charizard,Ground Attacks,Down B (Pokemon Change),--,39,--,Invulnerable on frame 1-25. ~140 frame period before you can change again.,--,--,--,--,--,**,--
Pt_charizard,Ground Attacks,Grab,8,39,--,--,--,,,,,8—10,29
Pt_charizard,Ground Attacks,Dash Grab,11,45,--,--,--,,,,,11—13,32
Pt_charizard,Ground Attacks,Pivot Grab,12,42,--,--,--,,,,,12—14,28
Pt_charizard,Ground Attacks,Pummel,2,21,--,Total frames includes 14 frames of hitlag,1.6,,,,,,
Pt_charizard,Ground Attacks,Forward Throw,27,59,--,--,10.0,,,,,,
Pt_charizard,Ground Attacks,Backward Throw,26,32,--,--,10.0,,,,,,
Pt_charizard,Ground Attacks,Up Throw,52/58,79,--,--,8.0/3.0,,,,,,
Pt_charizard,Ground Attacks,Down Throw,24/30/36/42/48/55,76,--,--,1.0,,,,,,
Pt_charizard,Ground Attacks,Spot Dodge,,23/28,--,Intangible on frame 3-18,,,,,,,
Pt_charizard,Ground Attacks,Forward Roll,,32,--,Intangible on frame 4-16,,,,,,,
Pt_charizard,Ground Attacks,Backward Roll,,37,--,Intangible on frame 5-17,,,,,,,
Pt_charizard,Ground Attacks,Neutral Air Dodge,,49,10,Intangible on frame 3-30,,,,,,,
Pt_charizard,Ground Attacks,"Air Dodge, Down",,70,11-19,Intangible on frame 3-22,,,,,,,
Pt_charizard,Ground Attacks,"Air Dodge, Diagonally Down",,78,11-19,Intangible on frame 3-22,,,,,,,
Pt_charizard,Ground Attacks,"Air Dodge, Left/Right",,85,11-19,Intangible on frame 3-22,,,,,,,
Pt_charizard,Ground Attacks,"Air Dodge, Diagonally Up",,99,11-19,Intangible on frame 3-22,,,,,,,
Pt_charizard,Ground Attacks,"Air Dodge, Up",,105,11-19,Intangible on frame 3-22,,,,,,,
Pt_charizard,Ground Attacks,Stats,,,,,,,,,,,
Pt_charizard,Ground Attacks,Ledge Grab,,,,,,,,,,,
Pt_charizard,Ground Attacks,Ledge Hang,,,,,,,,,,,
Pt_charizard,Ground Attacks,Ledge Roll,,,,,,,,,,,
Pt_charizard,Ground Attacks,Getup Attacks,,,,,,,,,,,
Pt_charizard,Aerial Attacks,Neutral Air,8,39,10,Autocancels on frame 1-3 and 31 onward,9.0/12.0,7/9,4/5,Close/Far,-6/-5,8—20,19
Pt_charizard,Aerial Attacks,Forward Air,8,45,19,Autocancels on frame 1-4 and 35 onward,12.0/13.0,9/9,5/5,Close/Far,-14/-14,8—9/10—12,33
Pt_charizard,Aerial Attacks,Back Air,14,45,20,Autocancels on frame 1-3 and 44 onward,11.0/14.0/16.0,8/10/10,4/5/6,Close/far/farther,-16/-15/-14,14/15—16,29
Pt_charizard,Aerial Attacks,Up Air,12,45,13,Head intangibility on frame 11-15. Autocancels on frame 1-3 and 38 onward,13.0,9,5,--,-8,12—15,30
