character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Pt_ivysaur,Ground Attacks,Jab 1,7,27,--,Transitions to Jab 2 as early as frame 10.,2.0,6,3,--,-17,7—8,19
Pt_ivysaur,Ground Attacks,Jab 2,5,27,--,Transitions to Rapid jab as early as frame 10.,2.0,4,3,--,-19,5—6,21
Pt_ivysaur,Ground Attacks,Rapid Jab,4/7/10...,--,--,--,0.5,4,3,--,--,4/7/10...,--
Pt_ivysaur,Ground Attacks,Rapid Jab Finisher,4,39,--,--,2.0,9,3,--,-32,4—5,34
Pt_ivysaur,Ground Attacks,Forward Tilt,10/12/14/16/18/20/22,45,--,--,1.5/2.0,4/10,3/3,Multi/Final,-20,10/12/14/16/18/20/22,23
Pt_ivysaur,Ground Attacks,Up Tilt,7,32,--,--,7.0,7,7,--,-18,7—13,19
Pt_ivysaur,Ground Attacks,Down Tilt,4,31,--,--,5.5,6,6,--,-21,4—6,25
Pt_ivysaur,Ground Attacks,Dash Attack,4,43,--,--,12.0/10.0,9/8,11/10,Early/Late,-27,4—11/12—19,24
Pt_ivysaur,Ground Attacks,Forward Smash,15,59,--,Charge hold is frame 9,16.0/14.0,10/10,11/10,Early/Late,-33,15—18/19—20,39
Pt_ivysaur,Ground Attacks,Up Smash,26,59,--,Charge hold is frame 7,17.0,11,11,--,-21,26—29,30
Pt_ivysaur,Ground Attacks,Down Smash,13,45,--,Charge hold is frame 6,8.0/10.0/12.0,7/8/9,6/7/8,close/far/farther,-26/-25/-24,13—14,31
Pt_ivysaur,Ground Attacks,Neutral Air,7/10/13/16/19/22/25/28,41,16,Autocancels on frame 1-3 and 41 onward,1.0/2.0,4/9,2/2,Multi/Final,-14/-14,7—26/28—29,12
Pt_ivysaur,Ground Attacks,Forward Air,14,48,13,Autocancels on frame 1-2 and 39 onward,12.0,9,5,--,-8,14—18,30
Pt_ivysaur,Ground Attacks,Back Air,7/13,43,7,Autocancels on frame 1-6 and 43 onward,3.0/6.0,5/7,2/3,--,-5/-4,7—9/13—15,28
Pt_ivysaur,Ground Attacks,Up Air,12,51,11,Autocancels on frame 41 onward,15.0,10,5,--,-6,12—13,38
Pt_ivysaur,Ground Attacks,Down Air,11,63,13,Autocancels on frame 1-2 and 52 onward,10.0,8,4,--,-9,11—12,51
Pt_ivysaur,Ground Attacks,Neutral B (Bullet Seed),7,44 ground (after last seed) / 31 air (after last seed),--,"Startup is initial launcher and then the timing each bullet spawns, not necessarily when they impact. Numbers refer to minimum use. Each",3.0/1.5/1.3/3.0,5/4/4/5,4/2/2/2,First/multi/later multi/final,-34,"7, 13—20, 19—26, 25—32, 31—38...",6
Pt_ivysaur,Ground Attacks,Side B (Razor Leaf),24,48,--,--,8.0/6.0/4.0,7/6/5,3/3/2,Early/late/later,-14,24-34/35-53/54-73,--
Pt_ivysaur,Ground Attacks,Up B (Vinewhip),15,47,--,Tethers on frame 13. Does not induce special fall.,11.0/13.0,8/9,10/12,Close/Far,-22/-20,15—17,30
Pt_ivysaur,Ground Attacks,Down B (Pokemon Change),--,39,--,Invulnerable on frame 1-25. ~140 frame period before you can change again.,--,--,--,--,--,**,--
Pt_ivysaur,Ground Attacks,Grab,13,42,--,--,--,,,,,13—14,28
Pt_ivysaur,Ground Attacks,Dash Grab,13,48,--,--,--,,,,,13—14,34
Pt_ivysaur,Ground Attacks,Pivot Grab,13,44,--,--,--,,,,,13—14,30
Pt_ivysaur,Ground Attacks,Pummel,1,19,--,Total frames includes 13 frames of hitlag,1.3,,,,,,
Pt_ivysaur,Ground Attacks,Forward Throw,16/17,37,--,--,5.0/5.0,,,,,,
Pt_ivysaur,Ground Attacks,Backward Throw,20,35,--,--,12.0,,,,,,
Pt_ivysaur,Ground Attacks,Up Throw,20/21,39,--,--,4.0/5.0,,,,,,
Pt_ivysaur,Ground Attacks,Down Throw,19,34,--,--,7.0,,,,,,
Pt_ivysaur,Ground Attacks,Spot Dodge,,21/26,--,Intangible on frame 3-17,,,,,,,
Pt_ivysaur,Ground Attacks,Forward Roll,,30,--,Intangible on frame 4-15,,,,,,,
Pt_ivysaur,Ground Attacks,Backward Roll,,35,--,Intangible on frame 5-16,,,,,,,
Pt_ivysaur,Ground Attacks,Neutral Air Dodge,,56,10,Intangible on frame 3-29,,,,,,,
Pt_ivysaur,Ground Attacks,"Air Dodge, Down",,76,11-19,Intangible on frame 3-21,,,,,,,
Pt_ivysaur,Ground Attacks,"Air Dodge, Diagonally Down",,84,11-19,Intangible on frame 3-21,,,,,,,
Pt_ivysaur,Ground Attacks,"Air Dodge, Left/Right",,93,11-19,Intangible on frame 3-21,,,,,,,
Pt_ivysaur,Ground Attacks,"Air Dodge, Diagonally Up",,110,11-19,Intangible on frame 3-21,,,,,,,
Pt_ivysaur,Ground Attacks,"Air Dodge, Up",,124,11-19,Intangible on frame 3-21,,,,,,,
Pt_ivysaur,Ground Attacks,Stats,,,,,,,,,,,
Pt_ivysaur,Ground Attacks,Ledge Grab,,,,,,,,,,,
Pt_ivysaur,Ground Attacks,Ledge Hang,,,,,,,,,,,
Pt_ivysaur,Ground Attacks,Ledge Roll,,,,,,,,,,,
Pt_ivysaur,Ground Attacks,Getup Attacks,,,,,,,,,,,
Pt_ivysaur,Aerial Attacks,Neutral Air,7/10/13/16/19/22/25/28,41,16,Autocancels on frame 1-3 and 41 onward,1.0/2.0,4/9,2/2,Multi/Final,-14/-14,7—26/28—29,12
Pt_ivysaur,Aerial Attacks,Forward Air,14,48,13,Autocancels on frame 1-2 and 39 onward,12.0,9,5,--,-8,14—18,30
Pt_ivysaur,Aerial Attacks,Back Air,7/13,43,7,Autocancels on frame 1-6 and 43 onward,3.0/6.0,5/7,2/3,--,-5/-4,7—9/13—15,28
Pt_ivysaur,Aerial Attacks,Up Air,12,51,11,Autocancels on frame 41 onward,15.0,10,5,--,-6,12—13,38
Pt_ivysaur,Aerial Attacks,Down Air,11,63,13,Autocancels on frame 1-2 and 52 onward,10.0,8,4,--,-9,11—12,51
Pt_ivysaur,Aerial Attacks,Neutral B (Bullet Seed),7,44 ground (after last seed) / 31 air (after last seed),--,"Startup is initial launcher and then the timing each bullet spawns, not necessarily when they impact. Numbers refer to minimum use. Each",3.0/1.5/1.3/3.0,5/4/4/5,4/2/2/2,First/multi/later multi/final,-34,"7, 13—20, 19—26, 25—32, 31—38...",6
Pt_ivysaur,Aerial Attacks,Side B (Razor Leaf),24,48,--,--,8.0/6.0/4.0,7/6/5,3/3/2,Early/late/later,-14,24-34/35-53/54-73,--
Pt_ivysaur,Aerial Attacks,Up B (Vinewhip),15,47,--,Tethers on frame 13. Does not induce special fall.,11.0/13.0,8/9,10/12,Close/Far,-22/-20,15—17,30
Pt_ivysaur,Aerial Attacks,Down B (Pokemon Change),--,39,--,Invulnerable on frame 1-25. ~140 frame period before you can change again.,--,--,--,--,--,**,--
Pt_ivysaur,Aerial Attacks,Grab,13,42,--,--,--,,,,,13—14,28
Pt_ivysaur,Aerial Attacks,Dash Grab,13,48,--,--,--,,,,,13—14,34
Pt_ivysaur,Aerial Attacks,Pivot Grab,13,44,--,--,--,,,,,13—14,30
Pt_ivysaur,Aerial Attacks,Pummel,1,19,--,Total frames includes 13 frames of hitlag,1.3,,,,,,
Pt_ivysaur,Aerial Attacks,Forward Throw,16/17,37,--,--,5.0/5.0,,,,,,
Pt_ivysaur,Aerial Attacks,Backward Throw,20,35,--,--,12.0,,,,,,
Pt_ivysaur,Aerial Attacks,Up Throw,20/21,39,--,--,4.0/5.0,,,,,,
Pt_ivysaur,Aerial Attacks,Down Throw,19,34,--,--,7.0,,,,,,
Pt_ivysaur,Aerial Attacks,Spot Dodge,,21/26,--,Intangible on frame 3-17,,,,,,,
Pt_ivysaur,Aerial Attacks,Forward Roll,,30,--,Intangible on frame 4-15,,,,,,,
Pt_ivysaur,Aerial Attacks,Backward Roll,,35,--,Intangible on frame 5-16,,,,,,,
Pt_ivysaur,Aerial Attacks,Neutral Air Dodge,,56,10,Intangible on frame 3-29,,,,,,,
Pt_ivysaur,Aerial Attacks,"Air Dodge, Down",,76,11-19,Intangible on frame 3-21,,,,,,,
Pt_ivysaur,Aerial Attacks,"Air Dodge, Diagonally Down",,84,11-19,Intangible on frame 3-21,,,,,,,
Pt_ivysaur,Aerial Attacks,"Air Dodge, Left/Right",,93,11-19,Intangible on frame 3-21,,,,,,,
Pt_ivysaur,Aerial Attacks,"Air Dodge, Diagonally Up",,110,11-19,Intangible on frame 3-21,,,,,,,
Pt_ivysaur,Aerial Attacks,"Air Dodge, Up",,124,11-19,Intangible on frame 3-21,,,,,,,
Pt_ivysaur,Aerial Attacks,Stats,,,,,,,,,,,
Pt_ivysaur,Aerial Attacks,Ledge Grab,,,,,,,,,,,
