character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Ridley,Ground Attacks,Jab 1,4,23,--,Transitions to Jab 2 on frame 7,2.0,7,3,--,-16,4—5,18
Ridley,Ground Attacks,Jab 2,5,26,--,Transitions to Jab 3 on frame 10. Rapid on frame 9.,1.5,5,3,--,-18,5—6,20
Ridley,Ground Attacks,Jab 3,4,35,--,--,5.0,11,6,--,-25,4—5,30
Ridley,Ground Attacks,Rapid Jab,4/7/10...,--,--,--,0.7,4,--,--,**,**,--
Ridley,Ground Attacks,Rapid Jab Finisher,4,45,--,--,2.0,9,3,--,-38,4—5,40
Ridley,Ground Attacks,Forward Tilt,10,32,--,--,10.0/13.0,8/11,10/12,Close/Far,-12/-10,10—11,21
Ridley,Ground Attacks,Up Tilt,8,29,--,Head and arm intangibility on frame 8-9. Wing intangibility on frame 8-12,7.0/9.0,7/7,7/9,--,-14/-12,8—12,17
Ridley,Ground Attacks,Down Tilt,9,30,--,--,6.0/9.0,6/7,6/9,Close/Far,-15/-12,9—11,19
Ridley,Ground Attacks,Dash Attack,12,39,--,--,12.0,10,11,--,-16,12—13,26
Ridley,Ground Attacks,Forward Smash,18,53,--,Charge hold is frame 5,20.0,11,13,--,-22,18—21,32
Ridley,Ground Attacks,Up Smash,12,47,--,Leg intangibility on frame 12-17. Charge hold is frame 6,17.0,10,11,--,-24,12—17,30
Ridley,Ground Attacks,Down Smash,24,57,--,Charge hold is frame 2,16.0,10,11,--,-22,24—27,30
Ridley,Ground Attacks,Neutral Air,8,39,12,Autocancels on frame 1-2 and 28 onward,9.0/12.0/(5.0/8.0,7/10/6,4/5/3,Early Tail/Early Tip/Late Tail/Late Tip,-8/-7/-9,8—14/15—20,19
Ridley,Ground Attacks,Forward Air,10/13/16,41,16,Autocancels on frame 1-2 and 43 onward,(3.0/5.0)/(5.0/7.0),(6/6)/(6/8),(2/3)/(3/3),(Multi close/far)/(Final close/far),(-14/-13)/(-13/-13),10—11/13—14/16—17,24
Ridley,Ground Attacks,Back Air,10,43,17,Autocancels on frame 38 onward,16.0,10,5,--,-12,10—12,31
Ridley,Ground Attacks,Up Air,11,39,14,Autocancels on frame 1-3 and 35 onward,14.0/14.0,9/13,5/5,Far/Close,-9/-9,11—13,26
Ridley,Ground Attacks,Down Air,11,55,32,Autocancels on frame 1-3 and 50 onward,14.0/12.0,11/9,5/5,Early Meteor/Late,-27/-27,11—18/19—40,15
Ridley,Ground Attacks,Neutral B (Plasma Breath),29 | 56/65/73/84/92,55 | 102,--,"If Ridley is hit in the mouth while charging on frame 16-45, he recoils in a 52 frame animation.",4.5/3.5 | 5.67/4.41,5/5 // 6/5,3/2 // 3/3,Early / Late,-23 // -1,29—58/59—78 | ***,--
Ridley,Ground Attacks,Side B (Space Pirate Rush),22,78,--,--,--,**,**,--,**,22—34,44
Ridley,Ground Attacks,"Side B (Space Pirate Rush, Air)",22,60,--,"Landing hitbox on frame 1 after a grab, then transitions to ground drag",--,**,**,--,**,22—34,26
Ridley,Ground Attacks,"Side B (Space Pirate Rush, Success)",10/24/28/32...,60,--,Drag begins on 24. Deals damage every four frames.,4.0/2.0,**,**,Initial / Drag,**,**,--
Ridley,Ground Attacks,"Space Pirate Rush, Manual/Ledge/Air Release",2/7/2,41/42/41,--,Can manually release on 48 on the ground. 43 in the air.,7.0/7.0/7.0,**,**,Ground/Ledge/Air,**,**,--
Ridley,Ground Attacks,Up B (Wing Blitz),34/36/37,**,32/35,Second landing lag is for a dive directly into the ground. Wing intangibility on frame 34-57 when traveling up. 36-59 when traveling horizontally. Damage dependent on direction travelled. Landing hit on frame 1. Advantage is for that. Grabs ledges on frame 35/37/38.,18.0 / 16.0 / 15.0 / 5.0,10/10/10/6,16/14/14/6,Up/horizontal/down/landing,-28,34—57/36—55/37—59,--
