character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Rob,Ground Attacks,Jab 1,3,20,--,Transitions to jab 2 as early as frame 11,3.0,5,4,--,-13,3—4,16
Rob,Ground Attacks,Jab 2,3,20,--,--,3.0,10,4,--,-13,3—4,16
Rob,Ground Attacks,Forward Tilt,7,33,--,--,7.0/8.0/10.0,7,8,Close/Mid/Far,-18,7—9,24
Rob,Ground Attacks,Up Tilt,4/6,26,--,--,3.0/5.0/6.0,5/6,4/6,Hit 1/Hit 2 Far/Hit 3 Close,-14,4—5/6—7,19
Rob,Ground Attacks,Down Tilt,3,14,--,--,5.0,6,6,--,-5,3,11
Rob,Ground Attacks,Dash Attack,7,31,--,--,7.0,7,7,--,-17,7—8,23
Rob,Ground Attacks,Forward Smash,16,54,--,Charge hold is frame 6,15.0/11.5/6.0,15/13/9,10/8/5,Close/Far/Farther,-28/-30/-33,16—17,37
Rob,Ground Attacks,Up Smash,10/14,48,--,Charge hold is frame 7,3.0/14.0/13.0,5/10,3/10,Hit 1/Hit 2 Close/Hit 2 Far,-35/-24,10—11/14—18,30
Rob,Ground Attacks,Down Smash,7/11/16,45,--,Charge hold is frame 3,3.5/3.0/5.0,5/12,3/4,Multi Close/Multi Far/Final,-25,7—8/11—12/16,29
Rob,Ground Attacks,Neutral Air,14,47,7,Autocancels on frame 33 onward,7.5/9.5,7/8,3/4,Close/Final,-4/-3,14—32,15
Rob,Ground Attacks,Forward Air,6,35,9,Autocancels on frame 25 onward,7.0,7,3,--,-6,6—8,27
Rob,Ground Attacks,Back Air,19,52,13,Autocancels on frame 46 onward,15.0/13.0/9.0/7.5,12/11/9,5/5/4,Early Close/Early Far/Late Close/Late Far,-8/-9,19—23/24—32,20
Rob,Ground Attacks,Up Air,7/9/13/17/23,51,13,Autocancels on frame 40 onward,1.5/4.0,4/11,2/3,Multi/Final,-11/-10,7/9/13/17/23—24,27
Rob,Ground Attacks,Down Air,20,69,12,Autocancels on frame 45 onward. Advantage uses Total Frames,(12.0/11.0/11.0/6.0)/(8.0/11.0/8.0/6.0),9/8/6,5/4/3,Early/Late (Close/Mid (Aerial)/Mid (Grounded)/Far),-44/-45/-46,20—21/20—26/22—26,43
Rob,Ground Attacks,Neutral B (Robo Beam),25,49,--,Melee attack and projectile generate on same frame,"7.0/4.5/11.5, 7.0/15.0/22.0","7/5/7, 7/13/13","7/3/7, 7/5/14","Small Beam Close/Far/farther, Large Beam Melee/beam/both","-17/-16/-17, -17/-6/-10","25—27 (melee), 25—43 (small beam), 25—66 (large beam)",--
Rob,Ground Attacks,Side B (Arm Rotor),13...,85,--,Multihits have no hitlag but do have shieldlag. Reflects on frame 13-35. Mashing extends the duration of the multihits.,1.5/3.0,4/12,3/4,Multi/Final,-37,13/14—21/22—37/44,41
Rob,Ground Attacks,"Side B (Arm Rotor, Mashing)",13/18/23/28/33/38/ 43/48/53/58/66,107,--,Multihits have no hitlag but do have shieldlag. Reflects on frame 13-60,1.5/3.0,4/12,3/4,Multi/Final,-37,--,--
Rob,Ground Attacks,Up B (Robo Burner),--,--,--,Invulnerable on frame 2-4 on the ground. Ungrabbable on frames 1-24. Can act on frame 25. Fuel lasts up to 143 frames.,--,--,--,--,--,--,--
Rob,Ground Attacks,Down B (Gyro),"3(+6), 9","36, 42",--,3 startup from charging state. 6 frames to enter charging state. Reaches full charge on frame 98. Damage depends on current item velocity.,"3.6—10.7, 10.7","5—8, 8","2—4, 4","Normal, Full Charge","-26 to -21, -21",--,--
Rob,Ground Attacks,Grab,6,37,--,--,--,,,,,6—7,30
Rob,Ground Attacks,Dash Grab,9,45,--,--,--,,,,,9—10,35
Rob,Ground Attacks,Pivot Grab,10,40,--,--,--,,,,,10—11,29
Rob,Ground Attacks,Pummel,1,18,**,Total frames includes 13 frames of hitlag,1.3,,,,,,
Rob,Ground Attacks,Forward Throw,11,23,--,--,8.0,,,,,,
Rob,Ground Attacks,Backward Throw,12,26,--,--,10.0,,,,,,
Rob,Ground Attacks,Up Throw,58,81,--,--,12.0,,,,,,
Rob,Ground Attacks,Down Throw,50,75,--,Buries,5.0,,,,,,
Rob,Ground Attacks,Spot Dodge,,20/25,--,Intangible on frame 3-17,,,,,,,
Rob,Ground Attacks,Forward Roll,,29,--,Intangible on frame 4-15,,,,,,,
Rob,Ground Attacks,Backward Roll,,34,--,Intangible on frame 5-16,,,,,,,
Rob,Ground Attacks,Neutral Air Dodge,,50,10,Intangible on frame 3-27,,,,,,,
Rob,Ground Attacks,"Air Dodge, Down",,68,11-19,Intangible on frame 3-21,,,,,,,
Rob,Ground Attacks,"Air Dodge, Diagonally Down",,75,11-19,Intangible on frame 3-21,,,,,,,
Rob,Ground Attacks,"Air Dodge, Left/Right",,83,11-19,Intangible on frame 3-21,,,,,,,
Rob,Ground Attacks,"Air Dodge, Diagonally Up",,100,11-19,Intangible on frame 3-21,,,,,,,
Rob,Ground Attacks,"Air Dodge, Up",,111,11-19,Intangible on frame 3-21,,,,,,,
Rob,Ground Attacks,Stats,,,,,,,,,,,
Rob,Ground Attacks,Ledge Grab,,,,,,,,,,,
Rob,Ground Attacks,Ledge Hang,,,,,,,,,,,
Rob,Ground Attacks,Ledge Roll,,,,,,,,,,,
Rob,Ground Attacks,Getup Attacks,,,,,,,,,,,
Rob,Aerial Attacks,Neutral Air,14,47,7,Autocancels on frame 33 onward,7.5/9.5,7/8,3/4,Close/Final,-4/-3,14—32,15
Rob,Aerial Attacks,Forward Air,6,35,9,Autocancels on frame 25 onward,7.0,7,3,--,-6,6—8,27
Rob,Aerial Attacks,Back Air,19,52,13,Autocancels on frame 46 onward,15.0/13.0/9.0/7.5,12/11/9,5/5/4,Early Close/Early Far/Late Close/Late Far,-8/-9,19—23/24—32,20
Rob,Aerial Attacks,Up Air,7/9/13/17/23,51,13,Autocancels on frame 40 onward,1.5/4.0,4/11,2/3,Multi/Final,-11/-10,7/9/13/17/23—24,27
Rob,Aerial Attacks,Down Air,20,69,12,Autocancels on frame 45 onward. Advantage uses Total Frames,(12.0/11.0/11.0/6.0)/(8.0/11.0/8.0/6.0),9/8/6,5/4/3,Early/Late (Close/Mid (Aerial)/Mid (Grounded)/Far),-44/-45/-46,20—21/20—26/22—26,43
