character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Roy,Ground Attacks,Jab,5,22,--,--,7.5/4.8,9/6,8/5,Close/Far,-9/-12,5—7,15
Roy,Ground Attacks,Forward Tilt,8,33,--,--,12.5/9.0/8.0,12/7/7,12/9/8,Close/Far,-13/-16/-17,8—10,23
Roy,Ground Attacks,Up Tilt,6,38,--,--,12.0/7.0,12/7,11/7,Close/Far,-21/-25,6/7—8/9—11,27
Roy,Ground Attacks,Down Tilt,7,21,--,--,11.0/6.5,11/6,10/7,Close/Far,-3/-7,7—8,13
Roy,Ground Attacks,Dash Attack,13,45,--,--,13.0/9.0,12/7,15/11,Close/Far,-17/-21,13—16,29
Roy,Ground Attacks,Forward Smash,13,53,--,Charge hold is frame 6,20.0/17.0/12.0,15/11/9,13/11/8,Close/med/far,-27/-29/-32,13—14,39
Roy,Ground Attacks,Up Smash,12/15/17/19/22,58,--,Forearm intangibility on frame 10-23. Charge hold is frame 4,1.0/2.0/10.0,6/7/10,2/-/7,First/multi/final,-29,12—13/15/17/19/22—23,35
Roy,Ground Attacks,Down Smash,6/21,62,--,Charge hold is frame 3,15.0/10.0/17.0/11.0,13/8/14/8,10/7/11/8,"first close/far, second close/far",-46/-49/-30/-33,6—7/21—22,40
Roy,Ground Attacks,Neutral Air,6/15,45,9,Autocancels on frame 47 onward.The second hit uses a fixed weight for all characters. Every character will experience the same knockback at the same %.,6.0/4.0/8.5/5.0,8/5/10/6,3/3/4/3,"first close/far, second close/far",-6/-6/-5/-6,6—7/15—21,24
Roy,Ground Attacks,Forward Air,10,29,8,Autocancels on frame 31 onward,11.0 / 7.0,11/7,4/3,Close/Far,-4/-5,10—12,17
Roy,Ground Attacks,Back Air,8,35,10,Autocancels on frame 1-2 and 32 onward. Turns the character around.,12.0/9.0,12/7,5/4,Close/Far,-5/-6,8—10,25
Roy,Ground Attacks,Up Air,5,41,8,Autocancels on frame 1-2 and 38 onward,9.0/6.0,10/6,4/3,Close/Far,-4/-5,5—12,29
Roy,Ground Attacks,Down Air,16,51,14,Autocancels on frame 1-2 and 52 onward,15.0/10.0,13/8,5/4,Close/Far,-9/-10,16—17,34
Roy,Ground Attacks,Neutral B (Flare Blade),21-260,44-283,--,Startup is 10 from release. 11 frames to enter charge state.,8.0—50.0,7—22,8—...,--,-15 to Shieldbreak,21—24 (or 10—14 from release),20
Roy,Ground Attacks,"Side B, Hit 1 (Double-Edge Dance, Hit 1)",9,39/29,--,Second total frames is from the air. Can transition to next slash as early as frame 12.,3.0/2.0,5/4,4/3,Close/Far,-26/-16(air),9—11,28
Roy,Ground Attacks,"Double-Edge Dance, Hit 2 Neutral",5,38,--,Can transition to next slash as early as frame 8.,3.0/2.0,5/4,4/3,Close/Far,-29/-30,5—7,31
Roy,Ground Attacks,"Double-Edge Dance, Hit 3 Neutral",4,43,--,Can transition to next slash as early as frame 7.,4.0/3.0,5/5,5/4,Close/Far,-34/-35,4—6,37
Roy,Ground Attacks,"Double-Edge Dance, Hit 4 Neutral",7,58,--,--,6.0/4.0,11/5,6/5,Close/Far,-45/-46,7—9,49
Roy,Ground Attacks,"Double-Edge Dance, Hit 2 Up",4,38,--,Can transition to next slash as early as frame 8.,3.0/2.0,5/4,4/3,--,-34/-35,4—6,32
Roy,Ground Attacks,"Double-Edge Dance, Hit 3 Up",5,43,--,--,4.0/3.0,5/5,5/4,Close/Far,-33/-34,5—7,36
Roy,Ground Attacks,"Double-Edge Dance, Hit 4 Up",6,44,--,--,7.0/5.0,9/8,7/6,Close/Far,-31/-32,6—10,34
Roy,Ground Attacks,"Double-Edge Dance, Hit 3 Down",5,44,--,Can transition to next slash as early as frame 8,4.0/3.0,5/5,5/4,Close/Far,-34/-35,5—7,37
Roy,Ground Attacks,"Double-Edge Dance, Hit 4 Down",7/10/13/16/19,71,--,--,2.0/5.0,4/9,-/6,multi/final,-46,7/10/13/16/19—21,50
Roy,Ground Attacks,Up B (Blazer),9/11...,--,30,Super Armor on frame 4-10 from the ground. Intangible on frame 9.,5.5/1.1/8.0,6/4/15,-/2/8,First/multi/final,**,9/11—19(rehit: 3) / 20—21,--
Roy,Ground Attacks,Down B (Counter),8 (Start of Counter),67,--,Invulnerable on frames 7-9. Counters on 8-29 from 8-27.,--,--,--,--,--,**,--
Roy,Ground Attacks,"Counter, Attack",4,40,--,Invulnerable on frame 1-5. In addition to counter freeze frames,--,--,--,--,--,4—5,35
Roy,Ground Attacks,Grab,7,36,--,--,--,,,,,7—8,28
Roy,Ground Attacks,Dash Grab,10,44,--,--,--,,,,,10—11,33
Roy,Ground Attacks,Pivot Grab,11,39,--,--,--,,,,,11—12,27
Roy,Ground Attacks,Pummel,1,19,--,Total frames includes 13 frames of hitlag,1.3,,,,,,
Roy,Ground Attacks,Forward Throw,15,31,--,--,5.0,,,,,,
Roy,Ground Attacks,Backward Throw,8,44,--,--,5.0,,,,,,
Roy,Ground Attacks,Up Throw,13,44,--,--,6.0,,,,,,
Roy,Ground Attacks,Down Throw,16,41,--,--,5.0,,,,,,
Roy,Ground Attacks,Spot Dodge,,20/25,--,Intangible on frame 3-17,,,,,,,
Roy,Ground Attacks,Forward Roll,,29,--,Intangible on frame 4-15,,,,,,,
Roy,Ground Attacks,Backward Roll,,34,--,Intangible on frame 5-16,,,,,,,
Roy,Ground Attacks,Neutral Air Dodge,,44,10,Intangible on frame 3-29,,,,,,,
Roy,Ground Attacks,"Air Dodge, Down",,62,11-19,Intangible on frame 3-21,,,,,,,
Roy,Ground Attacks,"Air Dodge, Diagonally Down",,68,11-19,Intangible on frame 3-21,,,,,,,
Roy,Ground Attacks,"Air Dodge, Left/Right",,74,11-19,Intangible on frame 3-21,,,,,,,
Roy,Ground Attacks,"Air Dodge, Diagonally Up",,87,11-19,Intangible on frame 3-21,,,,,,,
Roy,Ground Attacks,"Air Dodge, Up",,97,11-19,Intangible on frame 3-21,,,,,,,
Roy,Ground Attacks,Stats,,,,,,,,,,,
Roy,Ground Attacks,Ledge Grab,,,,,,,,,,,
Roy,Ground Attacks,Ledge Hang,,,,,,,,,,,
Roy,Ground Attacks,Ledge Roll,,,,,,,,,,,
