character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Samus,Ground Attacks,Jab 1,3,17,--,Transitions to Jab 2 as early as frame 15.,3.0,5,4,--,-10,3—4,13
Samus,Ground Attacks,Jab 2,6,29,--,--,8.0,7,8,--,-15,6—9,20
Samus,Ground Attacks,Forward Tilt,8,33,--,Deals 1.0 more damage when angled.,8.0/9.0/10.0,7/7/8,8/9/10,Close/Middle/Far,-17/-16/-15,8—10,23
Samus,Ground Attacks,Up Tilt,15,39,--,--,13.0/12.0,9,12,Grounded/Aerial,-12,15—18,21
Samus,Ground Attacks,Down Tilt,6,44,--,--,12.0,9,12,--,-26,6—8,36
Samus,Ground Attacks,Dash Attack,8,41,--,--,10.0/6.0,8/6,10/6,Early/Clean/Late,-23,8—9(10—13/14—18),23
Samus,Ground Attacks,Forward Smash,10,48,--,"Deals 1.0 more damage when angled up, 1.0 less when angled down. Charge hold frame is 3.",12.0/14.0,9/10,9/10,Close/Far,-29/-28,10—11,37
Samus,Ground Attacks,Up Smash,11/15/19/23/27,56,--,Charge hold frame is 6,3.0/6.0,5/6,3/5,Multihit/Final,-24,11—12/15—16/19—20/23—24/27—28,28
Samus,Ground Attacks,Down Smash,9/17,44,--,Charge hold frame is 3,10.0/12.0,8/9,8/9,--,-27/-18,9—10/17—18,26
Samus,Ground Attacks,Neutral Air,8/14,45,9,Autocancels on frame 1-7 and 35 onward,10.0/9.0/8.0,8/8/7,4/4/4,Hit 1/Early Hit 2/Late Hit 2,-5/-5/-6,8—11/14—15(16—22),23
Samus,Ground Attacks,Forward Air,6/12/18/24/30,59,14,Autocancels on frame 47 onward,3.0/1.6/5.0,5/4/12,2/2/3,First/multi/final,-12/-12/-11,6—7/12—13/18—19/24—25/30—31,28
Samus,Ground Attacks,Back Air,9,41,14,Autocancels on frame 1-8 and 42 onward,12.0/14.0/9.0,9/7/8,5/4/4,Early close/Early far/late,-9/-9/-10,9—10(11—14),27
Samus,Ground Attacks,Up Air,5...,39,18,Autocancels on frame 1-2 and 34 onward,3.0/1.2/4.0,5/3/10,2/2/3,First/multi/final,-16/-16/-15,5/7—14(rehit: 3)/16—17,22
