character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Sephiroth,Ground Attacks,Jab 1,5,28,--,Transitions to jab 2 on frame 10,2.5,7,4,--,-19 [-19],5—7,21
Sephiroth,Ground Attacks,Jab 2,5,33,--,Transitions to jab 3 on frame 10,2.0,6,3,--,-25 [-24],5—7,26
Sephiroth,Ground Attacks,Jab 3,7,35,--,**,4.0,8,6,--,-23 [-22],7—9,26
Sephiroth,Ground Attacks,Forward Tilt,14,37,--,--,7.5/12.0/9.0,7/10/7,8/11/9,close/middle/tip,-15/-11/-14 [-13/-8/-12],14—16,21
Sephiroth,Ground Attacks,Up Tilt,10/13,37,--,Arm and upper body intangible on frame 13-15,"1.0 (Hit 1)/(11.0/12.5/14.0 (Hit 2, Clean))/(7.0/8.5/10.0 (Hit 2, late))",4/8 / 10/15,2/10 / 12/13,launcher/close/middle/tip,-32/-21/-19/-18 [-31/-18/-16/-14],10/13-15(16-25),12
Sephiroth,Ground Attacks,Down Tilt,9,42,--,--,8.0/6.0,7/6,8/6,early/late,-25,9—15(16—22),20
Sephiroth,Ground Attacks,Dash Attack,14,46,--,--,13.0/7.0,11,12,--,-20(-22) [-16(-19)],14—15(16—19),27
Sephiroth,Ground Attacks,Forward Smash,24,67,--,Charge hold on frame 8. Armor with Wing on 10—23.,13.5/20.0./15.0,9/15/10,9/13/10,close/middle/tip,-33/-29/-32 [-31/-26/-30],24—25,42
Sephiroth,Ground Attacks,Up Smash,23,63,--,Charge hold on frame 12. Armor with wing on 14—22.Active frames note:Frame in brackets is a coverage hitbox that is active on that frame during the clean hit's active frames.,(15.5/10.5/11.5 Early Hit)/(17.0/13.0/12.0 Clean Hit),8/14/9 / 9/14/9,8/10/8 / 8/11/9,early close/middle/far / late close/middle/far,(-29/-31 front)/(-23/-25/-24 back) [(-26/-29/-30)/(-21/-23/-25)],23/24-[26]-28,35
Sephiroth,Ground Attacks,Down Smash (if hitting the ground),21,53,--,Charge hold on frame 8. Armour with Wing on 10—20.,16.5/13.5/10.5/11.5/13.0,8/13,8/11,Close/Far,-20/-22 [-17/-20],21—23,30
Sephiroth,Ground Attacks,Down Smash (does not hit the ground),21,53,--,Charge hold on frame 8. Armour with Wing on 10—20.,10.5/11.5/13.0,8/13,8/11,Close/Far,-24 [-22],21—22,31
Sephiroth,Ground Attacks,Neutral Air,9,33,9,Autocancels on frame 1 and 30 onward.,8.5,7,4,--,-5 [-4],9—10,23
