character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Sonic,Ground Attacks,Jab 1,3,19,--,Transitions to jab 2 as early as frame 7,2.0,7,3,--,-13,3,16
Sonic,Ground Attacks,Jab 2,2,21,--,Transitions to jab 3 as early as frame 6,1.5,5,3,--,-16,2,19
Sonic,Ground Attacks,Jab 3,4,35,--,--,4.0,11,5,--,-26,4—5,30
Sonic,Ground Attacks,Forward Tilt,6/8,35,--,--,4.0/7.0,5/7,-/7,--,-20,6/8—11,24
Sonic,Ground Attacks,Up Tilt,6(7)/13,35,--,"First hit on frame 6 is ground only, frame 7 if anti air.",2.0/6.0,4/6,3/6,--,-20,6—8(7—8)/13—14,21
Sonic,Ground Attacks,Down Tilt,6,27,--,--,6.0,6,6,--,-15,6—7,20
Sonic,Ground Attacks,Dash Attack,5,49,--,--,8.0/6.0,6,6,Early/Late,-38,5—8(9—20),29
Sonic,Ground Attacks,Forward Smash,18,47,--,Charge hold is frame 12. Please checkthis Tweetto see hitboxes with Sonic's fist at a normal size.,14.0,10,10,--,-19,18—20,27
Sonic,Ground Attacks,Up Smash,14...,61,--,Invulnerable on frame 14-18. Charge hold is frame 10,5.0/1.0/3.0,6/4/5,2/-/3,First/Multi/Final,-29,14/17/19/21/23/25/27/29-30,31
Sonic,Ground Attacks,Down Smash,12,54,--,Charge hold is frame 5,12.0,9,8,--,-34,12—13,41
Sonic,Ground Attacks,Neutral Air,6,49,10,Autocancels on frame 48 onward,12.0/8.0/5.0,9/7/6,5/4/3,Early/Late/Later,-5/-6/-7,6—9(10—19/20—38),11
Sonic,Ground Attacks,Forward Air,5/7/9/11/13/15,45,16,Autocancels on frame 1-2 and 34 onward,0.8/3.0,4/7,-/2,Multi/Final,-14/-14,5/7/9/11/13/15,30
Sonic,Ground Attacks,Back Air,13,37,15,Autocancels on frame 1-4 and 33 onward,14.0/10.0,12/8,5/4,Early/Late,-10/-11,13—14(15—19),18
Sonic,Ground Attacks,Up Air,5/14,39,13,Autocancels on frame 1-4 and 16 onward,3.0/8.0,5/9,2/4,--,-11/-9,5—7/14—15,24
Sonic,Ground Attacks,Down Air,17,45,21,Autocancels on frame 1-3 and 41 onward,8.0/7.0,11/7,4/3,Meteor/Late,-17/-18,17—19/20—32,13
Sonic,Ground Attacks,Neutral B (Homing Attack),17—82,-,--,26 endlag on hit,7.0—20.0,7—12,4—10,--,-22 to -16,**,--
Sonic,Ground Attacks,Side B (Spin Dash),17,--,--,Invulnerable frame 17-22. Startup is 1 from a charging state with six I-frames. Stops on shields. Endlag for that is 28.Startup/charge cancelable starting f7 into:- vertical spin dash jump- spin hopsAfter release cancels into:-Spin dash jump-double jump (aerial only)Check out this imagefor more information on Spin Dash and Spin Charge.,5.0/7.0—10.9,6/7—8,6/7—10,--,"+6 (hop)+8 (grounded, no charge)+11 (grounded, full charge)+11 (aerial, any)",**,--
Sonic,Ground Attacks,"Spin Dash, Jump",3,--,--,Cancelable into:-Up/Neutral special-All aerials-Double jump,--,--,--,--,+4,--,--
