character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Toon_link,Ground Attacks,Jab 1,5,18,--,Transitions to jab 2 as early as frame 8,2.0,7,3,--,-10,5—6,12
Toon_link,Ground Attacks,Jab 2,6,20,--,Transitions to jab 3 as early as frame 9,2.0,5,3,--,-11,6—7,13
Toon_link,Ground Attacks,Jab 3,6,36,--,--,4.0,11,5,--,-25,6—7,29
Toon_link,Ground Attacks,Forward Tilt,9,29,--,--,9.0,7,9,--,-11,9—13,16
Toon_link,Ground Attacks,Up Tilt,8,25,--,--,5.0,6,6,--,-11,8—12,13
Toon_link,Ground Attacks,Down Tilt,9,22,--,--,7.0,7,7,--,-6,9—10,12
Toon_link,Ground Attacks,Dash Attack,7,28,--,--,8.0/6.0,9,8,--,-13,7—9,19
Toon_link,Ground Attacks,Forward Smash,16,48,--,Charge hold is frame 8,14.0,12,10,--,-22,16—17,31
Toon_link,Ground Attacks,Up Smash,11,42,--,Charge hold is frame 4,13.0,9,9,--,-22,11(12—13/14—15),27
Toon_link,Ground Attacks,Down Smash,9/17,46,--,Charge hold frame is 3,12.0/13.0,9/9,8/9,--,-29/-20,9—10/17—18,28
Toon_link,Ground Attacks,Neutral Air,6/13,41,7,Autocancels on frame 1-2 and 41 onward,8.5/7.0,7/7,4/3,--,-3/-4,6—7/13—14,27
Toon_link,Ground Attacks,Forward Air,14,38,11,Autocancels on frame 1-3 and 39 onward,13.0,9,5,--,-6,14—15,23
Toon_link,Ground Attacks,Back Air,6,35,8,Autocancels on frame 34 onward,8.0,7,4,--,-4,6—9,26
Toon_link,Ground Attacks,Up Air,11,59,13,Autocancels on frame 1-5 and 47 onward,14.0/11.0,11/9,5/4,Early/Late,-8/-9,11—13(14—40),19
Toon_link,Ground Attacks,Down Air,17,79,23,Autocancels on frame 1-5 and 65 onward. Landing hitbox on frame 1.,16.0/12.0,10/9,6/5,Early/Late/Landing,-17/-16,17—25(26—64)/1,15
Toon_link,Ground Attacks,Z Air,11,73,8,--,4.0,5,5,--,-3,11—20,53
Toon_link,Ground Attacks,Neutral B (Hero's Bow),18—60,39—82,--,Startup is 1 from charge release. Reaches full charge on 60.,4.0—12.0,5—9,2—4,Uncharged—Full Charge,-12 to -6,18—77,--
Toon_link,Ground Attacks,Side B (Boomerang),27,45,--,9 frame animation of catching the boomerang if no other action is performed,5.0—9.6/3.0,6—8/5,3—4/2,Going/Returning,-9 to -6,27—36(37—77/78—173),--
Toon_link,Ground Attacks,Up B (Spin Attack),6...,77,--,Multihits have shieldlag but no hitlag. Can be charged up to 60 frames for up to 60% additional damage. Startup is 3 on charge release,1.0/3.0,4/10,2/4,Multi/Final,-25,6—14/15—46/48 (rehit: 4),29
Toon_link,Ground Attacks,"Up B, Air (Spin Attack, Air)",8...,--,30,--,4.0/2.0/4.0,5/4/9,5/3/5,First/Multi/Final,--,8—10/12—13/16—18/19—20/22—24/27—28/31—33/35/44—48,--
Toon_link,Ground Attacks,Down B (Bomb Pull),--,36,--,"Explodes automatically on frame ~315. Bomb rotates on searchbox's center, not bomb's center.",--,--,--,--,--,**,--
Toon_link,Ground Attacks,Grab,12,52,--,Hand grabbox active for the first 2 frames,--,,,,,12—18,34
Toon_link,Ground Attacks,Dash Grab,14,60,--,Hand grabbox active for the first 2 frames,--,,,,,14—20,40
Toon_link,Ground Attacks,Pivot Grab,15,55,--,Hand grabbox active for the first 2 frames,--,,,,,15—21,34
Toon_link,Ground Attacks,Pummel,1,16,--,Total frames includes 10 frames of hitlag,1.0,,,,,,
Toon_link,Ground Attacks,Forward Throw,12/14,39,--,--,3.0/4.0,,,,,,
Toon_link,Ground Attacks,Backward Throw,18,45,--,--,7.0,,,,,,
Toon_link,Ground Attacks,Up Throw,27/28,49,--,--,5.0/2.0,,,,,,
Toon_link,Ground Attacks,Down Throw,22/24,49,--,--,3.0/4.0,,,,,,
Toon_link,Ground Attacks,Spot Dodge,,19/24,--,Intangible on frame 3-16,,,,,,,
Toon_link,Ground Attacks,Forward Roll,,28,--,Intangible on frame 4-14,,,,,,,
Toon_link,Ground Attacks,Backward Roll,,33,--,Intangible on frame 4-15,,,,,,,
Toon_link,Ground Attacks,Neutral Air Dodge,,56,10,Intangible on frame 2-26,,,,,,,
Toon_link,Ground Attacks,"Air Dodge, Down",,76,11-19,Intangible on frame 2-19,,,,,,,
Toon_link,Ground Attacks,"Air Dodge, Diagonally Down",,85,11-19,Intangible on frame 2-19,,,,,,,
Toon_link,Ground Attacks,"Air Dodge, Left/Right",,93,11-19,Intangible on frame 2-19,,,,,,,
Toon_link,Ground Attacks,"Air Dodge, Diagonally Up",,111,11-19,Intangible on frame 2-19,,,,,,,
Toon_link,Ground Attacks,"Air Dodge, Up",,123,11-19,Intangible on frame 2-19,,,,,,,
Toon_link,Ground Attacks,Stats,,,,,,,,,,,
Toon_link,Ground Attacks,Ledge Grab,,,,,,,,,,,
Toon_link,Ground Attacks,Ledge Hang,,,,,,,,,,,
Toon_link,Ground Attacks,Ledge Roll,,,,,,,,,,,
Toon_link,Ground Attacks,Getup Attacks,,,,,,,,,,,
Toon_link,Aerial Attacks,Neutral Air,6/13,41,7,Autocancels on frame 1-2 and 41 onward,8.5/7.0,7/7,4/3,--,-3/-4,6—7/13—14,27
Toon_link,Aerial Attacks,Forward Air,14,38,11,Autocancels on frame 1-3 and 39 onward,13.0,9,5,--,-6,14—15,23
Toon_link,Aerial Attacks,Back Air,6,35,8,Autocancels on frame 34 onward,8.0,7,4,--,-4,6—9,26
Toon_link,Aerial Attacks,Up Air,11,59,13,Autocancels on frame 1-5 and 47 onward,14.0/11.0,11/9,5/4,Early/Late,-8/-9,11—13(14—40),19
Toon_link,Aerial Attacks,Down Air,17,79,23,Autocancels on frame 1-5 and 65 onward. Landing hitbox on frame 1.,16.0/12.0,10/9,6/5,Early/Late/Landing,-17/-16,17—25(26—64)/1,15
Toon_link,Aerial Attacks,Z Air,11,73,8,--,4.0,5,5,--,-3,11—20,53
Toon_link,Aerial Attacks,Neutral B (Hero's Bow),18—60,39—82,--,Startup is 1 from charge release. Reaches full charge on 60.,4.0—12.0,5—9,2—4,Uncharged—Full Charge,-12 to -6,18—77,--
Toon_link,Aerial Attacks,Side B (Boomerang),27,45,--,9 frame animation of catching the boomerang if no other action is performed,5.0—9.6/3.0,6—8/5,3—4/2,Going/Returning,-9 to -6,27—36(37—77/78—173),--
Toon_link,Aerial Attacks,Up B (Spin Attack),6...,77,--,Multihits have shieldlag but no hitlag. Can be charged up to 60 frames for up to 60% additional damage. Startup is 3 on charge release,1.0/3.0,4/10,2/4,Multi/Final,-25,6—14/15—46/48 (rehit: 4),29
Toon_link,Aerial Attacks,"Up B, Air (Spin Attack, Air)",8...,--,30,--,4.0/2.0/4.0,5/4/9,5/3/5,First/Multi/Final,--,8—10/12—13/16—18/19—20/22—24/27—28/31—33/35/44—48,--
Toon_link,Aerial Attacks,Down B (Bomb Pull),--,36,--,"Explodes automatically on frame ~315. Bomb rotates on searchbox's center, not bomb's center.",--,--,--,--,--,**,--
Toon_link,Aerial Attacks,Grab,12,52,--,Hand grabbox active for the first 2 frames,--,,,,,12—18,34
Toon_link,Aerial Attacks,Dash Grab,14,60,--,Hand grabbox active for the first 2 frames,--,,,,,14—20,40
Toon_link,Aerial Attacks,Pivot Grab,15,55,--,Hand grabbox active for the first 2 frames,--,,,,,15—21,34
Toon_link,Aerial Attacks,Pummel,1,16,--,Total frames includes 10 frames of hitlag,1.0,,,,,,
Toon_link,Aerial Attacks,Forward Throw,12/14,39,--,--,3.0/4.0,,,,,,
Toon_link,Aerial Attacks,Backward Throw,18,45,--,--,7.0,,,,,,
Toon_link,Aerial Attacks,Up Throw,27/28,49,--,--,5.0/2.0,,,,,,
Toon_link,Aerial Attacks,Down Throw,22/24,49,--,--,3.0/4.0,,,,,,
Toon_link,Aerial Attacks,Spot Dodge,,19/24,--,Intangible on frame 3-16,,,,,,,
Toon_link,Aerial Attacks,Forward Roll,,28,--,Intangible on frame 4-14,,,,,,,
Toon_link,Aerial Attacks,Backward Roll,,33,--,Intangible on frame 4-15,,,,,,,
Toon_link,Aerial Attacks,Neutral Air Dodge,,56,10,Intangible on frame 2-26,,,,,,,
Toon_link,Aerial Attacks,"Air Dodge, Down",,76,11-19,Intangible on frame 2-19,,,,,,,
Toon_link,Aerial Attacks,"Air Dodge, Diagonally Down",,85,11-19,Intangible on frame 2-19,,,,,,,
Toon_link,Aerial Attacks,"Air Dodge, Left/Right",,93,11-19,Intangible on frame 2-19,,,,,,,
Toon_link,Aerial Attacks,"Air Dodge, Diagonally Up",,111,11-19,Intangible on frame 2-19,,,,,,,
Toon_link,Aerial Attacks,"Air Dodge, Up",,123,11-19,Intangible on frame 2-19,,,,,,,
Toon_link,Aerial Attacks,Stats,,,,,,,,,,,
Toon_link,Aerial Attacks,Ledge Grab,,,,,,,,,,,
Toon_link,Aerial Attacks,Ledge Hang,,,,,,,,,,,
Toon_link,Aerial Attacks,Ledge Roll,,,,,,,,,,,
Toon_link,Aerial Attacks,Getup Attacks,,,,,,,,,,,
Toon_link,Special Attacks,Neutral B (Hero's Bow),18—60,39—82,--,Startup is 1 from charge release. Reaches full charge on 60.,4.0—12.0,5—9,2—4,Uncharged—Full Charge,-12 to -6,18—77,--
Toon_link,Special Attacks,Side B (Boomerang),27,45,--,9 frame animation of catching the boomerang if no other action is performed,5.0—9.6/3.0,6—8/5,3—4/2,Going/Returning,-9 to -6,27—36(37—77/78—173),--
Toon_link,Special Attacks,Up B (Spin Attack),6...,77,--,Multihits have shieldlag but no hitlag. Can be charged up to 60 frames for up to 60% additional damage. Startup is 3 on charge release,1.0/3.0,4/10,2/4,Multi/Final,-25,6—14/15—46/48 (rehit: 4),29
Toon_link,Special Attacks,"Up B, Air (Spin Attack, Air)",8...,--,30,--,4.0/2.0/4.0,5/4/9,5/3/5,First/Multi/Final,--,8—10/12—13/16—18/19—20/22—24/27—28/31—33/35/44—48,--
Toon_link,Special Attacks,Down B (Bomb Pull),--,36,--,"Explodes automatically on frame ~315. Bomb rotates on searchbox's center, not bomb's center.",--,--,--,--,--,**,--
Toon_link,Special Attacks,Grab,12,52,--,Hand grabbox active for the first 2 frames,--,,,,,12—18,34
Toon_link,Special Attacks,Dash Grab,14,60,--,Hand grabbox active for the first 2 frames,--,,,,,14—20,40
Toon_link,Special Attacks,Pivot Grab,15,55,--,Hand grabbox active for the first 2 frames,--,,,,,15—21,34
Toon_link,Special Attacks,Pummel,1,16,--,Total frames includes 10 frames of hitlag,1.0,,,,,,
Toon_link,Special Attacks,Forward Throw,12/14,39,--,--,3.0/4.0,,,,,,
Toon_link,Special Attacks,Backward Throw,18,45,--,--,7.0,,,,,,
Toon_link,Special Attacks,Up Throw,27/28,49,--,--,5.0/2.0,,,,,,
Toon_link,Special Attacks,Down Throw,22/24,49,--,--,3.0/4.0,,,,,,
Toon_link,Special Attacks,Spot Dodge,,19/24,--,Intangible on frame 3-16,,,,,,,
Toon_link,Special Attacks,Forward Roll,,28,--,Intangible on frame 4-14,,,,,,,
Toon_link,Special Attacks,Backward Roll,,33,--,Intangible on frame 4-15,,,,,,,
Toon_link,Special Attacks,Neutral Air Dodge,,56,10,Intangible on frame 2-26,,,,,,,
Toon_link,Special Attacks,"Air Dodge, Down",,76,11-19,Intangible on frame 2-19,,,,,,,
Toon_link,Special Attacks,"Air Dodge, Diagonally Down",,85,11-19,Intangible on frame 2-19,,,,,,,
Toon_link,Special Attacks,"Air Dodge, Left/Right",,93,11-19,Intangible on frame 2-19,,,,,,,
Toon_link,Special Attacks,"Air Dodge, Diagonally Up",,111,11-19,Intangible on frame 2-19,,,,,,,
Toon_link,Special Attacks,"Air Dodge, Up",,123,11-19,Intangible on frame 2-19,,,,,,,
Toon_link,Special Attacks,Stats,,,,,,,,,,,
Toon_link,Special Attacks,Ledge Grab,,,,,,,,,,,
Toon_link,Special Attacks,Ledge Hang,,,,,,,,,,,
Toon_link,Special Attacks,Ledge Roll,,,,,,,,,,,
Toon_link,Special Attacks,Getup Attacks,,,,,,,,,,,
Toon_link,Grabs / Throws,Grab,12,52,--,Hand grabbox active for the first 2 frames,--,,,,,12—18,34
Toon_link,Grabs / Throws,Dash Grab,14,60,--,Hand grabbox active for the first 2 frames,--,,,,,14—20,40
Toon_link,Grabs / Throws,Pivot Grab,15,55,--,Hand grabbox active for the first 2 frames,--,,,,,15—21,34
Toon_link,Grabs / Throws,Pummel,1,16,--,Total frames includes 10 frames of hitlag,1.0,,,,,,
Toon_link,Grabs / Throws,Forward Throw,12/14,39,--,--,3.0/4.0,,,,,,
Toon_link,Grabs / Throws,Backward Throw,18,45,--,--,7.0,,,,,,
Toon_link,Grabs / Throws,Up Throw,27/28,49,--,--,5.0/2.0,,,,,,
Toon_link,Grabs / Throws,Down Throw,22/24,49,--,--,3.0/4.0,,,,,,
Toon_link,Grabs / Throws,Spot Dodge,,19/24,--,Intangible on frame 3-16,,,,,,,
Toon_link,Grabs / Throws,Forward Roll,,28,--,Intangible on frame 4-14,,,,,,,
