character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Villager,Ground Attacks,Jab 1,3,21,--,Transitions to jab 2 as early as frame 6.,1.0,5,2,--,-16,3—4,17
Villager,Ground Attacks,Jab 2,3,23,--,Transitions to rapid jab as early as frame 5,1.0,5,2,--,-18,3—4,19
Villager,Ground Attacks,Rapid Jab,3/8/12...,--,--,Alternates between four and five frames between punches.,1.0,5,2,--,--,**,--
Villager,Ground Attacks,Rapid Jab Finisher,4/5,38,--,--,2.0,9,3,--,-28,**,--
Villager,Ground Attacks,Forward Tilt,8,33,--,--,9.0,7,9,--,-16,8—11,22
Villager,Ground Attacks,Up Tilt,7/22,47,--,--,5.0/6.0,6/7,6/6,--,-34/-19,7—18/22—25,22
Villager,Ground Attacks,Down Tilt,9,37,--,--,12.0/10.0,9/8,11/10,Close/Far,-17/-18,9—11,26
Villager,Ground Attacks,Dash Attack,9...,42,--,--,10.0/6.0,8/6,4/3,Early/Late,-22,9-14/15-22 (Normal)9-14/15-68 (Off-Ledge),--
Villager,Ground Attacks,Forward Smash,25,49,--,Charge hold is frame 16,15.0/17.0,10/11,10/11,Early/Late,-4,25—30(31—144),--
Villager,Ground Attacks,Up Smash,12...,53,--,Charge hold is frame 7,3.0/1.0/4.0,5/-/9,3/-/4,--,-8,12—13/17—18/21—22/25—26/29—30/33—34,19
Villager,Ground Attacks,Down Smash,9/29,49,--,Charge hold is frame 3,6.0/3.0,6/4,5/0,Close/Far,-35/-15,9(10—11)/29(30—31),18
Villager,Ground Attacks,Neutral Air,3,35,8,Autocancels on frame 1-2 and 27 onward,9.0/5.0,7/6,4/3,Early/Late,-4/-5,3—10(11—23),12
Villager,Ground Attacks,Forward Air,10,39,14,Projectile attack. Autocancels on frame 1-2 and 30 onward,7.0/4.0/2.5,7/5/5,3/3/2,Early/Late/Later,-4,10—12(13—18/19—23),16
Villager,Ground Attacks,Back Air,13,35,14,Projectile attack. Autocancels on frame 1-2 and 30 onward,9.0/5.0/3.0,7/6/5,4/3/2,Early/Late/Later,-3,13—15(16—21/22—26),9
Villager,Ground Attacks,Up Air,6,42,12,Autocancels on frame 1-5 and 39 onward,13.0/10.0/8.0,9/8/7,5/4/4,3/2/1 turnips,-7/-8/-8,6—7(8—21),21
Villager,Ground Attacks,Down Air,11,42,12,Autocancels on frame 1-13 and 39 onward,13.0/10.0/8.0,9/8/7,5/4/4,3/2/1 turnips,-7/-8/-8,11—12(13—26),16
