character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Wario,Ground Attacks,Jab,8,27,--,Transitions to Jab 2 as early as frame 10.,5.0,9,5,--,-16,8—9,18
Wario,Ground Attacks,Jab 2,4,29,--,--,7.0,12,6,--,-23,4—5,24
Wario,Ground Attacks,Forward Tilt,12,39,--,--,13.0/10.0,9,12,Far/Close,-15,12—15,24
Wario,Ground Attacks,Up Tilt,8,27,--,--,6.0/5.0,6,6,Early/Late,-13,8—10/11—15,12
Wario,Ground Attacks,Down Tilt,5,17,--,--,4.0,5,5,--,-7,5,12
Wario,Ground Attacks,Dash Attack,5,48,--,--,11.0/5.0,8/6,10/6,Early/Late,-33,5—8/9—23,25
Wario,Ground Attacks,Forward Smash,18,65,--,Charge hold is frame 4,20.0,12,13,--,-34,18—19,46
Wario,Ground Attacks,Up Smash,11,57,--,Head intangibility on frame 8-14. Charge hold is frame 4,17.0/13.0,11/9,11/9,Close/Far,-35/-37,11—12/13,44
Wario,Ground Attacks,Down Smash,8,61,--,Charge hold is frame 2,13.0/10.0/5.0,9,9,Early/Late/Later,-44,8—17/18—27/28—36,25
Wario,Ground Attacks,Neutral Air,4/20,45,7,Autocancels on frame 1-3 and 43 onward,6.0/3.0/6.0/4.0/5.0,6/6,3/3,Early Hit 1/Late Hit 1 Hands/Late Hit 1 Body/Early Hit 2/Late Hit 2,-4/-4,4—12(13—17)/20—26(27—42),3
Wario,Ground Attacks,Forward Air,5,37,10,Autocancels on frame 1-4 and 27 onward,7.0 / 4.5,7/5,3/3,Early/Late,-7/-7,5—6/7—17,20
Wario,Ground Attacks,Back Air,9,49,16,Autocancels on frame 1-4 and 34 onward,12.0,9,5,--,-11,9—11,38
Wario,Ground Attacks,Up Air,8,46,7,Autocancels on frame 1-3 and 37 onward,13.0,9,5,--,-2,8—9,37
Wario,Ground Attacks,Down Air,9/11/13/15/17/19/21,47,18,Autocancels on frame 1-2 and 42 onward,1.3/4.0,4/11,2/3,Multi/Final,-16/-15,9/11/13/15/17/19/21,26
Wario,Ground Attacks,Neutral B (Chomp),8 (11 Grab Release),41 (19 Grab Release),--,25 endlag from release of the button. Can eat projectiles on frame 9—. With the exception of Bike being eaten on frame 2. Animation for eating a projectile is 25 frames. 55 for the Bike.,--,--,--,--,--,8—16 (Can hold: 8—64),--
Wario,Ground Attacks,Side B (Wario Bike),20/24,--,--,"Startup is 24 if mounting a bike laying on the ground. Frame 20 is the earliest you can jump, turnaround, wheelie. Wario seems to suffer more shieldlag than the defender on any hit.",0.6—11.4,"4-8, 6-13(Wario)",2—4,--,**,20—**,--
Wario,Ground Attacks,"Wario Bike, Wheelie",4/54,64,--,Bike armor on frame 10. Jump animation takes 28 frames.,5.0/13.0,"8/9, 11/14(Wario)",3/5,--,-60/-10,**,--
Wario,Ground Attacks,"Wario Bike, Turnaround",6,45,--,Looking for Bike animation takes 39 frames,7.0,"8, 12(Wario)",3,--,-40,**,--
Wario,Ground Attacks,Bike (Thrown / Item),--,--,--,--,--,--,--,--,--,--,--
Wario,Ground Attacks,Up B (Corkscrew),6/8/12/16/20/29,--,20,--,5.0/1.0/4.0,6/4/11,-/2/5,First/Multi/Final,**,6—7/8—11/12—15/16—19/20—23/29—30,--
Wario,Ground Attacks,Down B (Wario Waft),"16, 10, 8, 12","79, 64, 54, 63",--,Full Waft has armor on frames 4—13.,"0.0, 12.0+, 20.0+, 27.0/20.0","--, 10, 13, 19/12","--, 13, 20, 23/18","Stage 1, Stage 2, Stage 3, Final Stage Early/Late","--, -41, -24, -28","16—18, 10—11, 8—11, 12—13/14—29",50
Wario,Ground Attacks,Grab,8,35,--,--,--,,,,,8—10,25
Wario,Ground Attacks,Dash Grab,11,43,--,--,--,,,,,11—13,30
Wario,Ground Attacks,Pivot Grab,12,38,--,--,--,,,,,12—14,24
Wario,Ground Attacks,Pummel,2,21,Total frames includes 14 frames of hitlag.,--,1.6,,,,,,
