character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Wii_fit_trainer,Ground Attacks,Jab 1,4,25,--,Transitions to jab 2 as early as frame 9,2.0,7,3,--,-18,4—5,20
Wii_fit_trainer,Ground Attacks,Jab 2,3,29,--,Transitions to jab 2 as early as frame 9,2.0,4,3,--,-23,3—4,25
Wii_fit_trainer,Ground Attacks,Jab 3,5,39,--,Can bury,3.0,10,4,--,-30,5—6,33
Wii_fit_trainer,Ground Attacks,Forward Tilt,6,32,--,--,11.0,8,10,--,-16,6—10,22
Wii_fit_trainer,Ground Attacks,Up Tilt,5,29,--,Arm intangibility on frame 3-12,10.0,8,10,--,-14,5—12,17
Wii_fit_trainer,Ground Attacks,Down Tilt,9,38,--,--,13.5,9,12,--,-17,9—12,26
Wii_fit_trainer,Ground Attacks,Dash Attack,6,38,--,--,10.0/6.0,8/6,12/10,Early/Late,-20,6—8(9—13),25
Wii_fit_trainer,Ground Attacks,Forward Smash,16,56,--,Charge hold is frame 6,15.5,10,10,--,-30,16—19,37
Wii_fit_trainer,Ground Attacks,Up Smash,11,54,--,Invulnerable on frame 9-12. Charge hold is frame 4,15.0/18.0,10/15,10/12,Body/Arms,-33/-31,11—12(13—19),35
Wii_fit_trainer,Ground Attacks,Down Smash,18,46,--,Charge hold frame is 4,12.0,9,8,--,-25,18—21,25
Wii_fit_trainer,Ground Attacks,Neutral Air,9/12,34,8,Autocancels on frame 1-5 and 33 onward,5.0/9.0,6/7,3/4,--,-5/-4,9—11/12—13,21
Wii_fit_trainer,Ground Attacks,Forward Air,9,35,7,Autocancels on frame 1-8 and 25 onward,12.0/7.5/10.0/6.0,9/7/12/6,5/3/4/3,"Early/Late, Meteor early/late",-2/-4/-3/-4,9(10/11—15),20
