character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Wolf,Ground Attacks,Jab 1,4,21,--,Transitions to Jab 2 as early as frame 7.,2.0,7,3,--,-14,4,17
Wolf,Ground Attacks,Jab 2,4,21,--,Transitions to Jab 3 as early as frame 7.,2.0,5,3,--,-14,4,17
Wolf,Ground Attacks,Jab 3,4,34,--,--,4.0,11,5,--,-25,4,30
Wolf,Ground Attacks,Forward Tilt,8/9,34,--,--,5.0/6.0,11/6,-/6,--,-19,8/9—10,24
Wolf,Ground Attacks,Up Tilt,7,35,--,--,10.0/8.0/9.0/10.0,8,10,Early Front/Tip/Mid/Close,-18,7—11,24
Wolf,Ground Attacks,Down Tilt,5,27,--,--,6.0,6,6,--,-16,5—6,21
Wolf,Ground Attacks,Dash Attack,11,37,--,--,11.0/8.0,8/7,10/8,Early/Late,-16,11—14/15—18,19
Wolf,Ground Attacks,Forward Smash,20,41,--,Charge hold is frame 6,15.0,10,10,--,-10,20—23,18
Wolf,Ground Attacks,Up Smash,13/20,47,--,Charge hold is frame 3,6.0/12.0,6/9,5/8,Early/Late,-29/-19,13—15/20—23,24
Wolf,Ground Attacks,Down Smash,14/21,43,--,Charge hold is frame 2,"14.0/16.0, 12.0/14.0",10/10/9/10,10/11/8/10,"First close/far, Second close/far",-19/-18/-14/-12,14—15/21—22,21
Wolf,Ground Attacks,Neutral Air,7,42,9,Autocancels on frame 1-6 and 39 onward,12.0/8.0,9/7,5/4,Early/Late,-4/-5,7—9/10—26,16
Wolf,Ground Attacks,Forward Air,7,40,10,Autocancels on frame 30 onward,9.0,7,4,--,-6,7—9,31
Wolf,Ground Attacks,Back Air,13,44,15,Autocancels on frame 1-7 and 19 onward,11.0/13.0/15.0,8/10,4/5,Close/Mid/Far,-11/-10,13—15,29
Wolf,Ground Attacks,Up Air,7,38,10,Autocancels on frame 1-3 and 31 onward,12.0,9,5,--,-5,7—9,29
Wolf,Ground Attacks,Down Air,16,53,19,Autocancels on frame 1-4 and 36 onward,15.0/13.0,10/9,5/5,Far/Close,-14/-14,16—17,36
Wolf,Ground Attacks,Neutral B (Blaster),15/16,52,--,--,7.0 (Melee) / 6.0 (Early shot) / 8.0 (Mid shot) / 7.0 (Late shot),10/9,-/3,Bayonet/Shot,-24,15—19/16—50,2
