character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Banjo_and_kazooie,Ground Attacks,Jab 1,4,27,--,2.2,-20,4—6,Transitions to Jab 2 as early as frame 8,8,3,--,21,,
Banjo_and_kazooie,Ground Attacks,Jab 2,4,24,--,2.2,-17,4—6,Transitions to Jab 3 as early as frame 10 or Rapid on 9.,7,3,--,18,,
Banjo_and_kazooie,Ground Attacks,Jab 3,5,31,--,3.8,-21,5—7,--,10,5,--,24,,
Banjo_and_kazooie,Ground Attacks,Rapid Jab,5/7/9...,--,--,0.4,--,**,--,4,3,--,--,,
Banjo_and_kazooie,Ground Attacks,Rapid Jab Finisher,7,41,--,1.6,-31,7—8,--,9,3,--,33,,
Banjo_and_kazooie,Ground Attacks,Forward Tilt,7,28,--,9.0/7.0,-12/-14,7—9,--,8/7,9/7,Far/Close,19,,
Banjo_and_kazooie,Ground Attacks,Up Tilt,11,31,--,10.0,-10,11—14,Kazooie has hurtboxes on frames 1—24.,8,10,--,17,,
Banjo_and_kazooie,Ground Attacks,Down Tilt,12,37,--,6.0/5.0/4.0,-19/-19,12—17(18—21),--,7/6/6,6/6/5,Far/Close/Late,16,,
Banjo_and_kazooie,Ground Attacks,Dash Attack,9,36,--,12.0/8.0,-16,9—12(13—20),--,10/7,11/8,Early/Late,16,,
Banjo_and_kazooie,Ground Attacks,Forward Smash,19,52,--,16.0,-22,19—21,Charge hold is frame 9,12,11,--,31,,
Banjo_and_kazooie,Ground Attacks,Up Smash,9...,65,--,1.0/1.5/3.6,-35,9—10/13—25 (rehit: 2)/26—27,Charge hold is frame 6,4/4/10,2/**/4,First/Multi/Final,40,,
Banjo_and_kazooie,Ground Attacks,Down Smash,13,46,--,15.0,-23,13—17,Charge hold is frame 2,10,10,--,29,,
Banjo_and_kazooie,Ground Attacks,Neutral Air,10/13/16/19/22/25/28/31,47,16,0.8/4.2,-14/-13,10-11/13-14/16-17/19-20/22-23/25-26/28-29/31-32,Autocancels on frame 1-9 and 39 onward,4/10,2/3,Multi/Final,15,,
Banjo_and_kazooie,Ground Attacks,Forward Air,15,51,11,15.0/12.0,-6/-6,15—17(18),Autocancels on frame 1-2 and 37 onward,13/10,5/5,Early/Late,33,,
Banjo_and_kazooie,Ground Attacks,Back Air,8/12/16,43,18,1.6/4.8,-16/-15,8—9/12—13/16—17,Autocancels on frame 1-7 and 37 onward,4/6,2/3,Multi/Final,26,,
Banjo_and_kazooie,Ground Attacks,Up Air,7/9,33,12,1.6/5.8,-10/-9,7—8/9—11,Autocancels on frame 35 onward,4/6,2/3,First/Second,22,,
Banjo_and_kazooie,Ground Attacks,Down Air,15,56,27,10.0/2.0,-23,15—17(18—45)/1—2,Landing hit on frame 1. Autocancels on frame 55 onward,8/4,4/3,Falling/Landing,11,,
