character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Bowser_jr,Ground Attacks,Jab 1,4,19,--,2.0,-12,4—5,Transitions to jab 2 as early as frame 7,7,3,--,14,,
Bowser_jr,Ground Attacks,Jab 2,4,29,--,2.0,-22,4—5,Transitions to rapid jab as early as frame 7,5,3,--,24,,
Bowser_jr,Ground Attacks,Rapid Jab,4/7/10...,--,--,0.5,--,**,--,4,5,--,--,,
Bowser_jr,Ground Attacks,Rapid Jab Finisher,6,42,--,3.0,-32,6—7,--,10,4,--,35,,
Bowser_jr,Ground Attacks,Forward Tilt,7,31,--,6.0/8.0,-18/-16,7—9,--,6/7,6/8,Close/Far,22,,
Bowser_jr,Ground Attacks,Up Tilt,7,30,--,6.0,-19,7—14,--,7,6,--,16,,
Bowser_jr,Ground Attacks,Down Tilt,4/12/23,40,--,2.0/6.0,-11,4—6/12—14/23—25,--,4/7,3/6,Multi/Final,15,,
Bowser_jr,Ground Attacks,Dash Attack,8/11/14/17/20/25,47,--,1.8/4.0,-17,8/11/14/17/20/25—26,--,4/8,3/5,Multi/Final,21,,
Bowser_jr,Ground Attacks,Forward Smash,18/21/24/27/30/35,55,--,1.0/11.0,-12,18/21/24/27/30/35—37,Charge hold is frame 5,4/13,2/8,Multi/Final,18,,
Bowser_jr,Ground Attacks,Up Smash,7/9/12/15/18/22,53,--,1.0/1.7/1.4/6.0,-26,7—8/9/12/15/18/22—23,Charge hold is frame 4,4/4/11,-/2/5,Hit 1/Multihits/Penultimate/Final,30,,
Bowser_jr,Ground Attacks,Down Smash,12,59,--,18.0,-32,12—14,Charge hold is frame 2,14,12,--,45,,
Bowser_jr,Ground Attacks,Neutral Air,7,43,9,6.5/5.5/3.5/8.0/7.0/5.0,-6/-7/-7/-5/-6/-6,7—8(9—13/14—19),Autocancels on frame 1-6 and 42 onward,6/6/5/7/7/6,3/3/2/4/3/3,close early/late/later/far early/late/later,24,,
