character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Byleth,Ground Attacks,Jab 1,4,22,--,1.5,-15,4—5,**,8,3,--,17,,
Byleth,Ground Attacks,Jab 2,4,24,--,2.0,-17,4—5,**,7,3,--,19,,
Byleth,Ground Attacks,Jab 3,5,34,--,4.5,-22,5—7,**,12,5,--,27,,
Byleth,Ground Attacks,Rapid Jab,11,**,--,0.4,**,11/14/17/20/23/...,**,4,2,--,--,,
Byleth,Ground Attacks,Rapid Jab Finisher,6,50,--,3.5,-40,6—7,**,10,4,--,43,,
Byleth,Ground Attacks,Forward Tilt,8,34,--,11.0,-15,8—10,--,8,10,--,24,,
Byleth,Ground Attacks,Up Tilt,9,34,--,10.0,-15,9—15,--,8,10,--,19,,
Byleth,Ground Attacks,Down Tilt,13,35,--,8.0,-14,13—15,--,7,8,--,20,,
Byleth,Ground Attacks,Dash Attack,9,44,--,9.0/13.0,-26/-23,9—11,--,7/13,9/12,Sour/Sweet,33,,
Byleth,Ground Attacks,Forward Smash,23,63,--,Normal: 12.0/18.0 || Down: 11.5/17.25 || Up: 13.0/19.5,-31/-27 || -32/-28 || -32/-28,23—25,Charge Hold is frame 14. The up-angled version is the most powerful.,9/15 || 9/16 || 9/15,**,Normal/Down/Up (Sour/Sweet for each),38,,
Byleth,Ground Attacks,Up Smash,13,56,--,2.0/2.0/2.0/10.0,-22,13—16(rehit: 7)/17—27(rehit: 4)/28—29,Charge hold is frame 7.,5/4/8,3/3/7,First/Multi/Final,27,,
Byleth,Ground Attacks,Down Smash,19/29,74,--,23.0/23.0,-40/-30,19—21/29—31,Charge hold is frame 3. 8 Shield Damage.,18,15,First/Second,43,,
Byleth,Ground Attacks,Neutral Air,6...,51,13,2.5/3.0/1.0,-11/-11/-9,6—26(rehit: 7)/28/2,Autocancels on frame 1-5 and 39 onward. Landing hitbox on frame 2.,5/7,2/2,Multihits/Final/Landing,23,,
Byleth,Ground Attacks,Forward Air,12,39,11,12.75/8.5,-7/-6,12—13,"Autocancels out of short hop, frame 1—2, and 36 onward.",7/11,4/5,Sweet/Sour,26,,
