character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Captain_falcon,Ground Attacks,Jab 1,3,17,--,Transition to Jab 2 as early as frame 5.,1.5,7,3,--,-11,3,14
Captain_falcon,Ground Attacks,Jab 2,5,18,--,Transitions to Jab 3 or Rapid Jab as early as frame 8.,1.5,5,3,--,-10,5,13
Captain_falcon,Ground Attacks,Jab 3,6,32,--,--,5.0,12,6,--,-20,6—7,25
Captain_falcon,Ground Attacks,Rapid Jab,5/7/9,--,--,--,0.6,4,-,--,--,**,--
Captain_falcon,Ground Attacks,Rapid Jab Finisher,6,49,--,--,3.0,10,4,--,-39,6—7,42
Captain_falcon,Ground Attacks,Forward Tilt,7,29,--,Damage and shieldstun increases by 1.0 when angled,8.0/9.0,7/7,8/9,Close/Far,-14/-13,7—10,19
Captain_falcon,Ground Attacks,Up Tilt,14,36,--,Right foot intangible frames 14-17.,11.0,9,11,--,-11,14—17,19
Captain_falcon,Ground Attacks,Down Tilt,11,34,--,--,10.0,8,10,--,-13,11—12,22
Captain_falcon,Ground Attacks,Dash Attack,7,34,--,--,10.0/6.0,10/8,14/9,Early/Late,-13,7—9(10—16),18
Captain_falcon,Ground Attacks,Forward Smash,19,59,--,Charge hold is frame 11,19.0/20.0,12/12,13/13,No Angle/Angled,-27,19—22,37
Captain_falcon,Ground Attacks,Up Smash,22/28,45,--,"Right foot is invincible frames 22-23, left foot intangible frames 28-29. Charge hold is frame 8.",(7.0%/12.0%)/(14.0%/13.0%),7/9/10,6/8/10,(Hit 1 (Scoop/Leg)/Hit 2 (Leg/Butt)),-17/-7,22(23)/28—29,16
Captain_falcon,Ground Attacks,Down Smash,19/29,48,--,Charge hold is frame 11,14.0/18.0,10/11,10/12,--,-19/-7,19—20/29—30,18
Captain_falcon,Ground Attacks,Neutral Air,7/13,39,7,Autocancels on frame 1-3 and 32 onward,4.0/6.0,5/6,3/3,--,-4/-4,7—8/13—15,24
Captain_falcon,Ground Attacks,Forward Air,14,45,18,Autocancels on frame 1-4 and 42 onward,22.0/6.0/3.0,24/5,8/2,Early Far/Early Close/Late,-10/-15,14(15—30),15
Captain_falcon,Ground Attacks,Back Air,10,35,10,Autocancels on frame 1-4 and 19 onward,13.0/8.0,9/7,5/4,Early/Late,-5/-6,10—11(12—15),20
Captain_falcon,Ground Attacks,Up Air,7,31,10,Autocancels on frame 24 onward,10.0/9.0/8.0,8/7/7,4/4/4,Close/Far/Late,-6/-6/-6,7—10(11—12),19
Captain_falcon,Ground Attacks,Down Air,16,44,12,Autocancels on frame 1-3 and 39 onward,14.0,10,5,--,-7,16—18,26
Captain_falcon,Ground Attacks,Neutral B (Falcon Punch),53/62,103/117,--,--,25.0/28.0/22.0/25.0,17/25,22/25,Grounded/Grounded Reversed/Aerial/Aerial Reversed,-28/-30,53—57/62—66,37
Captain_falcon,Ground Attacks,Side B (Raptor Boost),5(+10),27/71,--,"Startup is 6 upon reaching target. On hit total frames is 28. Proximity sensor is active starting on 10. Total frames on a miss is 71. The damage-based armor activates on frame 1 of reaching a target, frames 1—4 for 12 in 1v1.",10.0,12,10,--,-12,**,--
Captain_falcon,Ground Attacks,"Side B, Air (Raptor Boost, Air)",5(+19),44,22,39 endlag on hit. Startup is 5 upon reaching a target. Proximity sensor active starting on 19. Can grab ledges on frame 26 or 8 after proximity sensor activates.,10.0,12,10,--,--,**,--
Captain_falcon,Ground Attacks,Up B (Falcon Dive),14,--,24,54 frames endlag when successful.,5.0/13.0,--,--,Hit 1/Throw,--,14—30,--
Captain_falcon,Ground Attacks,Down B (Falcon Kick),13,68/65,--,Total frames is 68 on the ground or 65 if you go over an edge.,15.0/11.0/7.0,10/8/7,14/10/7,Early/late/later,-41/-40/-37,13—16(17—23/24—33),35
Captain_falcon,Ground Attacks,"Down B, Air (Falcon Kick, Air)",14,56,35,Landing hit on frame 1.,15.0/12.0/9.0/9.0,12/7,14/9,Early/Mid/Late/Landing,-25,14—18(19—24/25—27)/1—2,29
Captain_falcon,Ground Attacks,Grab,6,35,--,--,--,,,,,6—7,28
Captain_falcon,Ground Attacks,Dash Grab,9,43,--,--,--,,,,,9—10,33
Captain_falcon,Ground Attacks,Pivot Grab,10,38,--,--,--,,,,,10—11,27
Captain_falcon,Ground Attacks,Pummel,1,19,--,Total frames includes 13 frames of hitlag,1.3,,,,,,
Captain_falcon,Ground Attacks,Forward Throw,11/13,32,--,--,3.5/4.0,,,,,,
Captain_falcon,Ground Attacks,Backward Throw,12/13,45,--,--,3.5/4.0,,,,,,
Captain_falcon,Ground Attacks,Up Throw,12/14,37,--,--,4.0/5.0,,,,,,
Captain_falcon,Ground Attacks,Down Throw,21,39,--,--,6.0,,,,,,
Captain_falcon,Ground Attacks,Spot Dodge,,21/26,--,Intangible on frame 3-17,,,,,,,
Captain_falcon,Ground Attacks,Forward Roll,,30,--,Intangible on frame 4-15,,,,,,,
Captain_falcon,Ground Attacks,Backward Roll,,35,--,Intangible on frame 5-16,,,,,,,
Captain_falcon,Ground Attacks,Neutral Air Dodge,,42,10,Intangible on frame 3-30,,,,,,,
Captain_falcon,Ground Attacks,"Air Dodge, Down",,62,11-19,Intangible on frame 3-21,,,,,,,
Captain_falcon,Ground Attacks,"Air Dodge, Diagonally Down",,66,11-19,Intangible on frame 3-21,,,,,,,
Captain_falcon,Ground Attacks,"Air Dodge, Left/Right",,72,11-19,Intangible on frame 3-21,,,,,,,
Captain_falcon,Ground Attacks,"Air Dodge, Diagonally Up",,85,11-19,Intangible on frame 3-21,,,,,,,
Captain_falcon,Ground Attacks,"Air Dodge, Up",,94,11-19,Intangible on frame 3-21,,,,,,,
Captain_falcon,Ground Attacks,Stats,,,,,,,,,,,
Captain_falcon,Ground Attacks,Ledge Grab,,,,,,,,,,,
Captain_falcon,Ground Attacks,Ledge Hang,,,,,,,,,,,
Captain_falcon,Ground Attacks,Ledge Roll,,,,,,,,,,,
Captain_falcon,Ground Attacks,Getup Attacks,,,,,,,,,,,
Captain_falcon,Aerial Attacks,Neutral Air,7/13,39,7,Autocancels on frame 1-3 and 32 onward,4.0/6.0,5/6,3/3,--,-4/-4,7—8/13—15,24
Captain_falcon,Aerial Attacks,Forward Air,14,45,18,Autocancels on frame 1-4 and 42 onward,22.0/6.0/3.0,24/5,8/2,Early Far/Early Close/Late,-10/-15,14(15—30),15
Captain_falcon,Aerial Attacks,Back Air,10,35,10,Autocancels on frame 1-4 and 19 onward,13.0/8.0,9/7,5/4,Early/Late,-5/-6,10—11(12—15),20
Captain_falcon,Aerial Attacks,Up Air,7,31,10,Autocancels on frame 24 onward,10.0/9.0/8.0,8/7/7,4/4/4,Close/Far/Late,-6/-6/-6,7—10(11—12),19
Captain_falcon,Aerial Attacks,Down Air,16,44,12,Autocancels on frame 1-3 and 39 onward,14.0,10,5,--,-7,16—18,26
Captain_falcon,Aerial Attacks,Neutral B (Falcon Punch),53/62,103/117,--,--,25.0/28.0/22.0/25.0,17/25,22/25,Grounded/Grounded Reversed/Aerial/Aerial Reversed,-28/-30,53—57/62—66,37
Captain_falcon,Aerial Attacks,Side B (Raptor Boost),5(+10),27/71,--,"Startup is 6 upon reaching target. On hit total frames is 28. Proximity sensor is active starting on 10. Total frames on a miss is 71. The damage-based armor activates on frame 1 of reaching a target, frames 1—4 for 12 in 1v1.",10.0,12,10,--,-12,**,--
Captain_falcon,Aerial Attacks,"Side B, Air (Raptor Boost, Air)",5(+19),44,22,39 endlag on hit. Startup is 5 upon reaching a target. Proximity sensor active starting on 19. Can grab ledges on frame 26 or 8 after proximity sensor activates.,10.0,12,10,--,--,**,--
Captain_falcon,Aerial Attacks,Up B (Falcon Dive),14,--,24,54 frames endlag when successful.,5.0/13.0,--,--,Hit 1/Throw,--,14—30,--
Captain_falcon,Aerial Attacks,Down B (Falcon Kick),13,68/65,--,Total frames is 68 on the ground or 65 if you go over an edge.,15.0/11.0/7.0,10/8/7,14/10/7,Early/late/later,-41/-40/-37,13—16(17—23/24—33),35
Captain_falcon,Aerial Attacks,"Down B, Air (Falcon Kick, Air)",14,56,35,Landing hit on frame 1.,15.0/12.0/9.0/9.0,12/7,14/9,Early/Mid/Late/Landing,-25,14—18(19—24/25—27)/1—2,29
Captain_falcon,Aerial Attacks,Grab,6,35,--,--,--,,,,,6—7,28
Captain_falcon,Aerial Attacks,Dash Grab,9,43,--,--,--,,,,,9—10,33
Captain_falcon,Aerial Attacks,Pivot Grab,10,38,--,--,--,,,,,10—11,27
Captain_falcon,Aerial Attacks,Pummel,1,19,--,Total frames includes 13 frames of hitlag,1.3,,,,,,
