character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Chrom,Ground Attacks,Jab,5,22,--,6.5,-10,5—7,--,9,7,--,15,,
Chrom,Ground Attacks,Forward Tilt,8,33,--,10.9,-15,8—10,--,8,10,--,23,,
Chrom,Ground Attacks,Up Tilt,6,38,--,10.4,-22,6/7—8/9—11,--,8,10,Early/Normal/Late,27,,
Chrom,Ground Attacks,Down Tilt,7,21,--,9.0,-5,7—8,--,7,9,--,13,,
Chrom,Ground Attacks,Dash Attack,13,45,--,12.0,-21,13—16,--,12,11,--,29,,
Chrom,Ground Attacks,Forward Smash,13,53,--,18.0,-28,13—14,Charge hold is frame 6,15,12,--,39,,
Chrom,Ground Attacks,Up Smash,12/13/15/17/19/22,58,--,1.0/2.0/10.0,-29,12/13/15/17/19/22—23,Forearm intangibility on frame 10-23. Charge hold is frame 4,5/4/9,2/-/7,First/multi/final,35,,
Chrom,Ground Attacks,Down Smash,6/21,62,--,12.3/14.2,-47/-31,6—7/21—22,Charge hold is frame 3,9/10,9/10,--,40,,
Chrom,Ground Attacks,Neutral Air,6/15,45,9,4.7/6.6,-6/-6,6—7/15—21,Autocancels on frame 47 onward,6/6,3/3,--,24,,
Chrom,Ground Attacks,Forward Air,10,29,8,9.0,-4,10—12,Autocancels on frame 31 onward,7,4,--,17,,
Chrom,Ground Attacks,Back Air,8,35,10,10.9,-6,8—10,Autocancels on frame 1-2 and 32 onward. Turns the character around.,10,4,--,25,,
Chrom,Ground Attacks,Up Air,5,41,8,7.6,-4,5—12,Autocancels on frame 1-2 and 38 onward,7,4,--,29,,
Chrom,Ground Attacks,Down Air,16,51,14,14.2/11.875,-9/-9,16—17,Autocancels on frame 1-2 and 52 onward,12,5,Sweet/Sour,34,,
Chrom,Ground Attacks,Neutral B (Flare Blade),21-260,44-283,--,8.0—50.0,-15—Shieldbreak,Normal: 21—24 (or 10—14 from release) || Max: 21—25,Startup is 10 from release. 11 frames to enter charge state.,7—21,8—...,--,19,,
Chrom,Ground Attacks,"Side B, Hit 1 (Double-Edge Dance, Hit 1)",9,39/29,--,2.8,-26/-16(air),9—11,Second total frames is from the air. Can transition to next slash as early as frame 12.,5,4,--,28,,
Chrom,Ground Attacks,"Double-Edge Dance, Hit 2 Neutral",5,38,--,2.8,-29,5—7,Can transition to next slash as early as frame 8.,5,4,--,31,,
