character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Daisy,Ground Attacks,Jab 1,2,27,--,2.0,-22,2,Transitions to Jab 2 as early as frame 7.,5,3,--,25,,
Daisy,Ground Attacks,Jab 2,2,29,--,3.0,-23,2—3,--,9,4,--,26,,
Daisy,Ground Attacks,Forward Tilt,7,36,--,7.0/8.0/6.0,-22/-21,7/8—9/10—15,--,7/4/**,7/8/**,Close/Mid hit far/Late,21,,
Daisy,Ground Attacks,Up Tilt,9,37,--,8.0/10.0,-20/-18,9—13,--,7/8,8/10,Close/Far,24,,
Daisy,Ground Attacks,Down Tilt,8,23,--,7.0,-8,8—9,--,7,7,--,14,,
Daisy,Ground Attacks,Dash Attack,6/17,37,--,4.0/6.0,-14,6—9/17—19,First hit blockstrings into second hit,5/7,-/6,--,18,,
Daisy,Ground Attacks,Forward Smash,15,45,--,15.0/13.5/18.0,-20/-21/-18,15—17/15—17/15—17,Can make directional inputs to change weapon. Charge hold is frame 5.,10/10/11,10/9/12,Golf/Tennis/Pan,28,,
Daisy,Ground Attacks,Up Smash,14,44,--,17.0/15.0/12.0/10.0/12.0,-20/-19,14—16/17—20,Head and arm intangibility on frame 14-20. Charge hold is frame 9,10/11,10/11,Early tip/Early hand/Early sides/Late tip/Late hand,24,,
Daisy,Ground Attacks,Down Smash,6/10/14/18/22/26/30,54,--,2.0/3.0,-21,6—7/10—11/14—15/18—19/ 22—23/26—27/30—31,Charge hold is frame 2,4/15,3/3,Multi/Final,23,,
Daisy,Ground Attacks,Neutral Air,5,48,7,13.0/6.0/5.0,-2/-4,5—8/9—19,Autocancels on frame 1-4 and 36 onward,9/6,5/3,Early/Late hands/Late hips,29,,
Daisy,Ground Attacks,Forward Air,16,57,13,14.0/15.0,-8/-8,16—20,Autocancels on frame 1-9 and 41 onward,10/10,5/5,Close/Far,37,,
Daisy,Ground Attacks,Back Air,6,53,11,12.0/7.0,-6/-8,6—7,Autocancels on frame 1-4 and 30 onward,9/7,5/3,Early/Late,46,,
Daisy,Ground Attacks,Up Air,10/15,45,7,4.0/6.0,-4/-4,(10/11/12—13)(15/16—19),Autocancels on frame 1-4 and 41 onward,6/7,3/3,Hit 1(Early/Normal/Late)/Hit 2(Early/Normal),26,,
