character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Dark_pit,Ground Attacks,Jab 1,4,25,--,2.0,-18,4—5,Transitions to jab 2 as early as frame 8,7,3,--,20,,
Dark_pit,Ground Attacks,Jab 2,5,29,--,2.0,-21,5—6,Transitions to jab 3 as early as frame 8. To rapid jab as early as 7,5,3,--,23,,
Dark_pit,Ground Attacks,Jab 3,3,31,--,4.0,-23,3,--,11,5,--,28,,
Dark_pit,Ground Attacks,Rapid Jab,6/8/10...,--,--,0.5,--,6/8/10...,--,4,3,--,--,,
Dark_pit,Ground Attacks,Rapid Jab Finisher,4,47,--,2.0,-40,4—5,--,9,3,--,42,,
Dark_pit,Ground Attacks,Forward Tilt,10,39,--,7.0/10.0,-22/-19,10—14,--,7/10,7/10,Close/Far,25,,
Dark_pit,Ground Attacks,Up Tilt,6/15,32,--,4.0/5.0,-23/-13,6—8/15—16,--,5/6,5/6,--,16,,
Dark_pit,Ground Attacks,Down Tilt,6,25,--,6.0,-13,6—7,--,6,6,--,18,,
Dark_pit,Ground Attacks,Dash Attack,7,38,--,11.0,-17,7—9,--,8,14,--,29,,
Dark_pit,Ground Attacks,Forward Smash,10/21,54,--,5.0/10.0,-26,10/21—22,Charge hold is frame 3,6/8,4/7,--,32,,
Dark_pit,Ground Attacks,Up Smash,6/7/10/18,51,--,3.0/*/2.0/8.0,-27,6/7/10/18,Charge hold is frame 2,5/*/4/9,3/*/3/6,First/First Late/Second/Third,33,,
Dark_pit,Ground Attacks,Down Smash,5/18,40,--,12.0/10.0,-27/-28/-14/-15,5—6/18—20,Charge hold is frame 2,9/8,8/7,Close/Far,20,,
Dark_pit,Ground Attacks,Neutral Air,4/7/10/13/16/19/22/25,54,14,0.7/4.5,-12/-11,4—5/7—8/10—11/13—14/16—17/19—20/22—23/25,Autocancels on frame 1-3 and 30 onward,4/10,2/3,Multi/Final,29,,
Dark_pit,Ground Attacks,Forward Air,11/14/18,46,12,2.5/6.0,-10/-9,11—12/14—15/18—19,Autocancels on frame 28 onward,5/14,2/3,Multi/Final,27,,
Dark_pit,Ground Attacks,Back Air,10,40,8,8.0/12.0,-4/-3,10—12,Autocancels on frame 28 onward,8/11,4/5,Close/Far,28,,
Dark_pit,Ground Attacks,Up Air,10/13/16/19/22,40,14,1.5/5.0,-12/-11,10—12/13—15/16—18/19—21/22—23,Autocancels on frame 1-4 and 37 onward,4/11,2/3,--,17,,
Dark_pit,Ground Attacks,Down Air,10,36,12,10.0,-8,10/11—12,Autocancels on frame 1-6 and 36 onward,8,4,Normal/Late,24,,
Dark_pit,Ground Attacks,Neutral B (Silver Bow),16—76,See Notes,--,5.5—14.0,-21 to -15,16—55 (sideways) || 17—56 (up),"Total frames vary depending on which move is used: Forward, Grounded : 46 | Forward, Aerial : 43 | Up, Grounded : 42 | Up, Aerial : 40",6—10,3—5,--,--,,
Dark_pit,Ground Attacks,Side B (Electroshock Arm),18,79/49,--,12.0,-36,16—35(detector),Startup is 2 upon reaching a target. Super Armor begins on frame 11 and ends on the frame he begins swing.,16,11,--,--,,
Dark_pit,Ground Attacks,"Side B, Air (Electrodash Arm, Air)",21,104/51,30,9.5,-40,19—35(detector),Startup is 2 upon reaching a target. 55 endlag on the swing if you don't land,12,9,--,--,,
Dark_pit,Ground Attacks,Up B (Power of Flight),--,--,40,--,--,--,"Invulnerable on frame 9-19, 15-19 in the air. Can Sweetspot ledges starting on frame 24.",--,--,--,--,,
Dark_pit,Ground Attacks,Down B (Guardian Orbitars),7 (Start of Reflect),43—124,--,--,--,--,Reflects/blocks as early as frame 7. 18 endlag on release.,--,--,--,--,,
Dark_pit,Ground Attacks,Grab,6,34,--,--,,6—7,--,,,,27,,
Dark_pit,Ground Attacks,Dash Grab,9,42,--,--,,9—10,--,,,,32,,
Dark_pit,Ground Attacks,Pivot Grab,10,37,--,--,,10—11,--,,,,26,,
Dark_pit,Ground Attacks,Pummel,1,19,--,1.3,,,Total frames includes 13 frames of hitlag,,,,,,
Dark_pit,Ground Attacks,Forward Throw,12/14,27,--,6.0/4.0,,,--,,,,,,
Dark_pit,Ground Attacks,Backward Throw,29,38,--,8.0,,,--,,,,,,
Dark_pit,Ground Attacks,Up Throw,13/15,37,--,4.0/7.0,,,--,,,,,,
Dark_pit,Ground Attacks,Down Throw,13/16,31,--,2.0/4.0,,,--,,,,,,
Dark_pit,Ground Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17,,,,,,
Dark_pit,Ground Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15,,,,,,
Dark_pit,Ground Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16,,,,,,
Dark_pit,Ground Attacks,Neutral Air Dodge,,52,10,,,,Intangible on frame 3-29,,,,,,
Dark_pit,Ground Attacks,"Air Dodge, Down",,73,11-19,,,,Intangible on frame 3-21,,,,,,
Dark_pit,Ground Attacks,"Air Dodge, Diagonally Down",,82,11-19,,,,Intangible on frame 3-21,,,,,,
Dark_pit,Ground Attacks,"Air Dodge, Left/Right",,89,11-19,,,,Intangible on frame 3-21,,,,,,
Dark_pit,Ground Attacks,"Air Dodge, Diagonally Up",,110,11-19,,,,Intangible on frame 3-21,,,,,,
Dark_pit,Ground Attacks,"Air Dodge, Up",,119,11-19,,,,Intangible on frame 3-21,,,,,,
Dark_pit,Ground Attacks,Stats,,,,,,,,,,,,,
Dark_pit,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Dark_pit,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Dark_pit,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Dark_pit,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
