character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Duck_hunt,Ground Attacks,Jab 1,4,25,--,1.5,-18,4,Transitions to jab 2 as early as frame 7.,7,3,--,21,,
Duck_hunt,Ground Attacks,Jab 2,5,27,--,1.5,-19,5—6,Transitions to jab 3 as early as frame 8 and rapid jab as early as frame 7,5,3,--,21,,
Duck_hunt,Ground Attacks,Jab 3,6,33,--,5.0,-21,6—7,--,12,6,--,26,,
Duck_hunt,Ground Attacks,Rapid Jab,5/7/9/...,**,--,0.4,--,**,--,4,3,--,--,,
Duck_hunt,Ground Attacks,Rapid Jab Finisher,5,45,--,3.0,-36,5,--,10,4,--,40,,
Duck_hunt,Ground Attacks,Forward Tilt,8,31,--,8.0,-15,8—11,--,7,8,--,20,,
Duck_hunt,Ground Attacks,Up Tilt,7,27,--,7.0,-13,7—11,--,7,7,--,16,,
Duck_hunt,Ground Attacks,Down Tilt,6,27,--,8.0,-13,6—7,--,7,8,--,20,,
Duck_hunt,Ground Attacks,Dash Attack,10,43,--,10.0/7.0,-23,10—13(14—19),--,8/7,10/7,Early/Late,24,,
Duck_hunt,Ground Attacks,Forward Smash,17/23/29,66,--,4.0/9.0,-30,17—18/23—24/29—30,Charge hold is frame 5.,5/7,4/7,Multi/Final,36,,
Duck_hunt,Ground Attacks,Up Smash,12/20/28,57,--,2.5/10,-22,12—13/20—21/28—29,Charge hold is frame 5.,5/8,3/7,Multi/Final,28,,
Duck_hunt,Ground Attacks,Down Smash,12/20/28,57,--,5.0/6.0,-24,12—13/20—21/28—29,Charge hold is frame 2.,6/6,4/5,Multi/Final,28,,
Duck_hunt,Ground Attacks,Neutral Air,6,55,10,11./5.0,-5/-7,6—8(9—37),Autocancels on frame 1-3 and 44 onward,9/6,5/3,--,18,,
Duck_hunt,Ground Attacks,Forward Air,7,44,9,10.0/6.5/7.5,-5/-6/-6,7(8—9/10—11),Autocancels on frame 1-5 and 46 onward,10/6/8,4/3/3,Far/Close/Late,33,,
Duck_hunt,Ground Attacks,Back Air,7,41,14,12.5/10.0,-9/-10,7—8(9—10),Autocancels on frame 1-3 and 35 onward,11/8,5/4,Far/Close,31,,
Duck_hunt,Ground Attacks,Up Air,6/12/20,39,11,3.0/6.0,-9/-8,6—7/12—13/20—21,Autocancels on frame 32 onward,5/6,2/3,Multi/Final,18,,
Duck_hunt,Ground Attacks,Down Air,14/20,49,15,5.0/10.0,-12/-11,14—15/20—21,Autocancels on frame 1-3 and 45 onward,6/8,3/4,--,28,,
