character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Fox,Ground Attacks,Jab 1,2,17,--,1.8,-12,2,Transitions to Jab 2 as early as frame 5.,8,3,--,15,,
Fox,Ground Attacks,Jab 2,2,20,--,1.0,-16,2,Transitions to Rapid Jab as early as frame 6.,5,2,--,18,,
Fox,Ground Attacks,Rapid Jab,5/7/9/...,--,--,0.6,--,5/7/9...,--,4,--,--,--,,
Fox,Ground Attacks,Rapid Jab Finisher,3,38,--,2.0,-32,3,--,14,3,--,35,,
Fox,Ground Attacks,Forward Tilt,6,23,--,6.0/7.0,-10/-10,6—8,Deals 1.0 more damage when angled.,6/7,7/7,No Angle/Angled,15,,
Fox,Ground Attacks,Up Tilt,3,27,--,(6.0%/7.0%/8.0%)/(5.0%/6.0%),-17/-16,3—5(6—7),--,6/7,7/8,(Clean (Leg/Aerial Foot/Grounded Foot)/Late (Leg/Foot)),20,,
Fox,Ground Attacks,Down Tilt,7,27,--,8.0/7.0,-12/-13,7—8,--,7/7,8/7,Close/far,19,,
Fox,Ground Attacks,Dash Attack,4,31,--,6.0/4.0,-16,4—7(8—15),--,7/6,11/7,Early/Late,16,,
Fox,Ground Attacks,Forward Smash,13,45,--,14.0(11.0),-22,13—14(15-16),Charge hold is frame 4,10,10,--,31,,
Fox,Ground Attacks,Up Smash,8,55,--,16.0/11.0,-36,8—9/10—11,Charge hold is frame 2,10/8,11/8,Early/Late,44,,
Fox,Ground Attacks,Down Smash,6,52,--,14.0/12.0,-36,6—7,Leg intangibility on frame 6-7. Charge hold is frame 2,10,10,Outer/Inner,45,,
Fox,Ground Attacks,Neutral Air,4,38,7,9.0/6.0,-3/-4,4—6/7—23,Autocancels on frame 1-3 and 32 onward,8/6,4/3,Early/Late,15,,
Fox,Ground Attacks,Forward Air,7/11/16/21/26,43,18,1.8/1.2/1.72.7/4.8/2.0,-14,7—8/11—12/16—17/21—22/26—27,Landing hit on frame 1. Autocancels on frame 46 onward,4/4/4/5/12/9,2/2/2/2/3/3,Last one is landing hitbox,16,,
Fox,Ground Attacks,Back Air,9,48,9,13.0,-4,9—11,Autocancels on frame 1-6 and 18 onward,9,5,--,37,,
Fox,Ground Attacks,Up Air,9/12,35,13,5.0/10.0,-10/-9,9—10/12—13,Autocancels on frame 1-8 and 25 onward,6/8,3/4,First/Second,22,,
Fox,Ground Attacks,Down Air,5/8/11/14/17/20/23,49,17,1.4/3.0/1.0,-14,5—6/8—9/11—12/14—15/17—18/20—21/23/**,Landing hit on frame 1. Autocancels on frame 1-4 and 28 onward,4/10/8,2/2/2,Multi/final/landing,--,,
Fox,Ground Attacks,Neutral B (Blaster),"11/13/20, 9/11/18","36, 34",--,3.0/2.0/1.4,-18/-19/-19,"11—12/13—19/20—32, 9—10/11—17/18—30",Fire rate is one shot per 10 frames.,5/4/4,2/2/2,"Ground Early/Normal/Late, Air Early/Normal/Late",6,,
Fox,Ground Attacks,Side B (Fox Illusion),25/25,55/72,16,8.0/5.0,-18/-28,25—29/25—29,Fox does not suffer hitlag/shieldlag from this attack. Advantage assumes lowest altitude possible. *Hitboxes actually trail behind the character and are not actually on Fox.*,7/6,3/3,Ground/Air,24,,
Fox,Ground Attacks,Up B (Fire Fox),20/22/24/26/28/30/32/43/47,91,20,1.7/16.0,-34,20/22/24/26/28/30/32/43—46/47—72,Total frames is when traveling along the ground.,4/10,3/14,Multi/Final,19,,
Fox,Ground Attacks,Down B (Reflector),3,36,--,2.0,-30,--,Invulnerable on frame 2-3 Reflects as early as frame 4.,7,3,--,--,,
Fox,Ground Attacks,Grab,6,36,--,--,,6—7,--,,,,29,,
Fox,Ground Attacks,Dash Grab,10,44,--,--,,10—11,--,,,,33,,
Fox,Ground Attacks,Pivot Grab,11,39,--,--,,11—12,--,,,,27,,
Fox,Ground Attacks,Pummel,1,15,Total frames includes 10 frames of hitlag.,1.0,,,--,,,,,,
Fox,Ground Attacks,Forward Throw,10/11,33,--,4.0/3.0,,,--,,,,,,
Fox,Ground Attacks,Backward Throw,10/16/19/22,49,--,2.0/2.0,,,"Victim is thrown at 10. Blaster shots at 16, 19, 22.",,,,,,
Fox,Ground Attacks,Up Throw,7/18/21/24,49,--,2.0/2.0,,,"Victim is thrown at 7. Blaster shots at 18, 21, 24.",,,,,,
Fox,Ground Attacks,Down Throw,26/29/32/34,54,--,2.0/1.0,,,--,,,,,,
Fox,Ground Attacks,Spot Dodge,,18/23,--,,,,Intangible on frame 3-14.,,,,,,
Fox,Ground Attacks,Forward Roll,,26,--,,,,Intangible on frame 4-12.,,,,,,
