character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Ganondorf,Ground Attacks,Jab,7,26,--,11.0,-8,7—8,--,13,10,--,18,,
Ganondorf,Ground Attacks,Forward Tilt,10,39,--,13.0/14.0,-17/-16,10—12,--,9/10,12/13,Close/Far,27,,
Ganondorf,Ground Attacks,Up Tilt,60,95,--,24.0/13.0,-14,60—61(62—63) / Windboxes 6—52,Flames hit on frame 62 above Ganon,14/9,21/12,Early and Late leg/Late explosion,43,,
Ganondorf,Ground Attacks,Down Tilt,10,35,--,14.0,-12,10—12,--,10,13,--,23,,
Ganondorf,Ground Attacks,Dash Attack,10,37,--,15.0/11.0,-13/-11,10—12/13—19,--,10/8,14/13,Early/Late,18,,
Ganondorf,Ground Attacks,Forward Smash,29,69,--,24.0,-24,29—31,Charge hold is frame 14. Hits targets above him on frame 29,14,15,--,38,,
Ganondorf,Ground Attacks,Up Smash,20,61,--,24.0/21.0,-25,20—25,Charge hold is frame 9,14/13,15/14,Far/Close,36,,
Ganondorf,Ground Attacks,Down Smash,15/35,59,--,5.0/15.0,-39/-13,15—18/35—38,Charge hold is frame 4,6/10,4/10,First/Second,21,,
Ganondorf,Ground Attacks,Neutral Air,7/17,40,10,(7.0/5.25)(12.0/ 9.5),(-7/-7)(-5/-6),(7—8/9—12)(17—18/19—26),Autocancels on frame 1-3 and 37 onward,(7/6)(11/9),(3/3)(5/4),(First Early/Late)(Second Early/Late),14,,
Ganondorf,Ground Attacks,Forward Air,14,44,13,17.0/18.0,-7/-7,14—19,Autocancels on frame 1-6 and 45 onward,11/13,6/6,Close/Far,25,,
Ganondorf,Ground Attacks,Back Air,10,35,11,18.5/17,-4/-5,10—12,Autocancels on frame 1-6 and 22 onward,11/14,7/6,Sweet/Sour,23,,
Ganondorf,Ground Attacks,Up Air,8,33,11,13.0/12.0/12.0/10.0/8.0/6.0,-6/-6/-6/-7/-7/-8,8—10/11—13/14—16 (Close/Early/Late),Autocancels on frame 25 onward,9/9/9/8/7/6,5/5/5/4/4/3,Clean/Late/Latest,--,,
Ganondorf,Ground Attacks,Down Air,16,44,16,19.0/17.0,-9/-10,16—18,Autocancels on frame 1-3 and 32 onward,15/16,7/6,Legs/Waist,26,,
Ganondorf,Ground Attacks,Neutral B (Warlock Punch),70/80,117/127,--,30.0/37.0,-20/-14,70—73/80—83,Super armor on frame 11-67 (reversed version has super armor 21-75).,15/16,26/31,Forward/Reversed,34,,
Ganondorf,Ground Attacks,"Neutral B, Air (Warlock Punch, Air)",70/80,117/127,--,38.0/40.0,-14/-12,70—73/80—83,Does not have Super armor.,16/16,32/34,Forward/Reversed,34,,
Ganondorf,Ground Attacks,Side B (Flame Choke),16,59,--,--,--,16—30,Damage dealt 32 frames after a grab. 57 total frames.,--,--,--,29,,
Ganondorf,Ground Attacks,"Flame Choke, Success",31,57,--,12.0,--,32,Armor on frame 17-40,--,--,--,25,,
Ganondorf,Ground Attacks,"Side B, Air (Flame Choke, Air)",16,--,29/20,--,--,16—28,"29 landing lag if you don't enter special fall. 20 if you do. Opponents can mash out of air flame choke to prevent Ganoncides, with opponents who have lower damage than Ganondorf being able to break out more quickly.",--,--,--,--,,
Ganondorf,Ground Attacks,"Side B, Air Success (Flame Choke, Air Success)",--,--,30,15.0,--,1 (Landing),Damage dealt on frame 1 of landing. Untechable knockdown.,--,--,--,--,,
Ganondorf,Ground Attacks,Up B (Dark Dive),14,**,30,7.0,--,14—28(Grab)/34—36(Attack),First startup is for the grab.,7,7,--,--,,
Ganondorf,Ground Attacks,"Dark Dive, Grab Success",4/8/12/16/17,40,--,1.9/9.0,--,**,--,--,--,Multi/Final,--,,
Ganondorf,Ground Attacks,Down B (Wizard's Foot),16,60/68,--,14.0/16.0,-29,16—35,Total frames is 68 if you go over an edge.,10/10,13/14,Close/Far,25,,
Ganondorf,Ground Attacks,"Down B, Air (Wizard's Foot, Air)",16,57,44,15.0/14.0/8.0,-34,16—18/19—29/2—3,Hitbox on frame 2 of landing.,10/10,14/13/8,Early/Late/Landing,28,,
