character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Greninja,Ground Attacks,Jab 1,3,21,--,Transitions to jab 2 as early as frame 6,2.0,8,3,--,-15,3,18
Greninja,Ground Attacks,Jab 2,3,21,--,Transitions to jab 3 as early as frame 6,2.0,5,3,--,-15,3—4,17
Greninja,Ground Attacks,Jab 3,5,35,--,--,3.0,10,4,--,-26,5—6,29
Greninja,Ground Attacks,Rapid Jab,5/8/11/14...,**,--,--,0.5,4,3,--,--,**,--
Greninja,Ground Attacks,Rapid Jab Finisher,4,47,--,--,2.0,9,3,--,-39,4—5,42
Greninja,Ground Attacks,Forward Tilt,10,32,--,--,7.3/8.3,7/7,8/8,No Angle/Angled,-14/-14,10—12,20
Greninja,Ground Attacks,Up Tilt,9,32,--,--,4.5,5,5,--,-18,9—12,20
Greninja,Ground Attacks,Down Tilt,5,22,--,--,4.0,5,5,--,-12,5—6,16
Greninja,Ground Attacks,Dash Attack,7,28,--,--,8.0,7,8,--,-13,7—11,17
Greninja,Ground Attacks,Forward Smash,13,49,--,Charge hold is frame 7,14.0,10,10,--,-26,13—15,34
Greninja,Ground Attacks,Up Smash,12/18,51,--,Charge hold is frame 8,5.0/14.0/11.0,8/14/8,4/10/8,First/Second/Late,-23,12—17/18(19—20/21),30
Greninja,Ground Attacks,Down Smash,11,49,--,Charge hold is frame 4,13.0/11.0,9/?,9/?,Far/Close,-29,11—12(13),36
Greninja,Ground Attacks,Down Taunt,30,109,--,Does not give aerial opponents hit stun,0.5,**,**,--,**,30—73 (rehit: 3),6
Greninja,Ground Attacks,Neutral Air,12,52,7,Autocancels on frame 1-9 and 40 onward,11.0/6.0,9/6,5/3,--,-2/-4,12—13(14—19),33
Greninja,Ground Attacks,Forward Air,16,54,11,Autocancels on frame 1-12 and 40 onward,14.0,11,5,--,-6,16—17,37
Greninja,Ground Attacks,Back Air,5/7/11,40,10,Autocancels on frame 1-3 and 35 onward,3.0/2.5/6.0,5/5/13,2/2/3,--,-8/-7,5/7/11—14,26
Greninja,Ground Attacks,Up Air,7/10/13/16/19/22,41,14,Autocancels on frame 1-2 and 35 onward,1.3/3.0,4/13,2/2,Multi/Final,-12/-12,7—8/10—11/13—14/16—17/19—20/22,19
Greninja,Ground Attacks,Down Air,17,51,30,On-hit bounce animation takes 20 frames before you can act. Autocancels on frame 1-2 and 53 onward,8.0,15,4,Early/Late,-16,17—19(20—45),6
Greninja,Ground Attacks,Neutral B (Water Shuriken),20—60,** (see notes),--,"Hits on frames 6—41(rehit:4)/42 on release. Total Frames: 31 for any level of charge before max, 27 for max, 24 for any level of charge on aerial release, 20 for max charge aerial release.","3.0—10.8, 1.0/9.0",5—8/4/11,2—4/2/4/10/11,partial charge/full charge,-18 to -13,20—35 — 60—95,--
Greninja,Ground Attacks,Side B (Shadow Sneak),24(+5),63,--,Startup is 24 from release. Must ready this move for at least five frames.,10.0/12.0,10/12,10/11,Front/Back Kick,-29/-28,24—25,38
Greninja,Ground Attacks,Up B (Hydro Pump),19,--,32,--,2.0,8,2,--,--,**,--
Greninja,Ground Attacks,Down B (Substitute),8 (Start of Counter),69,--,Invulnerable on frame 7. Counters on frame 8-34,--,--,--,--,--,8—34 (counter),--
Greninja,Ground Attacks,"Down B, Attack (Substitute, Attack)",19,63,--,Invulnerable on frame 1-33 in addition to 22 freeze frames.,11.0/13.0,9/10,11/12,Side/Up or Down,-33/-32,19,44
Greninja,Ground Attacks,Grab,10,38,--,--,--,,,,,10—11,27
Greninja,Ground Attacks,Dash Grab,13,46,--,--,--,,,,,13—14,32
Greninja,Ground Attacks,Pivot Grab,14,41,--,--,--,,,,,14—15,26
Greninja,Ground Attacks,Pummel,2,18,Total frames includes 10 frames of hitlag.,--,1.0,,,,,,
Greninja,Ground Attacks,Forward Throw,15/16,31,--,--,3.5/4.5,,,,,,
Greninja,Ground Attacks,Backward Throw,18,44,--,--,9.0,,,,,,
Greninja,Ground Attacks,Up Throw,16,42,--,--,5.0,,,,,,
Greninja,Ground Attacks,Down Throw,16,37,--,--,5.0,,,,,,
Greninja,Ground Attacks,Spot Dodge,,19/24,--,Intangible on frame 3-16.,,,,,,,
Greninja,Ground Attacks,Forward Roll,,28,--,Intangible on frame 4-14.,,,,,,,
Greninja,Ground Attacks,Backward Roll,,33,--,Intangible on frame 4-15.,,,,,,,
Greninja,Ground Attacks,Neutral Air Dodge,,41,10,Intangible on frame 2-27.,,,,,,,
Greninja,Ground Attacks,"Air Dodge, Down",,60,11-19,Intangible on frame 2-19.,,,,,,,
