character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Hero,Ground Attacks,Jab 1,6,25,--,3.0,-15,6—7,Transitions to jab 2 as early as frame 9,6,4,--,18,,
Hero,Ground Attacks,Jab 2,6,25,--,3.0,-15,6—7,Transitions to jab 3 as early as frame 9,5,4,--,18,,
Hero,Ground Attacks,Jab 3,7,37,--,4.0,-25,7—9,--,10,5,--,28,,
Hero,Ground Attacks,Forward Tilt 1,9,36,--,5.0,-21,9—11,"Transitions to next attack as early as frame 18. Arm, head, leg invincibility on frame 9. Arm invincibility on frame 10-11.",8,6,--,25,,
Hero,Ground Attacks,Forward Tilt 2,8,47,--,8.0,-31,8—9,--,8,8,--,38,,
Hero,Ground Attacks,Up Tilt,8,41,--,9.0/11.0/11.0,-23,8—9/10—11,--,8,10,Early/Late,30,,
Hero,Ground Attacks,Down Tilt,6,32,--,7.0,-19,6—10,--,7,7,--,22,,
Hero,Ground Attacks,Dash Attack,21,51,--,13.0/15.0,-16,21/22—23,--,9/11,12/14,Close/Far,28,,
Hero,Ground Attacks,Forward Smash,17,65,--,18.0/36.0 (Sour: 16.0/32.0),-36 (-26),17—19,--,14/27,12/22,Normal/Crit,46,,
Hero,Ground Attacks,Up Smash,13,53,--,16.0/32.0 (Sour: 14.0/28.0),-29 (-19),13—17,Normal/Crit,13/27,11/20,Normal/Crit,36,,
Hero,Ground Attacks,Down Smash,9/20,55,--,Normal: 13.0/26.0 (Sour: 11.0/22.0),-37/-26 (-29/-18),9—10/20—21,Damage listed is the same for both the first and second hit.,8/9 / 25/27,8/9 / 14/17,Normal/Crit,34,,
Hero,Ground Attacks,Neutral Air,8,45,10,9.0,-6,8—16,**,7,4,--,29,,
Hero,Ground Attacks,Forward Air,14,42,12,10.0/12.0,-7,14—17,**,10/9,5/4,Early/Late,25,,
Hero,Ground Attacks,Back Air,18,47,14,12.0/14.0,-9,18—20,**,10/9,5/5,Early/Late,27,,
Hero,Ground Attacks,Up Air,6,32,8,7.0,-5,6—10,--,7,3,--,22,,
Hero,Ground Attacks,Down Air,16,62,18,16.0/10.0,-12,16—18/19—24,Autocancels on frame 1-4 and 46 onward,12/8,6/4,Early/Late,38,,
Hero,Ground Attacks,Neutral B (Frizz/Frizzle/Kafrizz),[10(+7)][11(+25)][16(2/8/14/20)],43/51/67,--,9.0/18.0/19.0(3.0),-22/-28/-24,[10—65][11—56][16—73],Frizz: Takes 7 frames to enter charge state and 5 frames to exit charge state. Cost: 6MPFrizzle: Takes 25 frames to reach this level of charge. Cost: 16MPKafrizz: Eruption upon reaching a target hits on frame (2/8/14/20). Cost: 36 MP,7/8/25,4/4/2,-- / -- / projectile/eruption,--,,
