character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Ice_climbers,Ground Attacks,Jab 1,4,27,--,2.0(1.5),-20(-15),4—5,Transitions to Jab 2 as early as frame 10.,6(6),3(3),--,22,,
Ice_climbers,Ground Attacks,Jab 2,4,29,--,3.5(2.6),-21(-12),4—5,--,9(9),4(4),--,24,,
Ice_climbers,Ground Attacks,Forward Tilt,9,29,--,9.0(6.7),-14(-10),9—10,--,7(6),9(7),--,19,,
Ice_climbers,Ground Attacks,Up Tilt,8/11/14/17/20/23/27,48,--,0.8/4.5(0.6/3.0),-16(-7),8—9/11—12/14—15/17—18/20—21/23—24/27,--,4/11(4/10),2/5(2/4),--,21,,
Ice_climbers,Ground Attacks,Down Tilt,8,30,--,6.0(4.5),-16(-10),8—11,--,6(5),6(5),--,19,,
Ice_climbers,Ground Attacks,Dash Attack,9,39,--,6.0(4.5),-24(-18),9—12,--,6(5),6(5),--,27,,
Ice_climbers,Ground Attacks,Forward Smash,11,46,--,12.0(9.0),-27(-22),11—13,Charge hold is frame 4,9(7),8(7),--,33,,
Ice_climbers,Ground Attacks,Up Smash,12,49,--,11.0(8.2),-29(-24),12—17,Charge hold is frame 7,8(7),8(6),--,32,,
Ice_climbers,Ground Attacks,Down Smash,9/16,40,--,13.0(9.7),-22/-17,9—11/16,Charge hold is frame 4,9/8,9/7,--,24,,
Ice_climbers,Ground Attacks,Neutral Air,6,45,7,7.0(5.2),-4(+2),6—23,Autocancels on frame 1-5 and 30 onward,7(6),3(3),--,22,,
Ice_climbers,Ground Attacks,Forward Air,19,56,10,12.0(9.0),-5(+3),19—20,Autocancels on frame 1-2 and 49 onward,9(7),5(4),--,36,,
Ice_climbers,Ground Attacks,Back Air,8,35,7,10.0(7.5),-3(+0),8—11,Autocancels on frame 1-7 and 19 onward,8(7),4(3),--,24,,
Ice_climbers,Ground Attacks,Up Air,7,35,14,9.0(6.7),-10(-3),7—11,Autocancels on frame 1-6 and 27 onward,7(6),4(3),--,24,,
Ice_climbers,Ground Attacks,Down Air,12,63,20,8.0(6.0),-16(-12),12—51,Autocancels on frame 54 onward,7(6),4(3),--,12,,
Ice_climbers,Ground Attacks,Neutral B (Ice Shot),18/19,55,--,3.5/3.5,-29(-24),18/19—**,--,5,2,--,--,,
