character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Incineroar,Ground Attacks,Jab 1,5,23,--,2.5,-14,5—6,Transitions to jab 2 on frame 8,5,4,--,17,,
Incineroar,Ground Attacks,Jab 2,4,31,--,2.8,-23,4—5,Transitions to jab 3 on frame 13,6,4,--,26,,
Incineroar,Ground Attacks,Jab 3,4,37,--,6.7,-28,4—5,--,6,5,--,32,,
Incineroar,Ground Attacks,Forward Tilt,12,36,--,13.0/12.0,-12,12—14,--,11,12,Far/Close,22,,
Incineroar,Ground Attacks,Up Tilt,6,34,--,9.0,-19,6—11,Head intangibility on frame 6-11,7,9,--,23,,
Incineroar,Ground Attacks,Down Tilt,9,29,--,9.0,-11,9—11,Leg intangibility on frame 8-12,7,9,--,18,,
Incineroar,Ground Attacks,Dash Attack,8,41,--,13.0/9.0,-21,8—11/12—15,--,9/7,12/9,Early/Late,26,,
Incineroar,Ground Attacks,Forward Smash,16,51,--,20.0/16.0,-22/-24,16—18,Charge hold is frame 1,14/10,13/11,Close/Far,33,,
Incineroar,Ground Attacks,Up Smash,13,47,--,17.0,-23,13—18,Arm intangibility on frame 13-18. Charge hold is frame 5,10,11,--,29,,
Incineroar,Ground Attacks,Down Smash,18,57,--,17.0,-28,18—20,Charge hold is frame 1,10,11,--,37,,
Incineroar,Ground Attacks,Neutral Air,5,41,11,13.0/7.0,-6/-8,5—6/7—25,Autocancels on frame 1-3 and 36 onward,9/7,5/3,Early/Late,16,,
Incineroar,Ground Attacks,Forward Air,8,44,14,12.0/13.0/9.0/9.6,-9/-9,8—10(11—14),Autocancels on frame 1-6 and 46 onward,9/10,5/5,Close/Far,30,,
Incineroar,Ground Attacks,Back Air,7,41,11,11.0/13.0,-7/-6,7—10,Autocancels on frame 1-5 and 36 onward,8/10,4/5,Close/Far,31,,
Incineroar,Ground Attacks,Up Air,7,31,8,8.0,-4,7—11,Autocancels on frame 1-5 and 26 onward,7,4,--,20,,
Incineroar,Ground Attacks,Down Air,16,44,16,15.0/14.0/9.0/8.0,-11/-11/-12,16—19/20—21,Autocancels on frame 1-3 and 45 onward,10/10/7,5/5/4,Meteor/Close/Late,23,,
Incineroar,Ground Attacks,Neutral B (Darkest Lariat),5/15/23/37/50/56,84,--,16.0—6.0,-65,5—10/15—16/23—30/37—44/50—51/56—57,"On the ground: Invincible on frame 5-6, head/arm invincible on frame 7, and arm invincible on frame 7-57.",12—7,14—8,--,27,,
Incineroar,Ground Attacks,"Side B (Alolan Whip, Grab)",16,57,--,--,--,16—32(grab),"Follow with: Lariat, Back Body Drop, or Chest Bounce.",--,--,--,--,,
Incineroar,Ground Attacks,"Alolan Whip, Lariat Attack",7,47,--,20.0,--,**,"Following a grab, successful window for a lariat is frame 43-47. Any later is a failure and results in Back Body Drop or Chest Bounce. Damage-based armor 1—58 (14.338% in 1v1, 11.99% base).",--,--,--,--,,
Incineroar,Ground Attacks,"Alolan Whip, Back Body Drop",8,42,--,12.0,--,**,"You can hold the button to guarantee this particular attack. Damage-based armor 1—... (14.338% in 1v1, 11.99% base).",--,--,--,--,,
Incineroar,Ground Attacks,"Alolan Whip, Chest Bounce (Failure)",**,32,--,4.0,--,**,"Damage-based armor 1—4 (14.338% in 1v1, 11.99% base).",--,--,--,--,,
Incineroar,Ground Attacks,Up B (Cross Chop),11/38,79,61/35,3.0/7.0/11.0/9.0,-51,(11/13—15/16—24)(38...),"Landing hitbox on frame 1. Arm intangibility on frame 13-26. Damage=based armor on frame 4-15 (14.338% in 1v1, 11.99% base). Total frames is if you never land during the dive. Second landing lag is if you land too late.",9/10/10/10,4/7/10/9,rising/falling early/falling late/landing,41,,
Incineroar,Ground Attacks,Down B (Revenge),3 (Start of Counter),49,--,--,--,**,"Counter window 3-27. Next attack's damage increased by""((3-x) + (Max KB Multiplier) * (x-1)) / 2"" where x = current damage dealt multiplier. Stores up to 3x Revenges for total damage combined. Revenge store is lost when you are grabbed or take 36% damage. Lasts 60 seconds at base. Jab 1/2 and the rising hits of Cross Chop don't remove revenge. For more info, including exact knockback multipliers, checkSmash Wiki's page on Revenge.",--,--,--,--,,
Incineroar,Ground Attacks,"Revenge, Counter Attack",8,25,--,2.4,**,8—9,Invulnerable on frame 1-14 in addition to counter freeze frames.,**,**,--,16,,
Incineroar,Ground Attacks,Grab,7,37,--,--,,7—9,--,,,,28,,
Incineroar,Ground Attacks,Dash Grab,11,45,--,--,,11—13,--,,,,32,,
Incineroar,Ground Attacks,Pivot Grab,12,43,--,--,,12—14,--,,,,29,,
Incineroar,Ground Attacks,Pummel,1,20,**,1.6,,,Total frames includes 14 frames of hitlag,,,,,,
Incineroar,Ground Attacks,Forward Throw,58,81,--,12.0,,,--,,,,,,
Incineroar,Ground Attacks,Backward Throw,28/30,51,--,14.0,,,--,,,,,,
Incineroar,Ground Attacks,Up Throw,27,55,--,12.0,,,--,,,,,,
Incineroar,Ground Attacks,Down Throw,22,35,--,9.0,,,--,,,,,,
Incineroar,Ground Attacks,Spot Dodge,,21/26,--,,,,Intangible on frame 3-17,,,,,,
Incineroar,Ground Attacks,Forward Roll,,30,--,,,,Intangible on frame 4-15.,,,,,,
Incineroar,Ground Attacks,Backward Roll,,35,--,,,,Intangible on frame 5-16.,,,,,,
Incineroar,Ground Attacks,Neutral Air Dodge,,44,10,,,,Intangible on frame 3-29.,,,,,,
Incineroar,Ground Attacks,"Air Dodge, Down",,63,11-19,,,,Intangible on frame 3-21.,,,,,,
Incineroar,Ground Attacks,"Air Dodge, Diagonally Down",,72,11-19,,,,Intangible on frame 3-21.,,,,,,
Incineroar,Ground Attacks,"Air Dodge, Left/Right",,76,11-19,,,,Intangible on frame 3-21.,,,,,,
Incineroar,Ground Attacks,"Air Dodge, Diagonally Up",,86,11-19,,,,Intangible on frame 3-21.,,,,,,
Incineroar,Ground Attacks,"Air Dodge, Up",,96,11-19,,,,Intangible on frame 3-21.,,,,,,
Incineroar,Ground Attacks,Stats,,,,,,,,,,,,,
Incineroar,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Incineroar,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Incineroar,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Incineroar,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
