character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Inkling,Ground Attacks,Jab 1,3,19,--,2.0,-13,3—4,**,7,3,--,15,,
Inkling,Ground Attacks,Jab 2,2,21,--,2.0,-16,2—3,--,7,3,--,18,,
Inkling,Ground Attacks,Jab 3,4,29,--,3.5,-21,4—5,--,10,4,--,24,,
Inkling,Ground Attacks,Rapid Jab,4/7/10...,--,--,0.4,**,4/7/10...,Will not hit opponents when out of Ink,4,3,--,--,,
Inkling,Ground Attacks,Rapid Jab Finisher,6,48,--,2.5,-38,6,Will not hit opponents when out of Ink,4,3,--,42,,
Inkling,Ground Attacks,Forward Tilt,8,34,--,9.0,-17,8—10,--,7,9,--,24,,
Inkling,Ground Attacks,Up Tilt,7,29,--,6.0,-16,7—12,--,6,6,--,17,,
Inkling,Ground Attacks,Down Tilt,5/12,31,--,3.0/6.0,-13,5—8/12—15,--,5/6,4/6,--,16,,
Inkling,Ground Attacks,Dash Attack,8,35,--,8.0/6.0,-16,8—9/10—13,--,7/6,11/9,--,22,,
Inkling,Ground Attacks,Forward Smash,16,51,--,14.0/16.0,-25/-24,16—17,Gets weaker when out of ink. Charge hold is frame 5,10/10,10/11,Close/Far,34,,
Inkling,Ground Attacks,Up Smash,9/18,57,--,4.0/15.0/10.0,-44/-29/-32,9—10/18—20,Gets weaker when out of ink. Charge hold is frame 3,5/10/8,4/10/7,First/Close/Far,37,,
Inkling,Ground Attacks,Down Smash,11/20,49,--,12.5/11.0,-29/-21,(11—12/13—15)/(20—21/22—24),Gets weaker when out of ink. Charge hold is frame 2,9/8,9/8,--,25,,
Inkling,Ground Attacks,Neutral Air,6,31,5,7.0,-2,6—9,Autocancels on frame 27 onward,7,3,--,22,,
Inkling,Ground Attacks,Forward Air,10,41,12,12.0/10.0/7.0,-8/-9,10—11/12—21,Autocancels on frame 1-4 and frame 40 onward,8/7,4/3,Tipper/Early/Late,20,,
Inkling,Ground Attacks,Back Air,7,36,6,10.0/7.5,-2/-3,7—11,Autocancels on frame 1-6 and frame 30 onward,8/7,4/3,Far/Close,25,,
Inkling,Ground Attacks,Up Air,12/17,43,6,4.5/6.5,-3/-3,12—15/17—20,Autocancels on frame 40 onward,5/6,3/3,--,23,,
Inkling,Ground Attacks,Down Air,16,61,10,12.0/10.0,-5/-6,16—17,Autocancels on frame 1-4 and 33 onward,9/8,5/4,Far/Close,44,,
Inkling,Ground Attacks,Neutral B (Splattershot),12/16/20/24,36,--,0.3,-6,16/16/20/24,Startup and total frames is the minimum. When out of Ink this move enters the refill state.,4,2,--,12,,
Inkling,Ground Attacks,Side B (Splat Roller),16,17/35,--,4.0—11.0,-15 to -12,16...,17 frame animation to jump cancel. 35 animation to cancel on the ground. Inkling suffers more shieldlag than defender. Advantage assumes buffered jump cancel.,5—8 (Inkling 8—13),5—10,--,1,,
Inkling,Ground Attacks,Up B (Super Jump),12,--,40,8.0/6.0,**/-29/-30,12/15—21/1—10,Inkling will not suffer hitlag from this attack. Landing hitbox on frame 1.,7/6,3/3,Ground/Aerial/Landing,--,,
Inkling,Ground Attacks,Down B (Splat Bomb),20—40,47—65,--,9.4—15.0,**,**,Holding the button allows for a longer yet slower throw. Bombs explode on contact or on frame 99—159.,8—10,4—5,--,--,,
Inkling,Ground Attacks,Grab,8,34,--,--,,8—9,--,,,,25,,
Inkling,Ground Attacks,Dash Grab,9,41,--,--,,9—10,--,,,,31,,
Inkling,Ground Attacks,Pivot Grab,10,37,--,--,,10—11,--,,,,26,,
Inkling,Ground Attacks,Pummel,1,18,**,1.3,,,Total frames includes 12 frames of hitlag,,,,,,
Inkling,Ground Attacks,Forward Throw,22/23,39,--,5.0/3.0,,,--,,,,,,
Inkling,Ground Attacks,Backward Throw,17,36,--,9.0,,,--,,,,,,
Inkling,Ground Attacks,Up Throw,21/22,36,--,3.0/3.0,,,--,,,,,,
Inkling,Ground Attacks,Down Throw,20,34,--,7.0,,,--,,,,,,
Inkling,Ground Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17,,,,,,
Inkling,Ground Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15.,,,,,,
Inkling,Ground Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16.,,,,,,
Inkling,Ground Attacks,Neutral Air Dodge,,50,10,,,,Intangible on frame 3-29.,,,,,,
Inkling,Ground Attacks,"Air Dodge, Down",,70,11-19,,,,Intangible on frame 3-21.,,,,,,
Inkling,Ground Attacks,"Air Dodge, Diagonally Down",,76,11-19,,,,Intangible on frame 3-21.,,,,,,
Inkling,Ground Attacks,"Air Dodge, Left/Right",,84,11-19,,,,Intangible on frame 3-21.,,,,,,
Inkling,Ground Attacks,"Air Dodge, Diagonally Up",,100,11-19,,,,Intangible on frame 3-21.,,,,,,
Inkling,Ground Attacks,"Air Dodge, Up",,112,11-19,,,,Intangible on frame 3-21.,,,,,,
Inkling,Ground Attacks,Stats,,,,,,,,,,,,,
Inkling,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Inkling,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Inkling,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Inkling,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Inkling,Aerial Attacks,Neutral Air,6,31,5,7.0,-2,6—9,Autocancels on frame 27 onward,7,3,--,22,,
Inkling,Aerial Attacks,Forward Air,10,41,12,12.0/10.0/7.0,-8/-9,10—11/12—21,Autocancels on frame 1-4 and frame 40 onward,8/7,4/3,Tipper/Early/Late,20,,
Inkling,Aerial Attacks,Back Air,7,36,6,10.0/7.5,-2/-3,7—11,Autocancels on frame 1-6 and frame 30 onward,8/7,4/3,Far/Close,25,,
Inkling,Aerial Attacks,Up Air,12/17,43,6,4.5/6.5,-3/-3,12—15/17—20,Autocancels on frame 40 onward,5/6,3/3,--,23,,
Inkling,Aerial Attacks,Down Air,16,61,10,12.0/10.0,-5/-6,16—17,Autocancels on frame 1-4 and 33 onward,9/8,5/4,Far/Close,44,,
