character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Isabelle,Ground Attacks,Jab,3,19,--,2.0,-13,3—4,Transitions to another jab on frame 13.,4,3,--,15,,
Isabelle,Ground Attacks,Forward Tilt,8,36,--,9.0,-19,8—11,--,7,9,--,25,,
Isabelle,Ground Attacks,Up Tilt,6,29,--,8.0,-15,6—13,--,7,8,--,16,,
Isabelle,Ground Attacks,Down Tilt,9,31,--,13.0/8.0,-10/-14,9—10,--,9/7,12/8,--,21,,
Isabelle,Ground Attacks,Dash Attack,7,39,--,10.0/6.0,-21,7—12/13—19 (Normal)7-12/13-66 (Off Ledge),"Projectile Attack. If done off ledge, the late hit of the projectile will fall 15—68 instead.",8/6,4/3,Clean/Late,--,,
Isabelle,Ground Attacks,Forward Smash,14,45,--,17.0/8.0,-20,14—16/17—19,Charge hold is frame 6,10,11,--,26,,
Isabelle,Ground Attacks,Up Smash,9/14,45,--,2.0/12.0,-12,9—10/14—16/17—18,"Isabelle will not suffer hitlag from this attack, improving combo potential. Charge hold is frame 8",0/11,4/8,Early/Clean/Late,27,,
Isabelle,Ground Attacks,Down Smash,8/12,43,--,10.0/8.0,-28/-25,8—9/12—13,Charge hold is frame 4,8/7,7/6,--,30,,
Isabelle,Ground Attacks,Neutral Air,5/8,33,6,10.0/6.0,-2/-3,5—7/8—25,Autocancels on frame 1-2 and 34 onward,8/6,4/3,--,8,,
Isabelle,Ground Attacks,Forward Air,10,39,14,7.0/4.0/2.5,-6 — +4,10—12(13—18/19—23),Projectile attack. Autocancels on frame 1-2 and 30 onward,7/5/5,3/2/2,--,16,,
Isabelle,Ground Attacks,Back Air,13,35,14,9.0/5.0/3.0,-4 — +5,13—15(16—21/22—26),Projectile attack. Autocancels on frame 1-2 and 30 onward,7/6/5,4/3/2,--,9,,
Isabelle,Ground Attacks,Up Air,6,42,9,10.0/5.0,-5/-6,6—7/8—31,Autocancels on frame 1-5 and 39 onward,8/6,4/3,--,11,,
Isabelle,Ground Attacks,Down Air,11,42,9,10.0/5.0,-5/-6,11—12/13—28,Autocancels on frame 1-13 and 39 onward,8/6,4/3,--,14,,
Isabelle,Ground Attacks,Neutral B (Pocket),8 (Start of projectile pocket),50,--,**,--,8—23,Invulnerable on frame 5-23. Pockets projectiles on frame 8-23.,**,**,--,27,,
Isabelle,Ground Attacks,"Pocket, Throw",9,30,--,**,**,,This is not the same throw as with a holdable item,**,**,--,--,,
Isabelle,Ground Attacks,Side B (Fishing Rod),21,--,--,**,**,"21—43 (Ground), 21—70+ (Air), 18 (Tether)",Frame 50 is the earliest you can reel in.,**,**,--,--,,
Isabelle,Ground Attacks,"Fishing Rod, Reel In",2,38,--,**,**,2—11,--,**,**,--,27,,
Isabelle,Ground Attacks,"Fishing Rod, Throw Forward",15,45,--,14.0—17.0,**,**,--,**,**,--,--,,
Isabelle,Ground Attacks,"Fishing Rod, Throw Back",13,35,--,11.0—14.0,**,**,--,**,**,--,--,,
Isabelle,Ground Attacks,"Fishing Rod, Throw Up",22,43,--,12.0—15.0,**,**,--,**,**,--,--,,
Isabelle,Ground Attacks,"Fishing Rod, Throw Down",18/22,39,--,9.5—15.0,**,**,--,**,**,--,--,,
Isabelle,Ground Attacks,Up B (Balloon Trip),**,--,20/30,**,**,**,"20 landing lag if you land inside the swing. 30 if you land from special fall. Has a ""fuel"" mechanic.",**,**,--,--,,
Isabelle,Ground Attacks,Down B (Lloid Trap),9/17/25/34/43/51,49/26,--,**,**,9/17/25/34/43/51,Proximity activation as early as 51. 49 total frames to plant. 26 total frames to manually activate. Several characters can safely run past this trap.,4/4/11,2/2/4,--,--,,
Isabelle,Ground Attacks,Grab,14,43,--,--,,14—16,--,,,,27,,
Isabelle,Ground Attacks,Dash Grab,15,46,--,--,,16—17,--,,,,29,,
Isabelle,Ground Attacks,Pivot Grab,17,44,--,--,,17—19,--,,,,25,,
Isabelle,Ground Attacks,Pummel,**,**,**,**,,,--,,,,,,
Isabelle,Ground Attacks,Forward Throw,15,45,--,**,,,--,,,,,,
Isabelle,Ground Attacks,Backward Throw,14,49,--,**,,,--,,,,,,
Isabelle,Ground Attacks,Up Throw,20,52,--,**,,,--,,,,,,
Isabelle,Ground Attacks,Down Throw,18,35,--,**,,,--,,,,,,
Isabelle,Ground Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17,,,,,,
Isabelle,Ground Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15.,,,,,,
Isabelle,Ground Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16.,,,,,,
Isabelle,Ground Attacks,Neutral Air Dodge,,58,10,,,,Intangible on frame 3-30.,,,,,,
Isabelle,Ground Attacks,"Air Dodge, Down",,80,11-19,,,,Intangible on frame 3-21.,,,,,,
Isabelle,Ground Attacks,"Air Dodge, Diagonally Down",,91,11-19,,,,Intangible on frame 3-21.,,,,,,
Isabelle,Ground Attacks,"Air Dodge, Left/Right",,97,11-19,,,,Intangible on frame 3-21.,,,,,,
Isabelle,Ground Attacks,"Air Dodge, Diagonally Up",,115,11-19,,,,Intangible on frame 3-21.,,,,,,
Isabelle,Ground Attacks,"Air Dodge, Up",,133,11-19,,,,Intangible on frame 3-21.,,,,,,
Isabelle,Ground Attacks,Stats,,,,,,,,,,,,,
Isabelle,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Isabelle,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Isabelle,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Isabelle,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Isabelle,Aerial Attacks,Neutral Air,5/8,33,6,10.0/6.0,-2/-3,5—7/8—25,Autocancels on frame 1-2 and 34 onward,8/6,4/3,--,8,,
Isabelle,Aerial Attacks,Forward Air,10,39,14,7.0/4.0/2.5,-6 — +4,10—12(13—18/19—23),Projectile attack. Autocancels on frame 1-2 and 30 onward,7/5/5,3/2/2,--,16,,
Isabelle,Aerial Attacks,Back Air,13,35,14,9.0/5.0/3.0,-4 — +5,13—15(16—21/22—26),Projectile attack. Autocancels on frame 1-2 and 30 onward,7/6/5,4/3/2,--,9,,
Isabelle,Aerial Attacks,Up Air,6,42,9,10.0/5.0,-5/-6,6—7/8—31,Autocancels on frame 1-5 and 39 onward,8/6,4/3,--,11,,
Isabelle,Aerial Attacks,Down Air,11,42,9,10.0/5.0,-5/-6,11—12/13—28,Autocancels on frame 1-13 and 39 onward,8/6,4/3,--,14,,
Isabelle,Aerial Attacks,Neutral B (Pocket),8 (Start of projectile pocket),50,--,**,--,8—23,Invulnerable on frame 5-23. Pockets projectiles on frame 8-23.,**,**,--,27,,
Isabelle,Aerial Attacks,"Pocket, Throw",9,30,--,**,**,,This is not the same throw as with a holdable item,**,**,--,--,,
Isabelle,Aerial Attacks,Side B (Fishing Rod),21,--,--,**,**,"21—43 (Ground), 21—70+ (Air), 18 (Tether)",Frame 50 is the earliest you can reel in.,**,**,--,--,,
Isabelle,Aerial Attacks,"Fishing Rod, Reel In",2,38,--,**,**,2—11,--,**,**,--,27,,
Isabelle,Aerial Attacks,"Fishing Rod, Throw Forward",15,45,--,14.0—17.0,**,**,--,**,**,--,--,,
Isabelle,Aerial Attacks,"Fishing Rod, Throw Back",13,35,--,11.0—14.0,**,**,--,**,**,--,--,,
Isabelle,Aerial Attacks,"Fishing Rod, Throw Up",22,43,--,12.0—15.0,**,**,--,**,**,--,--,,
