character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Joker,Ground Attacks,Jab 1,4,23,--,2.0(2.7),-16,4—5(4—5),Transitions to jab 2 on frame 7,7/7,3/3,--,18,,
Joker,Ground Attacks,Jab 2,3,23,--,1.5(2.2),-17,3—4(3—4),Transitions to jab 3 on frame 11,7/7,3/3,--,19,,
Joker,Ground Attacks,Jab 3,3,34,--,4.0(7.1),-26,3—4(3—4),--,9/10,5/5,--,30,,
Joker,Ground Attacks,Forward Tilt,8/13,34,--,3.0/5.0(3.0/10.0),**/-15(**/-11),8—9/13—15(8—9/13—19),Down-angled Forward Tilt does the most knockback of the three angles.,5/6 // 5/10,4/6 // 4/10,--,15,,
Joker,Ground Attacks,Up Tilt,8/11/14/17/20,40,--,4.0/1.0/1.0 (4.0/1.7/3.9),-27,8/9(11—19) [Final Hit: 20—23(20—23)],Rehit rate: 3,5/4/4 // 5/4/9,5/2/2 // 5/*/5,First/Multi/Final,--,,
Joker,Ground Attacks,Down Tilt,8,37,--,6.0(13.0),-22(-19),8—9/10—11/12—14(8—9/10—11/12—14),--,6/10,6/10,--,23,,
Joker,Ground Attacks,Dash Attack,6/15,45,--,2.0/6.0 (2.0/12.0),**/-23,6—7/15—21(--/15—21),--,4/6 // 4/10,3/6 // 3/7,--,24,,
Joker,Ground Attacks,Forward Smash,16,47,--,14.0(22.0),-21,16—18(16—19),Charge hold is frame 5,10/11,10/12,--,28,,
Joker,Ground Attacks,Up Smash,10,51,--,12.0(17.0),-32(-30),10—14(10—14),Charge hold is frame 4,9/12,8/10,--,37,,
Joker,Ground Attacks,Down Smash,12/16,51,--,12.0(18.0),-24/-20(--/-18),12—13/16—17(12—13/16—17),Charge hold is frame 5,9/11,8/9,--,34,,
Joker,Ground Attacks,Neutral Air,12,54,8,7.0/—(7.0/4.0),-5,12—27(12—27),Arsene version has a separate hit covering Joker's back. Autocancels on frame 1-4 and 48 onward,7 // 7/5,3 // 3/3,front/back,27,,
