character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Kazuya,Jab Attacks,Jab 1,6,22,--,3.0,-11,6—7,Transitions to Jab 2 as early as frame 9 if it doesn't connect,5,5,--,15,,
Kazuya,Jab Attacks,Jab 2,7,26,--,3.0,-15,7—8,Transitions to Jab 3 as early as frame 9 if it doesn't connect,5,4,**,18,,
Kazuya,Jab Attacks,Jab 3,7,30,--,2.0,-20,7,Transitions to jab 4 as early as frame 8 if it doesn't connect,4,3,--,23,,
Kazuya,Jab Attacks,Jab 4,10,39,--,3.0,-25,11—12,Transitions to Jab 5 as early as frame 12 if it doesn't connect,5,4,--,27,,
Kazuya,Jab Attacks,Jab 5,12,39,--,3.0,-23,12,Transitions to Jab 6 as early as frame 14 if it doesn't connect,5,4,--,27,,
Kazuya,Jab Attacks,Jab 6,23,52,--,4.0,-24,24—25,Transitions to Jab 7 as early as frame 24 if it doesn't connect,5,5,--,27,,
Kazuya,Jab Attacks,Jab 7,15,42,--,1.5,-24,14,Transitions to Jab 8 as early as frame 16 if it doesn't connect,4,3,--,28,,
Kazuya,Jab Attacks,Jab 8,18,46,--,1.5,-25,18,Transitions to Jab 9 as early as frame 18 if it doesn't connect,4,3,--,28,,
Kazuya,Jab Attacks,Jab 9,16,48,--,5.0,-26,16,Transitions to Jab 10 as early as frame 17 if it doesn't connect,6,6,--,32,,
Kazuya,Jab Attacks,Jab 10,29,70,--,12.0,Unblockable,29,Unblockable,Unblockable,Unblockable,--,41,,
Kazuya,Jab Attacks,Flash Punch Combo (Final Hit),7,36,--,9.0,-20,7—10,First two hits are Jab 1 and Jab 2. Inputting the third A press on frame 10 of Jab 2 is the earliest possible that you get this. Windbox active on frames 2-6.,7,9,--,26,,
Kazuya,Jab Attacks,Forward Tilt (Oni Front Kick),12,40,--,14.5,-17,12—16,Leg intangible on frame 12-16,10,11,--,24,,
Kazuya,Jab Attacks,Down-Forward Tilt (Tsunami Kick),10/26,36/54,--,7.0/10.5,-19/-14,10—11/14—16,"Second number is only if you press the button again. Leg intangible on frame 8-11 and 26-28 for the axe kick. Second kick's first active frame technically ignores shields, but hits aerial oppenents only (yes, this is weird).",7/8,7/14,--,20,,
Kazuya,Jab Attacks,Down Tilt (Neijiri Uraken),16,45,--,15.0,-15,16—18,Invulnerable on frame 13-15,10,14,--,27,,
Kazuya,Jab Attacks,Down-Back Tilt (Stature Smash),13,39,--,9.0,-12,13—15,Leg intangible on frame 13-15,7,14,--,24,,
Kazuya,Jab Attacks,Back Tilt (Flash Tornado),11,34,--,15.0,-9,11—13,Upper body and leg intangibility on frame 7-13,10,14,--,21,,
Kazuya,Jab Attacks,Up-Back Tilt (Jump Side Kick),14,39,--,13.5,-13,14—17,"Front leg intangible on frames 7-17, back leg on frames 7-21.Can autocancel on frame 24 to make the move +2 on shield on backward slants.",9,12,--,22,,
Kazuya,Jab Attacks,Up Tilt (Twin Pistons),9/24,29/52,--,6.0/10.0,-14/-18,9—10/14—16,"Second number is only if you press the button again. Upper body intangible on frame 4-10, or 4-24 if you input the second hit and arm intangibility lasts until 26.",6/8,6/10,--,13,,
Kazuya,Jab Attacks,Up-Forward Tilt (Roundhouse to Triple Spin Kicks...),14/30/49/67,42/64/81/100,--,6.0/3.0/10.5,-22/-28/-26/-23,14—16/11—12/16—17/14—16,Legs intangible on frame 4-16,6/5/8,6/6/10,first/multi/final,25,,
Kazuya,Jab Attacks,Demon's Wrath (Side Taunt),18/31/47/62,89,--,6.0/3.0/6.0,-21,7—10,--,6/5/6,6/4/6,first/multi/final,79,,
