character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Ken,Ground Attacks,Jab 1 (Light),2,15,--,1.5,-10,2—3,Special Cancellable,9,3,--,12,,
Ken,Ground Attacks,Jab 2,3,27,--,1.5,-21,3—4,Special Cancellable,9,3,--,23,,
Ken,Ground Attacks,Jab 3,8,35,--,5.0,-21,8—10,--,9,3,--,25,,
Ken,Ground Attacks,"Jab (Heavy, Close)",7,37,--,12.0/8.0,-19,7(8—11),"Head, chest and arms invincible: frames 4-10. Special Cancellable.",**,**,--,26,,
Ken,Ground Attacks,"Jab (Heavy, Far)",9/16,32,--,6.0/10.0,-10/-6,9—12/16—17,--,7/12,6/10,--,15,,
Ken,Ground Attacks,"Forward Tilt (Light, Close)",3,29,--,6.0,-20,3—4,Special Cancellable,9,6,--,25,,
Ken,Ground Attacks,"Forward Tilt (Light, Far)",8,23,--,6.8,-8,8—11,Leg intangibility on frame 6-11,10,7,--,12,,
Ken,Ground Attacks,Forward Tilt (Heavy),10,34,--,5.0/10.0,-18/-14,10—13,--,9/12,6/10,close/far,21,,
Ken,Ground Attacks,Up Tilt (Light),3,14,--,2.0,-8,3—6,Special Cancellable,7,3,--,8,,
Ken,Ground Attacks,Up Tilt (Heavy),7,37,--,12.0,-19,7(8—11),Special Cancellable. Upper body intangibility on frame 4-10.,13,11,--,26,,
Ken,Ground Attacks,Down Tilt (Light),2,14,--,1.6,-9,2—3,Special Cancellable,8,3,--,11,,
Ken,Ground Attacks,Down Tilt (Heavy),6,27,--,7.0/5.5,-15,6—7,Special Cancellable,9,6,Sweet/Sour,20,,
Ken,Ground Attacks,Dash Attack,7,40,--,12.0/8.0,-22,7—9(10—15),--,13/11,11/8,Early/Late,25,,
Ken,Ground Attacks,Forward Smash,13,45,--,12.0/16.0,-24/-21,13—15,Charge hold is frame 5,9/16,8/11,Close/Far,30,,
Ken,Ground Attacks,Up Smash,9,44,--,17.0/13.5,-24,9(10—12),Arm intangibility on frame 9-12. Charge hold is frame 6,17/14,11/9,Early/Late,32,,
Ken,Ground Attacks,Down Smash,5,41,--,16.0/12.0,-25,5—6,Special Cancellable. Charge hold is frame 2.,16(13),11(8),Sweet/Sour,35,,
Ken,Ground Attacks,Neutral Air,6,27,5,6.5/4.0,"-2/-2, -1/-2",6—8(9—17),Special Cancellable. Autocancels on frame 28 onward,"10/8, 11/10","3/3, 4/3","Early/Late Foot, Early/Late Knee",10,,
Ken,Ground Attacks,Forward Air,8,36,11,"9.0/14.0, 8.0/12.0","-7/-6, -7/-6",8—9(10—14),Special Cancellable. Autocancels on frame 1-2 and 38 onward,"15/11, 13/11","5/4, 5/4","Early foot/knee, Late foot/knee",22,,
Ken,Ground Attacks,Back Air,8,41,10,16.0/13.0,-4/-5,8—9,Special Cancellable. Autocancels on frame 25 onward,16/14,6/5,Close/Far,32,,
Ken,Ground Attacks,Up Air,5,35,11,6.5,-8,5—9,Special Cancellable. Autocancels on frame 19 onward,10,3,--,26,,
Ken,Ground Attacks,Down Air,8,45,15,12.0,-10,8—12,Special Cancellable. Autocancels on frame 1-2 and 33 onward,13,5,--,33,,
Ken,Ground Attacks,Neutral B (Hadouken),13,57,--,Light: 4.5 // Medium: 5.0 // Heavy: 5.5,-35/-34,13—19(20—87) / 13—18(19—79) / 13—17(18—72),--,"8—8, 9—9","3—3, 3—3","Normal, True",--,,
Ken,Ground Attacks,Side B (Tatsumaki Senpukyaku),8/13—38,32/62/62,--,"3.0/3.0, 3.4/3.4",-25 to -30,8—9(13—14/18—19/23—24/28—29/33—34/38—39),"Wind-up active 8-9, standard hitbox begins on frame 13. Hits on alternating sides of him every five frames from 13 up to 38. Leg intangibility added in 7.0.0.","7/5, 8/5","4/4, 4/4","normal early/late, true early/late",--,,
Ken,Ground Attacks,"Side B, Air (Tatsumaki Senpukyaku, Air)",8/13/18/23/28/33/38,77,--,"3.0/2.0, 3.4/2.3",-36,8—9(13—14/18—19/23—24/28—29/33—34/38—39),Leg intangibility on frames 13-42,"7/4, 8/5","4/3, 4/3","normal early/late, true early/late",38,,
Ken,Ground Attacks,Up B (Shoryuken),6,--,12,13.0/7.0,**,6—8(9—19),Invulnerable on frame 5,14/8,12/7,Early/Late,--,,
Ken,Ground Attacks,True Shoryuken,6,--,8,15.6/8.4,**,6—8(9—19),Invulnerable on frame 4-6. Arm intangible on frame 1-14,16/9,14/8,Early/Late,--,,
Ken,Ground Attacks,Up B (Flame Shoryuken),5/6/9,--,18,2.2/8.0/6.5,**,5/6—8/9—19,Invulnerable on frame 5,10/9/9,-/8/7,--,--,,
Ken,Ground Attacks,True Flame Shoryuken,5/6/9,--,12,2.6/9.6/7.8,**,5/6—8/9—19,Invulnerable on frame 4-6. Arm intangible on frame 1-14,10/10/10,-/9/8,--,--,,
Ken,Ground Attacks,Down B (Focus Attack),"12 (+21), 12(+31), 12(+59)",55,--,"12.0, 10.0, 17.0","-32, -33, unblockable",32—33/42—43/70—71,"Stage 1: Can dash from frame 26 of entering charge or immediately after a successful hitStage 2: Focus armor begins on frame 1 and lasts until the 12 frames of the kickStage 3: This stage is unblockableDamage-bsed armor notes: Armor starts at 16.8% and ends at 33.6% in Stage 3, going up 0.289% per frame held.","17, 19, unblockable","11, 10, unblockable","Stage 1, Stage 2, Stage 3",--,,
Ken,Ground Attacks,"Focus Attack, Dash Cancel",--,19/19,--,--,-8/-9,**,"First advantage is on stage 1 hit, second advantage is on stage 2 hit",--,--,--,--,,
Ken,Ground Attacks,Nata Otoshi Geri (Input Command),12/15,28,--,5.0/5.0,-7,12/15—16,"Input: Forward, Down-Forward, Down+A.",9/9,6/6,first/second,12,,
Ken,Ground Attacks,HELD Nata Otoshi Geri,12/20,51,--,5.0/12.0,-17,12/20—22,"Input: Forward, Down-Forward, Down+A (then HOLD A)",9/6,9/6,first/inazuma kick,29,,
Ken,Ground Attacks,Oosoto Mawashi Geri (Input Command),9,32,--,12.0,-12,9—10,"Input: Back, Down-back, Down, Down-forward, Forward+A. Leg intangible on frame 9-10. Holding A causes second kick. hitting on 17 instead and is 48 total frames",13,11,normal/inazuma,22,,
Ken,Ground Attacks,HELD Oosoto Mawashi Geri,9/17,48,--,12.0/12.0,-17,9—10/17—19,"Input: Back, Down-back, Down, Down-forward, Forward+A (then HOLD A). Leg intangible on frame 9-10.",13/14,11/14,normal/inazuma,29,,
Ken,Ground Attacks,Grab,6,34,--,--,,6—7,--,,,,27,,
Ken,Ground Attacks,Dash Grab,9,42,--,--,,9—10,--,,,,32,,
Ken,Ground Attacks,Pivot Grab,10,37,--,--,,10—11,--,,,,26,,
Ken,Ground Attacks,Pummel,1,16,--,1.3,,,Total frames includes 10 frames of hitlag,,,,,,
Ken,Ground Attacks,Forward Throw,16,41,--,**,,,--,,,,,,
Ken,Ground Attacks,Backward Throw,41,69,--,**,,,--,,,,,,
Ken,Ground Attacks,Up Throw,18/27,46,--,**,,,Kicks on frame 27. Leg intangible 27—32.,,,,,,
Ken,Ground Attacks,Down Throw,18/19,44,--,**,,,--,,,,,,
Ken,Ground Attacks,Spot Dodge,,21/26,--,,,,Intangible on frame 3-17,,,,,,
Ken,Ground Attacks,Forward Roll,,30,--,,,,Intangible on frame 4-15.,,,,,,
Ken,Ground Attacks,Backward Roll,,35,--,,,,Intangible on frame 5-16.,,,,,,
Ken,Ground Attacks,Neutral Air Dodge,,49,10,,,,Intangible on frame 3-27.,,,,,,
Ken,Ground Attacks,"Air Dodge, Down",,67,11-19,,,,Intangible on frame 3-21.,,,,,,
Ken,Ground Attacks,"Air Dodge, Diagonally Down",,73,11-19,,,,Intangible on frame 3-21.,,,,,,
Ken,Ground Attacks,"Air Dodge, Left/Right",,80,11-19,,,,Intangible on frame 3-21.,,,,,,
Ken,Ground Attacks,"Air Dodge, Diagonally Up",,89,11-19,,,,Intangible on frame 3-21.,,,,,,
Ken,Ground Attacks,"Air Dodge, Up",,102,11-19,,,,Intangible on frame 3-21.,,,,,,
Ken,Ground Attacks,Stats,,,,,,,,,,,,,
Ken,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Ken,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Ken,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Ken,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Ken,Aerial Attacks,Neutral Air,6,27,5,6.5/4.0,"-2/-2, -1/-2",6—8(9—17),Special Cancellable. Autocancels on frame 28 onward,"10/8, 11/10","3/3, 4/3","Early/Late Foot, Early/Late Knee",10,,
Ken,Aerial Attacks,Forward Air,8,36,11,"9.0/14.0, 8.0/12.0","-7/-6, -7/-6",8—9(10—14),Special Cancellable. Autocancels on frame 1-2 and 38 onward,"15/11, 13/11","5/4, 5/4","Early foot/knee, Late foot/knee",22,,
Ken,Aerial Attacks,Back Air,8,41,10,16.0/13.0,-4/-5,8—9,Special Cancellable. Autocancels on frame 25 onward,16/14,6/5,Close/Far,32,,
Ken,Aerial Attacks,Up Air,5,35,11,6.5,-8,5—9,Special Cancellable. Autocancels on frame 19 onward,10,3,--,26,,
Ken,Aerial Attacks,Down Air,8,45,15,12.0,-10,8—12,Special Cancellable. Autocancels on frame 1-2 and 33 onward,13,5,--,33,,
Ken,Aerial Attacks,Neutral B (Hadouken),13,57,--,Light: 4.5 // Medium: 5.0 // Heavy: 5.5,-35/-34,13—19(20—87) / 13—18(19—79) / 13—17(18—72),--,"8—8, 9—9","3—3, 3—3","Normal, True",--,,
Ken,Aerial Attacks,Side B (Tatsumaki Senpukyaku),8/13—38,32/62/62,--,"3.0/3.0, 3.4/3.4",-25 to -30,8—9(13—14/18—19/23—24/28—29/33—34/38—39),"Wind-up active 8-9, standard hitbox begins on frame 13. Hits on alternating sides of him every five frames from 13 up to 38. Leg intangibility added in 7.0.0.","7/5, 8/5","4/4, 4/4","normal early/late, true early/late",--,,
Ken,Aerial Attacks,"Side B, Air (Tatsumaki Senpukyaku, Air)",8/13/18/23/28/33/38,77,--,"3.0/2.0, 3.4/2.3",-36,8—9(13—14/18—19/23—24/28—29/33—34/38—39),Leg intangibility on frames 13-42,"7/4, 8/5","4/3, 4/3","normal early/late, true early/late",38,,
Ken,Aerial Attacks,Up B (Shoryuken),6,--,12,13.0/7.0,**,6—8(9—19),Invulnerable on frame 5,14/8,12/7,Early/Late,--,,
Ken,Aerial Attacks,True Shoryuken,6,--,8,15.6/8.4,**,6—8(9—19),Invulnerable on frame 4-6. Arm intangible on frame 1-14,16/9,14/8,Early/Late,--,,
Ken,Aerial Attacks,Up B (Flame Shoryuken),5/6/9,--,18,2.2/8.0/6.5,**,5/6—8/9—19,Invulnerable on frame 5,10/9/9,-/8/7,--,--,,
Ken,Aerial Attacks,True Flame Shoryuken,5/6/9,--,12,2.6/9.6/7.8,**,5/6—8/9—19,Invulnerable on frame 4-6. Arm intangible on frame 1-14,10/10/10,-/9/8,--,--,,
