character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
King_dedede,Ground Attacks,Jab 1,10,32,--,2.5,-18,10—11,Transitions to Jab 2 as early as frame 13,7,4,--,21,,
King_dedede,Ground Attacks,Jab 2,11,27,--,2.2,-13,11—12,Transitions to Rapid jab as early as frame 22,7,3,--,15,,
King_dedede,Ground Attacks,Rapid Jab,5/8/11...,--,--,0.5,--,34—**,--,4,3,--,--,,
King_dedede,Ground Attacks,Rapid Jab Finisher,4,49,--,3.0,-41,**,--,10,4,--,--,,
King_dedede,Ground Attacks,Forward Tilt,12/16/20/23,48,--,2.0/3.0,-21,12—21/23,--,4/10,3/4,Multi/Final,25,,
King_dedede,Ground Attacks,Up Tilt,7,38,--,10.0/8.0,-21/-23,7—13,Head intangible on frame 7-13.,8/7,10/8,Close/Far,25,,
King_dedede,Ground Attacks,Down Tilt,6,37,--,10.0/6.0,-21,6—7(8—11),Clanks with projectiles doing less than 26.8% damage.,8/6,10/6,Early/Late,26,,
King_dedede,Ground Attacks,Dash Attack,26,66,--,16.0/13.0,-26,26—27(28—41),--,13/9,14/12,Early/Late,25,,
King_dedede,Ground Attacks,Forward Smash,40,77,--,16.0/18.5/25.0/11.0,?/-/-18/-25,40—41(42—43/44),"This attack hits directly above Dedede only on frame 40. Hammer comes down on 43. Shockwave on 44. Charge hold is frame 33. Multiple hitboxes: an aerial only hitbox that does 0%, sweetspot near tip of hammer, weak hit near Dedede.",?/12/14/8,?/-/16/8,Early/close/far/Shockwave,33,,
King_dedede,Ground Attacks,Up Smash,17,67,--,16.0,-39,17—24,Charge hold is frame 6,10,11,--,43,,
King_dedede,Ground Attacks,Down Smash,14,52,--,13.0,-31/-23,14—22,Charge hold is frame 3,9,9,--,30,,
King_dedede,Ground Attacks,Neutral Air,7,39,9,12.0/7.0,-4/-6,7—8(9—29),Autocancels on frame 1-2 and 35 onward,9/7,5/3,Early/Late,10,,
King_dedede,Ground Attacks,Forward Air,13,41,18,12.0,-13,13—15,Autocancels on frame 1-4 and 40 onward,9,5,--,26,,
King_dedede,Ground Attacks,Back Air,17,37,13,16.0,-7,17—19,Autocancels on frame 1-4 and 33 onward,13,6,--,18,,
King_dedede,Ground Attacks,Up Air,10/12/14/16/18/20/22/24,44,13,1.0/5.0,-10,10/12/14/16/18/20/22/24—25,Autocancels on frame 1-4 and 42 onward,4/12,-/3,Multi/Final,19,,
King_dedede,Ground Attacks,Down Air,22,47,18,15.0/8.0,-13/-14,22—23,Autocancels on frame 1-6 and 44 onward,15/7,5/4,Meteor/Late,24,,
King_dedede,Ground Attacks,Neutral B (Inhale),14,74,--,--,--,17—**,"Startup and total frames refer to minimum usage. 19 endlag after extended usage. Can inhale projectiles starting on frame 14 and involuntarily spit them back.Gains invulnerability for 14 frames after the 4th frame of inhaling a character/item out. For example, if a character gets grabbed as soon as inhale comes out, (f14) the i-frames would be 18-32. Invulnerability informationfrom @Landslide___ on Twitter.",--,--,--,--,,
King_dedede,Ground Attacks,"Inhale, Spit",6,29,--,--,--,**,--,--,--,--,--,,
King_dedede,Ground Attacks,Side B (Gordo Throw),29,58,--,10.0/9.5—14.0,-21/-11/-17,29(5—146),--,8/12—15/15,10/4—5/14,Hammer/gordo/both,--,,
King_dedede,Ground Attacks,Up B (Super Dedede Jump),69,--,60/30,15.0/12.0/5.0,-46,69/4—5/6—20,Cancelling incurs 30 frames landing lag. Invulnerable on frame 18-21. Super Armor (infinite %) on frames 22-34 and then 69-76. Leg intangibility frame 69-landing. Landing hitbox on frame 3—4. Stars on frame 5—24. Hitbox 69—landing.,10/9/6,14/-/3,Falling/landing/stars,--,,
King_dedede,Ground Attacks,"Down B (Jet Hammer, Partial Charge)",10(+17),59,--,11.0—29.8,-39 to -24,27—29,10 startup from release. 17 to enter charge state. 136 frames to reach full charge. Heavy armor (14%) on frame 1-14 from release but only on ground version.,8—15,10—25,--,30,,
King_dedede,Ground Attacks,"Down B, Full Charge (Jet Hammer, Full Charge)",10,69,--,40.0,-26,10—11,Heavy armor on frame 1-14 from release but only on ground version.,16,34,--,58,,
King_dedede,Ground Attacks,Grab,8,39,--,--,,8—10,--,,,,29,,
King_dedede,Ground Attacks,Dash Grab,11,47,--,--,,11—13,--,,,,34,,
King_dedede,Ground Attacks,Pivot Grab,12,42,--,--,,12—14,--,,,,28,,
King_dedede,Ground Attacks,Pummel,2,21,--,1.6,,,Total frames includes 14 frames of hitlag,,,,,,
King_dedede,Ground Attacks,Forward Throw,14,37,--,4.0/6.0,,,"Hit is 12/13, throw is 14",,,,,,
