character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Link,Ground Attacks,Jab 1,7,23,--,3.0,-12,7—8,Transitions to Jab 2 as early as frame 12,8,4,--,15,,
Link,Ground Attacks,Jab 2,5,25,--,3.0,-16,5—6,Transitions to Jab 3 as early as frame 8.,6,4,--,19,,
Link,Ground Attacks,Jab 3,6,34,--,4.0,-23,6—7,--,11,5,--,27,,
Link,Ground Attacks,Forward Tilt,15,39,--,13.0,-12,15(16—19),Hits targets above him on frame 15,9,12,--,20,,
Link,Ground Attacks,Up Tilt,8,35,--,11.0,-16,8—12,--,9,11,--,23,,
Link,Ground Attacks,Down Tilt,10,30,--,9.0,-11,10—11,--,7,9,--,19,,
Link,Ground Attacks,Dash Attack,20,56,--,14.0/13.0/12.0,-19,20—23,--,9,17,Tip/Middle/Hilt,33,,
Link,Ground Attacks,Forward Smash 1,17,50,--,7.0/14.0,-27/-23/**,17—18,Transitions to second swing as early as frame 22. Sword Sword Beam is active 17-48 when at minimum charge and 17-56 when at maximum charge (only when Link is at 0%). Beam does 5.0%. Charge hold frame is 9.,7/10/6,6/10/4,Blade or Hilt/Tip,32,,
Link,Ground Attacks,Forward Smash 2,10,60,--,13.0/12.0,-41,10—11,--,14,9,Far/Close,49,,
Link,Ground Attacks,Up Smash,10/25/41,77,--,4.0%/3.0%/(11.0%/10.0%/9.0%),-28,10—13(14—15) / 25—28(29—30) / 41—45,Charge hold frame is 5.,5/5/8,4/3/8,(Hit 1/Hit 2/Hit 3(Sword/Arm/Body)),32,,
Link,Ground Attacks,Down Smash,12/24,56,--,(16.0%/17.0%/14.0%)/(12.0%/11.0%/10.0%),(-31/-32/??)/(-23/-23/??),12—13/24—25,Charge hold frame is 4,(11/11/??)/(10/9/??),(11/12/??)/(9/9/??),(Front hit (Middle/Tip/Body)/Back hit (Sword/Arm/Body)),31,,
Link,Ground Attacks,Neutral Air,7,38,6,(11.0/9.0)/6.0,-1/-3,7—8(9—31),Autocancels on frame 1-3 and 36 onward,9/6,5/3,(Clean (Foot/Legs)/Late),7,,
Link,Ground Attacks,Forward Air,16/24,51,11,8.0/10.0,-7/-7,16—17/24—25,Autocancels on frame 53 onward,7/10,4/4,--,26,,
Link,Ground Attacks,Back Air,6/15,30,6,5.0/7.0,-3/-3,6—8/15—17,Autocancels on frame 29 onward,6/7,3/3,First/Second,13,,
Link,Ground Attacks,Up Air,11,59,14,15.0/13.0,-8/-9,11—13(14—40),Autocancels on frame 1-10 and 43 onward,13/11,6/5,Early/Late,19,,
Link,Ground Attacks,Down Air,14,79,19,18.0/15.0,Bounce: ** | Fast Fall: -13/-13,14—19(20—64),Autocancels on frame 1-9 and 65 onward. Can hit same target once again after 30 frames due to pogo effect.,14/13,6/6,Early/Late,15,,
Link,Ground Attacks,Neutral B (Hero's Bow),16-52,44-80,--,4.0—12.0,-21 to -15,16—61,"Reaches full charge on frame 52. Arrows travel for 46 frames after being fired. Arrows will stick into the ground for 3 seconds and can be picked up to either item-throw or fire two arrows. When firing two arrows at once, the second one generates three frames after the first.",5—9,2—4,Uncharged—Full Charge,--,,
Link,Ground Attacks,Side B (Boomerang),27,45,--,8.0/9.6,-7/-9,27—35(36—63/64—155),9 frame animation of catching boomerang if no other action is being performed.,9/8,5/4,Clean/Late/Returning,--,,
Link,Ground Attacks,Up B (Spin Attack),7,76,--,(14.0%/11.2%)/(12.0%/9.6%)/(9.0%/7.2%)/(7.0%/5.6%),-56,7—8(9—13/14—23/24—39),Can charge attack for an additional 60 frames. Startup is 4 from charge state. 7f startup is only the front hit. Damage drops from 14% down to 7% gradually as active frames progress.,14,13,(Clean/Mid/Late/Latest with all of them split Blade/Tip),37,,
Link,Ground Attacks,"Up B, Air (Spin Attack, Air)",8/16/22/31/47,--,30,4.0/2.0/4.0,--,8—9/12—13/16—17/19—20/22—23/26—27/31—32/38—39/47—49,--,5/4/11,5/3/5,First/multi/Final,--,,
Link,Ground Attacks,"Down B (Remote Bomb, Pull)",--,39,--,--,--,--,--,--,--,--,--,,
Link,Ground Attacks,"Down B (Remote Bomb, Detonate)",12,39,--,7.0,-19,12—13,Can self-damage,7,3,--,26,,
Link,Ground Attacks,Grab,6,34,--,--,,6—7,--,,,,27,,
Link,Ground Attacks,Dash Grab,9,42,--,--,,9—10,--,,,,32,,
Link,Ground Attacks,Pivot Grab,10,37,--,--,,10—11,--,,,,26,,
Link,Ground Attacks,Pummel,1,18,--,1.3,,,Total frames includes 13 frames of hitlag,,,,,,
Link,Ground Attacks,Forward Throw,12/13,37,--,3.0/2.5,,,--,,,,,,
Link,Ground Attacks,Backward Throw,12/14,38,--,3.0/2.5,,,--,,,,,,
Link,Ground Attacks,Up Throw,26/28,49,--,5.0/2.0,,,--,,,,,,
Link,Ground Attacks,Down Throw,22/24,48,--,3.0/3.0,,,--,,,,,,
Link,Ground Attacks,Spot Dodge,,21/26,--,,,,Intangible on frame 3-17,,,,,,
Link,Ground Attacks,Forward Roll,,30,--,,,,Intangible on frame 4-15,,,,,,
Link,Ground Attacks,Backward Roll,,35,--,,,,Intangible on frame 5-16,,,,,,
Link,Ground Attacks,Neutral Air Dodge,,49,10,,,,Intangible on frame 3-30,,,,,,
Link,Ground Attacks,"Air Dodge, Down",,69,11-19,,,,Intangible on frame 3-21,,,,,,
Link,Ground Attacks,"Air Dodge, Diagonally Down",,74,11-19,,,,Intangible on frame 3-21,,,,,,
Link,Ground Attacks,"Air Dodge, Left/Right",,82,11-19,,,,Intangible on frame 3-21,,,,,,
Link,Ground Attacks,"Air Dodge, Diagonally Up",,95,11-19,,,,Intangible on frame 3-21,,,,,,
Link,Ground Attacks,"Air Dodge, Up",,108,11-19,,,,Intangible on frame 3-21,,,,,,
Link,Ground Attacks,Stats,,,,,,,,,,,,,
Link,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Link,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Link,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Link,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Link,Aerial Attacks,Neutral Air,7,38,6,(11.0/9.0)/6.0,-1/-3,7—8(9—31),Autocancels on frame 1-3 and 36 onward,9/6,5/3,(Clean (Foot/Legs)/Late),7,,
Link,Aerial Attacks,Forward Air,16/24,51,11,8.0/10.0,-7/-7,16—17/24—25,Autocancels on frame 53 onward,7/10,4/4,--,26,,
Link,Aerial Attacks,Back Air,6/15,30,6,5.0/7.0,-3/-3,6—8/15—17,Autocancels on frame 29 onward,6/7,3/3,First/Second,13,,
Link,Aerial Attacks,Up Air,11,59,14,15.0/13.0,-8/-9,11—13(14—40),Autocancels on frame 1-10 and 43 onward,13/11,6/5,Early/Late,19,,
Link,Aerial Attacks,Down Air,14,79,19,18.0/15.0,Bounce: ** | Fast Fall: -13/-13,14—19(20—64),Autocancels on frame 1-9 and 65 onward. Can hit same target once again after 30 frames due to pogo effect.,14/13,6/6,Early/Late,15,,
Link,Aerial Attacks,Neutral B (Hero's Bow),16-52,44-80,--,4.0—12.0,-21 to -15,16—61,"Reaches full charge on frame 52. Arrows travel for 46 frames after being fired. Arrows will stick into the ground for 3 seconds and can be picked up to either item-throw or fire two arrows. When firing two arrows at once, the second one generates three frames after the first.",5—9,2—4,Uncharged—Full Charge,--,,
Link,Aerial Attacks,Side B (Boomerang),27,45,--,8.0/9.6,-7/-9,27—35(36—63/64—155),9 frame animation of catching boomerang if no other action is being performed.,9/8,5/4,Clean/Late/Returning,--,,
Link,Aerial Attacks,Up B (Spin Attack),7,76,--,(14.0%/11.2%)/(12.0%/9.6%)/(9.0%/7.2%)/(7.0%/5.6%),-56,7—8(9—13/14—23/24—39),Can charge attack for an additional 60 frames. Startup is 4 from charge state. 7f startup is only the front hit. Damage drops from 14% down to 7% gradually as active frames progress.,14,13,(Clean/Mid/Late/Latest with all of them split Blade/Tip),37,,
Link,Aerial Attacks,"Up B, Air (Spin Attack, Air)",8/16/22/31/47,--,30,4.0/2.0/4.0,--,8—9/12—13/16—17/19—20/22—23/26—27/31—32/38—39/47—49,--,5/4/11,5/3/5,First/multi/Final,--,,
Link,Aerial Attacks,"Down B (Remote Bomb, Pull)",--,39,--,--,--,--,--,--,--,--,--,,
Link,Aerial Attacks,"Down B (Remote Bomb, Detonate)",12,39,--,7.0,-19,12—13,Can self-damage,7,3,--,26,,
Link,Aerial Attacks,Grab,6,34,--,--,,6—7,--,,,,27,,
Link,Aerial Attacks,Dash Grab,9,42,--,--,,9—10,--,,,,32,,
Link,Aerial Attacks,Pivot Grab,10,37,--,--,,10—11,--,,,,26,,
Link,Aerial Attacks,Pummel,1,18,--,1.3,,,Total frames includes 13 frames of hitlag,,,,,,
Link,Aerial Attacks,Forward Throw,12/13,37,--,3.0/2.5,,,--,,,,,,
Link,Aerial Attacks,Backward Throw,12/14,38,--,3.0/2.5,,,--,,,,,,
Link,Aerial Attacks,Up Throw,26/28,49,--,5.0/2.0,,,--,,,,,,
Link,Aerial Attacks,Down Throw,22/24,48,--,3.0/3.0,,,--,,,,,,
Link,Aerial Attacks,Spot Dodge,,21/26,--,,,,Intangible on frame 3-17,,,,,,
Link,Aerial Attacks,Forward Roll,,30,--,,,,Intangible on frame 4-15,,,,,,
Link,Aerial Attacks,Backward Roll,,35,--,,,,Intangible on frame 5-16,,,,,,
Link,Aerial Attacks,Neutral Air Dodge,,49,10,,,,Intangible on frame 3-30,,,,,,
Link,Aerial Attacks,"Air Dodge, Down",,69,11-19,,,,Intangible on frame 3-21,,,,,,
Link,Aerial Attacks,"Air Dodge, Diagonally Down",,74,11-19,,,,Intangible on frame 3-21,,,,,,
Link,Aerial Attacks,"Air Dodge, Left/Right",,82,11-19,,,,Intangible on frame 3-21,,,,,,
Link,Aerial Attacks,"Air Dodge, Diagonally Up",,95,11-19,,,,Intangible on frame 3-21,,,,,,
Link,Aerial Attacks,"Air Dodge, Up",,108,11-19,,,,Intangible on frame 3-21,,,,,,
Link,Aerial Attacks,Stats,,,,,,,,,,,,,
Link,Aerial Attacks,Ledge Grab,,,,,,,,,,,,,
Link,Aerial Attacks,Ledge Hang,,,,,,,,,,,,,
Link,Aerial Attacks,Ledge Roll,,,,,,,,,,,,,
Link,Aerial Attacks,Getup Attacks,,,,,,,,,,,,,
Link,Special Attacks,Neutral B (Hero's Bow),16-52,44-80,--,4.0—12.0,-21 to -15,16—61,"Reaches full charge on frame 52. Arrows travel for 46 frames after being fired. Arrows will stick into the ground for 3 seconds and can be picked up to either item-throw or fire two arrows. When firing two arrows at once, the second one generates three frames after the first.",5—9,2—4,Uncharged—Full Charge,--,,
Link,Special Attacks,Side B (Boomerang),27,45,--,8.0/9.6,-7/-9,27—35(36—63/64—155),9 frame animation of catching boomerang if no other action is being performed.,9/8,5/4,Clean/Late/Returning,--,,
Link,Special Attacks,Up B (Spin Attack),7,76,--,(14.0%/11.2%)/(12.0%/9.6%)/(9.0%/7.2%)/(7.0%/5.6%),-56,7—8(9—13/14—23/24—39),Can charge attack for an additional 60 frames. Startup is 4 from charge state. 7f startup is only the front hit. Damage drops from 14% down to 7% gradually as active frames progress.,14,13,(Clean/Mid/Late/Latest with all of them split Blade/Tip),37,,
Link,Special Attacks,"Up B, Air (Spin Attack, Air)",8/16/22/31/47,--,30,4.0/2.0/4.0,--,8—9/12—13/16—17/19—20/22—23/26—27/31—32/38—39/47—49,--,5/4/11,5/3/5,First/multi/Final,--,,
Link,Special Attacks,"Down B (Remote Bomb, Pull)",--,39,--,--,--,--,--,--,--,--,--,,
Link,Special Attacks,"Down B (Remote Bomb, Detonate)",12,39,--,7.0,-19,12—13,Can self-damage,7,3,--,26,,
Link,Special Attacks,Grab,6,34,--,--,,6—7,--,,,,27,,
Link,Special Attacks,Dash Grab,9,42,--,--,,9—10,--,,,,32,,
Link,Special Attacks,Pivot Grab,10,37,--,--,,10—11,--,,,,26,,
Link,Special Attacks,Pummel,1,18,--,1.3,,,Total frames includes 13 frames of hitlag,,,,,,
Link,Special Attacks,Forward Throw,12/13,37,--,3.0/2.5,,,--,,,,,,
Link,Special Attacks,Backward Throw,12/14,38,--,3.0/2.5,,,--,,,,,,
Link,Special Attacks,Up Throw,26/28,49,--,5.0/2.0,,,--,,,,,,
Link,Special Attacks,Down Throw,22/24,48,--,3.0/3.0,,,--,,,,,,
Link,Special Attacks,Spot Dodge,,21/26,--,,,,Intangible on frame 3-17,,,,,,
Link,Special Attacks,Forward Roll,,30,--,,,,Intangible on frame 4-15,,,,,,
Link,Special Attacks,Backward Roll,,35,--,,,,Intangible on frame 5-16,,,,,,
Link,Special Attacks,Neutral Air Dodge,,49,10,,,,Intangible on frame 3-30,,,,,,
Link,Special Attacks,"Air Dodge, Down",,69,11-19,,,,Intangible on frame 3-21,,,,,,
Link,Special Attacks,"Air Dodge, Diagonally Down",,74,11-19,,,,Intangible on frame 3-21,,,,,,
Link,Special Attacks,"Air Dodge, Left/Right",,82,11-19,,,,Intangible on frame 3-21,,,,,,
Link,Special Attacks,"Air Dodge, Diagonally Up",,95,11-19,,,,Intangible on frame 3-21,,,,,,
Link,Special Attacks,"Air Dodge, Up",,108,11-19,,,,Intangible on frame 3-21,,,,,,
Link,Special Attacks,Stats,,,,,,,,,,,,,
Link,Special Attacks,Ledge Grab,,,,,,,,,,,,,
Link,Special Attacks,Ledge Hang,,,,,,,,,,,,,
Link,Special Attacks,Ledge Roll,,,,,,,,,,,,,
Link,Special Attacks,Getup Attacks,,,,,,,,,,,,,
Link,Grabs / Throws,Grab,6,34,--,--,,6—7,--,,,,27,,
Link,Grabs / Throws,Dash Grab,9,42,--,--,,9—10,--,,,,32,,
Link,Grabs / Throws,Pivot Grab,10,37,--,--,,10—11,--,,,,26,,
Link,Grabs / Throws,Pummel,1,18,--,1.3,,,Total frames includes 13 frames of hitlag,,,,,,
Link,Grabs / Throws,Forward Throw,12/13,37,--,3.0/2.5,,,--,,,,,,
Link,Grabs / Throws,Backward Throw,12/14,38,--,3.0/2.5,,,--,,,,,,
Link,Grabs / Throws,Up Throw,26/28,49,--,5.0/2.0,,,--,,,,,,
