character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Lucas,Ground Attacks,Jab 1,2,19,--,2.5,-13,2,Transitions to Jab 2 as early as frame 5,8,4,--,17,,
Lucas,Ground Attacks,Jab 2,3,19,--,1.5,-13,3,Transitions to Jab 3 as early as frame 5,8,3,--,16,,
Lucas,Ground Attacks,Jab 3,6,29,--,3.5,-19,6—7,--,11,4,--,22,,
Lucas,Ground Attacks,Forward Tilt,7,25,--,7.5/11.0,-10/-8,7—9,--,7/13,8/10,Cose/far,16,,
Lucas,Ground Attacks,Up Tilt,4/7,33,--,1.5/8.0/5.0,-18,4/7—10(11—14/15—16),--,7/11/9,-/8/6,first/second/late,17,,
Lucas,Ground Attacks,Down Tilt,3,15,--,5.0,-6,3—4,--,6,6,--,11,,
Lucas,Ground Attacks,Dash Attack,13,37,--,9.0/13.0,-15/-12,13—17,--,11/15,9/12,Close/Far,20,,
Lucas,Ground Attacks,Forward Smash,14,45,--,14.0/15.0,-21,14—15,Reflects on frame 11-19. Charge hold is frame 7,10/12,10/10,Close/far,30,,
Lucas,Ground Attacks,Up Smash,28/30,98,--,2.0/21.0[20.0/18.0/16.0/14.0],-54,28/30—32(33—37/38—42/43—47/48—52/53—54),"Invincible on frame 1-7. Head intangibility on frame 15-29. Charge hold is frame 4. **Invincibility during the first 4 frames of charging (but goes away after the initial 4), upon release you gain the other 3 frames immediately.",4/16,-/14,Launcher/Main Hit[diminishing over time],44,,
Lucas,Ground Attacks,Down Smash,20/29/39,59,--,17.0/14.0/11.0,-12,20—22/29—31/39—41,Charge hold is frame 5. Shield damage: -10.0/-8.0/-6.0.,15/15/13,-/-/8,--,18,,
Lucas,Ground Attacks,Neutral Air,7.../26,44,12,2.0/4.0,-10/-9,7—21 (rehit: 5) / 26,Autocancels on frame 37 onward,7/10,2/3,Multi/Final,23,,
Lucas,Ground Attacks,Forward Air,9,41,7,9.0/12.5,-3/-2,9—10/11—12,Autocancels on frame 34 onward,7/15,4/5,Close/Far,29,,
Lucas,Ground Attacks,Back Air,15,39,9,9.0 / 12.0 / 7.0,-5/-4/-6,15—19(19—22),Autocancels on frame 1-2 and 34 onward,11/13/10,4/5/3,Close/medium/far,17,,
Lucas,Ground Attacks,Up Air,7,31,7,11.0,-3,7—10,Autocancels on frame 34 onward,9,4,--,21,,
Lucas,Ground Attacks,Down Air,10/18/26/34,56,16,3.5/5.0,-14/-13,10—12/18—20/26—28/34—35,Autocancels on frame 47 onward,8/9,2/3,Multi/Final,21,,
Lucas,Ground Attacks,Z Air,9,51,8,5.0/3.0,-2,9—12(13—21),Tethers on frame 7.,6,6,--,30,,
Lucas,Ground Attacks,Neutral B (PK Freeze),40-92,66-118,--,10.0—23.0,-14 to -5,40—43(92—95),"From charge release, startup is 5 and total frames is 31",8—14,4—7,--,--,,
