character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Lucina,Ground Attacks,Jab 1,5,25,--,3.3,-16,5—6,Transitions to Jab 2 as early as frame 11.,7,4,--,19,,
Lucina,Ground Attacks,Jab 2,4,28,--,4.7,-19,4—5,--,7,5,--,23,,
Lucina,Ground Attacks,Forward Tilt,8,33,--,11.0,-15,8—11,--,8,10,--,22,,
Lucina,Ground Attacks,Up Tilt,6,33,--,7.6/8.0,-19,6—8/9—12,--,7/7,8/8,Early/Late,21,,
Lucina,Ground Attacks,Down Tilt,7,23,--,8.5,-8,7—8,--,7,8,--,15,,
Lucina,Ground Attacks,Dash Attack,13,49,--,10.9,-21,13—16,--,8,15,--,33,,
Lucina,Ground Attacks,Forward Smash,10,51,--,15.0,-31,10—13,Charge hold is frame 3.,10,10,--,38,,
Lucina,Ground Attacks,Up Smash,13,58,--,3.0/14.2,-41/-35,13—14/13—17,Launcher and sword hits generate on the same frame. Charge hold is frame 5,0/10,4/10,Body Launcher/Sword,41,,
Lucina,Ground Attacks,Down Smash,6/21,55,--,9.5/14.0,-42/-24,6—7/21—23,Charge hold is frame 4.,8/10,7/10,--,32,,
Lucina,Ground Attacks,Neutral Air,6/15,49,7,4.2/8.5,-4/-3,6—7/15—21,Autocancels on frame 47 onward,5/7,3/4,--,28,,
Lucina,Ground Attacks,Forward Air,6,37,10,10.5,-6,6—8,Autocancels on frame 36 onward,8,4,--,29,,
Lucina,Ground Attacks,Back Air,7,39,10,11.8,-5,7—11,Autocancels on frame 1-2 and 32 onward. Turns the character around.,9,5,--,28,,
Lucina,Ground Attacks,Up Air,5,45,8,11.4,-3,5—9,Autocancels on frame 1-2 and 38 onward,8,5,--,36,,
Lucina,Ground Attacks,Down Air,9/11,59,14,12.3/14.2,-9/-9,9—13/11,Autocancels on frame 1-2 and 55 onward,9/12,5/5,Sour/Meteor,46,,
Lucina,Ground Attacks,Neutral B (Shieldbreaker),19—79,50—110,--,8.5—23,-23 to Shieldbreak,19—20 (or frames 8—9 after release),"On release, startup is 8 and total frames is 39",13—18,8—Shieldbreak,--,31,,
Lucina,Ground Attacks,Side B (Dancing Blade),9,39/29,--,2.8,-26/-16,9—11,Second total frames is the air version. Can transition to next slash on frame 12-30,5,4,--,28,,
Lucina,Ground Attacks,Dancing Blade 2 Neutral,5,38,--,2.8,-29,5—7,Can transition to next slash on frame 8-29,5,4,--,31,,
Lucina,Ground Attacks,Dancing Blade 3 Neutral,4,43,--,3.3,-35,4—6,Can transition to next slash on frame 7-24,5,4,--,37,,
