character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Luigi,Ground Attacks,Jab 1,2,18,--,2.0,-13,2—3,Transitions to Jab 2 as early as frame 5,8,3,--,15,,
Luigi,Ground Attacks,Jab 2,3,18,--,2.0,-12,3—4,Transitions to Jab 3 as early as frame 6,5,3,--,14,,
Luigi,Ground Attacks,Jab 3,6,30,--,4.0,-19,6—7,--,11,5,--,23,,
Luigi,Ground Attacks,Forward Tilt,5,32,--,9.0,-18,5—7,--,7,9,--,25,,
Luigi,Ground Attacks,Up Tilt,5,27,--,6.0,-15,5—10,--,7,9,--,17,,
Luigi,Ground Attacks,Down Tilt,5,13,--,5.0,-2,5—8,--,6,6,--,5,,
Luigi,Ground Attacks,Dash Attack,4/8/12/16/25,47,--,2.0/4.0,-17,4/8/12/16/25,--,4/14,3/5,Multi/final,22,,
Luigi,Ground Attacks,Forward Smash,12,41,--,15.0,-18,12—13,Charge hold is frame 4,10,11,--,28,,
Luigi,Ground Attacks,Up Smash,9,39,--,14.0/12.0,-20,9—13,Head intangibility on frame 9-13. Charge hold is frame 6,10,10,Far/Close,26,,
Luigi,Ground Attacks,Down Smash,6/14,37,--,15.0/14.0,-20/-12,6—7/14—15,Charge hold is frame 2.,10/10,11/11,Close/Far,22,,
Luigi,Ground Attacks,Down Taunt,45,69,--,2.0,-21,,--,,,,--,,
Luigi,Ground Attacks,Neutral Air,3,44,8,12.0/6.0,-3/-5,3—5(6—31),Auto cancels on frame 1-2 and frame 36 onward.,9/6,5/3,Early/Late,13,,
Luigi,Ground Attacks,Forward Air,7,23,13,8.0,-9,7—10,Autocancels on frame 21 onward,7,4,--,13,,
Luigi,Ground Attacks,Back Air,6,44,10,14.0/8.0,-5/-6,6—7(8—13),Autocancels on frame 1-2 and 33 onward,10/7,5/4,Early/Late,31,,
Luigi,Ground Attacks,Up Air,5,26,7,11.0/7.0,-2/-4,5—7(8—11),Autocancels on frame 19 onward,9/7,5/3,Early/Late,15,,
Luigi,Ground Attacks,Down Air,10,28,12,10.0/8.0,-8/-8,10(11—14),Autocancels on frame 1-5 and 24 onward,12/7,4/4,Early/Late,14,,
Luigi,Ground Attacks,Z Air,14,52,20,5.0,-2,14—68,"If you land before firing, it will fire on frame 6 of landing. Advantage is that shot.",6,6,--,--,,
Luigi,Ground Attacks,Neutral B (Fireball),17,43,--,6.0/5.0,-17,17—45(46—66),--,6/6,3/3,Early/Late,--,,
