character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Mario,Ground Attacks,Jab 1,2,19,--,2.2,-14,2—3,Transitions to Jab 2 as early as frame 5,8,3,--,16,,
Mario,Ground Attacks,Jab 2,2,21,--,1.7,-16,2—3,Transitions to Jab 3 as early as frame 6,5,3,--,18,,
Mario,Ground Attacks,Jab 3,3,33,--,4.0,-25,3—4,--,11,5,--,29,,
Mario,Ground Attacks,Forward Tilt,5,25,--,7.0,-13,5—7,--,7,7,--,18,,
Mario,Ground Attacks,Up Tilt,5,29,--,5.5,-18,5—11,--,6,6,--,18,,
Mario,Ground Attacks,Down Tilt,5,27,--,7.0/5.0,-15/-16,5—7,--,7/6,7/6,Close/Far,20,,
Mario,Ground Attacks,Dash Attack,6,37,--,8.0/6.0,-17,6—9(10—25),--,9/8,14/11,Early/Late,12,,
Mario,Ground Attacks,Forward Smash,15,47,--,17.7/14.6,-22/-20,15—17,Charge hold is frame 5.,11/10,12/10,Far/Close,30,,
Mario,Ground Attacks,Up Smash,9,39,--,14.0,-20,9—12,Head Invulnerability on frame 9-12. Charge hold is frame 6.,10,10,--,27,,
Mario,Ground Attacks,Down Smash,5/14,43,--,10.0/12.0,-30/-20,5—6/14,Charge hold is frame 2.,8/9,8/9,First/Second,29,,
Mario,Ground Attacks,Neutral Air,3,45,6,8.0/5.0,-2/-3/-3/-3,3—5(6—27),Auto cancels on frame 1-2 and frame 39 onward.,7/6,4/3,Early/Late,18,,
Mario,Ground Attacks,Forward Air,16,59,17,12.0/14.0/10.0,-12/-12/-13,16/17—20/21,Auto cancels on frame 1-2 and frame 43 onward.,9/10/8,5/5/4,Early/Clean/Late,38,,
Mario,Ground Attacks,Back Air,6,33,6,10.5/7.0,-2/-3/-2/-3,6—7(8—10),Auto cancels on frame 1-5 and frame 19 onward.,8/7,4/3,Early/Late,23,,
Mario,Ground Attacks,Up Air,4,30,6,7.0,-3,4—7,Auto cancels on frame 17 onward.,7,3,--,23,,
Mario,Ground Attacks,Down Air,5/7/9/11/13/23,37,15,1.3/5.5/2.0,-11,5/7/9/11/13/23(1—2),Auto cancels on frame 1-4 and frame 33 onward.,4/6/4,2/3/3,Multihit/Final/Landing,14,,
Mario,Ground Attacks,Neutral B (Fireball),17,49,--,5.0/4.0,-23,17—21(22—46/47—86),Fireball disappears on frame 88.,6/5,3/2,Early/Late,--,,
Mario,Ground Attacks,Side B (Cape),12,35,--,7.0,-16,12—14,Reflects on frame 9-20.,7,7,--,21,,
Mario,Ground Attacks,Up B (Super Jump Punch),3...,--,30,5.0 / 0.6 / 3.0,--,3-6/7-16/17-18,Invulnerable on frame 3-6. Hits 2-6 rehit rate of 2.,6/4/5,6/2/4,First/multihit/Final,--,,
Mario,Ground Attacks,Down B (F.L.U.D.D.),2 (+19),48,--,--,--,21—**,Startup is 2 from a charging state. Entering charge state takes 19 frames and is shield cancellable on 20.,--,--,--,--,,
Mario,Ground Attacks,"Down B, Fully Charged (F.L.U.D.D.)",21,67,--,--,--,21—**,Takes 100 frames to reach full charge.,--,--,--,--,,
Mario,Ground Attacks,Grab,6,34,--,--,,6—7,--,,,,27,,
Mario,Ground Attacks,Dash Grab,9,42,--,--,,9—10,--,,,,32,,
Mario,Ground Attacks,Pivot Grab,10,36,--,--,,10—11,--,,,,25,,
Mario,Ground Attacks,Pummel,1,19,Total frames includes 14 frames of hitlag.,1.3,,,--,,,,,,
Mario,Ground Attacks,Forward Throw,13,27,--,8.0,,,--,,,,,,
Mario,Ground Attacks,Backward Throw,44,59,--,11.0,,,--,,,,,,
Mario,Ground Attacks,Up Throw,18,39,--,7.0,,,--,,,,,,
Mario,Ground Attacks,Down Throw,18,39,--,5.0,,,--,,,,,,
Mario,Ground Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17.,,,,,,
Mario,Ground Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15.,,,,,,
Mario,Ground Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16.,,,,,,
Mario,Ground Attacks,Neutral Air Dodge,,52,10,,,,Intangible on frame 3-29.,,,,,,
Mario,Ground Attacks,"Air Dodge, Down",,71,11-19,,,,Intangible on frame 3-21.,,,,,,
Mario,Ground Attacks,"Air Dodge, Diagonally Down",,77,11-19,,,,Intangible on frame 3-21.,,,,,,
Mario,Ground Attacks,"Air Dodge, Left/Right",,87,11-19,,,,Intangible on frame 3-21.,,,,,,
Mario,Ground Attacks,"Air Dodge, Diagonally Up",,102,11-19,,,,Intangible on frame 3-21.,,,,,,
Mario,Ground Attacks,"Air Dodge, Up",,116,11-19,,,,Intangible on frame 3-21.,,,,,,
Mario,Ground Attacks,Stats,,,,,,,,,,,,,
Mario,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Mario,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Mario,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Mario,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Mario,Aerial Attacks,Neutral Air,3,45,6,8.0/5.0,-2/-3/-3/-3,3—5(6—27),Auto cancels on frame 1-2 and frame 39 onward.,7/6,4/3,Early/Late,18,,
Mario,Aerial Attacks,Forward Air,16,59,17,12.0/14.0/10.0,-12/-12/-13,16/17—20/21,Auto cancels on frame 1-2 and frame 43 onward.,9/10/8,5/5/4,Early/Clean/Late,38,,
Mario,Aerial Attacks,Back Air,6,33,6,10.5/7.0,-2/-3/-2/-3,6—7(8—10),Auto cancels on frame 1-5 and frame 19 onward.,8/7,4/3,Early/Late,23,,
Mario,Aerial Attacks,Up Air,4,30,6,7.0,-3,4—7,Auto cancels on frame 17 onward.,7,3,--,23,,
Mario,Aerial Attacks,Down Air,5/7/9/11/13/23,37,15,1.3/5.5/2.0,-11,5/7/9/11/13/23(1—2),Auto cancels on frame 1-4 and frame 33 onward.,4/6/4,2/3/3,Multihit/Final/Landing,14,,
Mario,Aerial Attacks,Neutral B (Fireball),17,49,--,5.0/4.0,-23,17—21(22—46/47—86),Fireball disappears on frame 88.,6/5,3/2,Early/Late,--,,
Mario,Aerial Attacks,Side B (Cape),12,35,--,7.0,-16,12—14,Reflects on frame 9-20.,7,7,--,21,,
Mario,Aerial Attacks,Up B (Super Jump Punch),3...,--,30,5.0 / 0.6 / 3.0,--,3-6/7-16/17-18,Invulnerable on frame 3-6. Hits 2-6 rehit rate of 2.,6/4/5,6/2/4,First/multihit/Final,--,,
Mario,Aerial Attacks,Down B (F.L.U.D.D.),2 (+19),48,--,--,--,21—**,Startup is 2 from a charging state. Entering charge state takes 19 frames and is shield cancellable on 20.,--,--,--,--,,
Mario,Aerial Attacks,"Down B, Fully Charged (F.L.U.D.D.)",21,67,--,--,--,21—**,Takes 100 frames to reach full charge.,--,--,--,--,,
Mario,Aerial Attacks,Grab,6,34,--,--,,6—7,--,,,,27,,
Mario,Aerial Attacks,Dash Grab,9,42,--,--,,9—10,--,,,,32,,
Mario,Aerial Attacks,Pivot Grab,10,36,--,--,,10—11,--,,,,25,,
Mario,Aerial Attacks,Pummel,1,19,Total frames includes 14 frames of hitlag.,1.3,,,--,,,,,,
Mario,Aerial Attacks,Forward Throw,13,27,--,8.0,,,--,,,,,,
Mario,Aerial Attacks,Backward Throw,44,59,--,11.0,,,--,,,,,,
Mario,Aerial Attacks,Up Throw,18,39,--,7.0,,,--,,,,,,
Mario,Aerial Attacks,Down Throw,18,39,--,5.0,,,--,,,,,,
Mario,Aerial Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17.,,,,,,
Mario,Aerial Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15.,,,,,,
Mario,Aerial Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16.,,,,,,
Mario,Aerial Attacks,Neutral Air Dodge,,52,10,,,,Intangible on frame 3-29.,,,,,,
Mario,Aerial Attacks,"Air Dodge, Down",,71,11-19,,,,Intangible on frame 3-21.,,,,,,
Mario,Aerial Attacks,"Air Dodge, Diagonally Down",,77,11-19,,,,Intangible on frame 3-21.,,,,,,
Mario,Aerial Attacks,"Air Dodge, Left/Right",,87,11-19,,,,Intangible on frame 3-21.,,,,,,
Mario,Aerial Attacks,"Air Dodge, Diagonally Up",,102,11-19,,,,Intangible on frame 3-21.,,,,,,
Mario,Aerial Attacks,"Air Dodge, Up",,116,11-19,,,,Intangible on frame 3-21.,,,,,,
Mario,Aerial Attacks,Stats,,,,,,,,,,,,,
Mario,Aerial Attacks,Ledge Grab,,,,,,,,,,,,,
Mario,Aerial Attacks,Ledge Hang,,,,,,,,,,,,,
Mario,Aerial Attacks,Ledge Roll,,,,,,,,,,,,,
Mario,Aerial Attacks,Getup Attacks,,,,,,,,,,,,,
Mario,Special Attacks,Neutral B (Fireball),17,49,--,5.0/4.0,-23,17—21(22—46/47—86),Fireball disappears on frame 88.,6/5,3/2,Early/Late,--,,
Mario,Special Attacks,Side B (Cape),12,35,--,7.0,-16,12—14,Reflects on frame 9-20.,7,7,--,21,,
Mario,Special Attacks,Up B (Super Jump Punch),3...,--,30,5.0 / 0.6 / 3.0,--,3-6/7-16/17-18,Invulnerable on frame 3-6. Hits 2-6 rehit rate of 2.,6/4/5,6/2/4,First/multihit/Final,--,,
Mario,Special Attacks,Down B (F.L.U.D.D.),2 (+19),48,--,--,--,21—**,Startup is 2 from a charging state. Entering charge state takes 19 frames and is shield cancellable on 20.,--,--,--,--,,
Mario,Special Attacks,"Down B, Fully Charged (F.L.U.D.D.)",21,67,--,--,--,21—**,Takes 100 frames to reach full charge.,--,--,--,--,,
Mario,Special Attacks,Grab,6,34,--,--,,6—7,--,,,,27,,
Mario,Special Attacks,Dash Grab,9,42,--,--,,9—10,--,,,,32,,
Mario,Special Attacks,Pivot Grab,10,36,--,--,,10—11,--,,,,25,,
Mario,Special Attacks,Pummel,1,19,Total frames includes 14 frames of hitlag.,1.3,,,--,,,,,,
Mario,Special Attacks,Forward Throw,13,27,--,8.0,,,--,,,,,,
Mario,Special Attacks,Backward Throw,44,59,--,11.0,,,--,,,,,,
Mario,Special Attacks,Up Throw,18,39,--,7.0,,,--,,,,,,
Mario,Special Attacks,Down Throw,18,39,--,5.0,,,--,,,,,,
Mario,Special Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17.,,,,,,
Mario,Special Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15.,,,,,,
Mario,Special Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16.,,,,,,
Mario,Special Attacks,Neutral Air Dodge,,52,10,,,,Intangible on frame 3-29.,,,,,,
Mario,Special Attacks,"Air Dodge, Down",,71,11-19,,,,Intangible on frame 3-21.,,,,,,
Mario,Special Attacks,"Air Dodge, Diagonally Down",,77,11-19,,,,Intangible on frame 3-21.,,,,,,
Mario,Special Attacks,"Air Dodge, Left/Right",,87,11-19,,,,Intangible on frame 3-21.,,,,,,
Mario,Special Attacks,"Air Dodge, Diagonally Up",,102,11-19,,,,Intangible on frame 3-21.,,,,,,
Mario,Special Attacks,"Air Dodge, Up",,116,11-19,,,,Intangible on frame 3-21.,,,,,,
Mario,Special Attacks,Stats,,,,,,,,,,,,,
Mario,Special Attacks,Ledge Grab,,,,,,,,,,,,,
Mario,Special Attacks,Ledge Hang,,,,,,,,,,,,,
Mario,Special Attacks,Ledge Roll,,,,,,,,,,,,,
Mario,Special Attacks,Getup Attacks,,,,,,,,,,,,,
