character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Marth,Ground Attacks,Jab 1,5,25,--,3.0/5.0,-16/-14,5—6,Transitions to Jab 2 as early as frame 11.,6/10,4/6,Close/tipper,19,,
Marth,Ground Attacks,Jab 2,4,28,--,4.0/6.0,-19/-18,4—5,--,7/11,5/6,Close/tipper,23,,
Marth,Ground Attacks,Forward Tilt,8,33,--,9.0/12.0,-16/-14,8—11,--,7/11,9/11,Close/tipper,22,,
Marth,Ground Attacks,Up Tilt,6,33,--,5.0/6.0/10.0/,-21/-18,6—8/9—12,--,6/9,6/9,Closest/Close/Tipper,21,,
Marth,Ground Attacks,Down Tilt,7,23,--,7.0/10.0,-9/-6,7—8,--,7/10,7/10,Close/tipper,15,,
Marth,Ground Attacks,Dash Attack,13,49,--,9.0/10.0/13.0,-22/-20,13—16,--,8/14,14/16,Closest/Close/Tipper,33,,
Marth,Ground Attacks,Forward Smash,10,51,--,13.0/18.0,-32/-29,10—13,Charge hold is frame 3.,9/15,9/12,Close/tipper,38,,
Marth,Ground Attacks,Up Smash,13,58,--,3.0/13.0/17.0,-41/-36,13—14/13—17,Launcher and sword hits generate on the same frame. Charge hold is frame 5,0/9/?,4/9/?,Body Launcher/Close/Tipper,41,,
Marth,Ground Attacks,Down Smash,6/21,55,--,8.0/12.0/12.0/17.0,-43/-41/-26/-23,6—7/21—23,Charge hold is frame 4.,7/13/9/15,6/8/8/11,"Close/tipper, close/tipper",32,,
Marth,Ground Attacks,Neutral Air,6/15,49,7,3.5/5.0/7.0/9.5,-5/-4/-4/-3,6—7/15—21,Autocancels on frame 47 onward,5/7/7/10,2/3/3/4,close/tipper/close/tipper,28,,
Marth,Ground Attacks,Forward Air,6,37,10,8.0/11.5,-6/-5,6—8,Autocancels on frame 36 onward,7/11,4/5,Close/tipper,29,,
Marth,Ground Attacks,Back Air,7,39,10,9.0/12.5,-6/-5,7—11,Autocancels on frame 1-2 and 32 onward. Turns the character around.,7/11,4/5,Close/tipper,28,,
Marth,Ground Attacks,Up Air,5,45,8,9.5/13.0,-4/-3,5—9,Autocancels on frame 1-2 and 38 onward,8/12,4/5,Close/tipper,36,,
Marth,Ground Attacks,Down Air,9/11,59,14,12.0/15.0/14.0,-9/-9/-9,9—13/11,Autocancels on frame 1-2 and 55 onward,9/13/12,5/5/5,Close/meteor/tipper,46,,
Marth,Ground Attacks,Neutral B (Shield Breaker),19—79,50—110,--,8.0—24.0,-23 to Shieldbreak,19—20 (or frames 8-9 after release),"On release, startup is 8 and total frames is 39",10—18,8—Shieldbreak,--,31,,
Marth,Ground Attacks,Side B (Dancing Blade),9,39/29,--,2.5/3.0,-26/-16,9—11,Second total frames is the air version. Can transition to next slash on frame 12-30,5/5,4/4,Close/Tipper,28,,
Marth,Ground Attacks,Dancing Blade 2 Neutral,5,38,--,2.5/3.0,-29/-29,5—7,Can transition to next slash on frame 8-29,5/5,4/4,Close/Tipper,31,,
Marth,Ground Attacks,Dancing Blade 3 Neutral,4,43,--,3.0/4.0,-35/-34,4—6,Can transition to next slash on frame 7-24,5/5,4/5,Close/Tipper,37,,
Marth,Ground Attacks,Dancing Blade 4 Neutral,7,55,--,4.0/6.0,-43/-42,7—9,--,5/9,5/6,Close/Tipper,46,,
Marth,Ground Attacks,Dancing Blade 2 Up,4,38,--,2.5/3.0,-30/-30,4—7,Can transition to next slash on frame 8-29,5/5,4/4,Close/Tipper,31,,
Marth,Ground Attacks,Dancing Blade 3 Up,5,43,--,3.0/4.0,-34/-33,5—7,Can transition to next slash on frame 8-24,5/5,4/5,Close/Tipper,36,,
Marth,Ground Attacks,Dancing Blade 4 Up,6,44,--,5.0/7.0,-32/-31,6—10,--,6/7,6/7,Close/Tipper,34,,
Marth,Ground Attacks,Dancing Blade 3 Down,5,43,--,3.0/4.0,-34/-32,5—7,Can transition to next slash on frame 8-24,5/,4/5,Close/Tipper,36,,
Marth,Ground Attacks,Dancing Blade 4 Down,7,74,--,2.0/4.0/5.0,-50/-49,7/10/13/16/19—21,--,4/5/6,-/5/6,Multi/Final/Final Tipper,53,,
Marth,Ground Attacks,Up B (Dolphin Slash),5,--,24,11.0/7.0,--,5—6/6—11,Intangible on frame 4-5. 1-5 in the air.,8/7,10/7,Early/Late,--,,
Marth,Ground Attacks,Down B (Counter),6 (Start of Counter),64,--,--,--,**,Intangibility on 5-6 when detecting. Counter window 6-27.,--,--,--,--,,
Marth,Ground Attacks,"Counter, Attack",4,40,--,--,--,4—6,"Intangible on frame 1-7 in addition to counter freeze frames. 8% Minimum base damage, x1.2 enemy's attack.",--,--,--,34,,
Marth,Ground Attacks,Grab,6,34,--,--,,6—7,--,,,,27,,
Marth,Ground Attacks,Dash Grab,9,42,--,--,,9—10,--,,,,32,,
Marth,Ground Attacks,Pivot Grab,10,37,--,--,,10—11,--,,,,26,,
Marth,Ground Attacks,Pummel,1,19,--,1.3,,,Total frames includes 13 frames of hitlag,,,,,,
Marth,Ground Attacks,Forward Throw,18,34,--,4.0,,,Visualization does not linclude hitlag,,,,,,
Marth,Ground Attacks,Backward Throw,19,44,--,4.0,,,Visualization does not include hitlag,,,,,,
Marth,Ground Attacks,Up Throw,13,44,--,5.0,,,--,,,,,,
Marth,Ground Attacks,Down Throw,20,46,--,4.0,,,Visualization does not include hitlag,,,,,,
Marth,Ground Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17,,,,,,
Marth,Ground Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15,,,,,,
Marth,Ground Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16,,,,,,
Marth,Ground Attacks,Neutral Air Dodge,,52,10,,,,Intangible on frame 3-29,,,,,,
Marth,Ground Attacks,"Air Dodge, Down",,69,11-19,,,,Intangible on frame 3-21,,,,,,
Marth,Ground Attacks,"Air Dodge, Diagonally Down",,79,11-19,,,,Intangible on frame 3-21,,,,,,
Marth,Ground Attacks,"Air Dodge, Left/Right",,85,11-19,,,,Intangible on frame 3-21,,,,,,
Marth,Ground Attacks,"Air Dodge, Diagonally Up",,99,11-19,,,,Intangible on frame 3-21,,,,,,
Marth,Ground Attacks,"Air Dodge, Up",,116,11-19,,,,Intangible on frame 3-21,,,,,,
Marth,Ground Attacks,Stats,,,,,,,,,,,,,
Marth,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Marth,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Marth,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Marth,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Marth,Aerial Attacks,Neutral Air,6/15,49,7,3.5/5.0/7.0/9.5,-5/-4/-4/-3,6—7/15—21,Autocancels on frame 47 onward,5/7/7/10,2/3/3/4,close/tipper/close/tipper,28,,
Marth,Aerial Attacks,Forward Air,6,37,10,8.0/11.5,-6/-5,6—8,Autocancels on frame 36 onward,7/11,4/5,Close/tipper,29,,
Marth,Aerial Attacks,Back Air,7,39,10,9.0/12.5,-6/-5,7—11,Autocancels on frame 1-2 and 32 onward. Turns the character around.,7/11,4/5,Close/tipper,28,,
Marth,Aerial Attacks,Up Air,5,45,8,9.5/13.0,-4/-3,5—9,Autocancels on frame 1-2 and 38 onward,8/12,4/5,Close/tipper,36,,
Marth,Aerial Attacks,Down Air,9/11,59,14,12.0/15.0/14.0,-9/-9/-9,9—13/11,Autocancels on frame 1-2 and 55 onward,9/13/12,5/5/5,Close/meteor/tipper,46,,
Marth,Aerial Attacks,Neutral B (Shield Breaker),19—79,50—110,--,8.0—24.0,-23 to Shieldbreak,19—20 (or frames 8-9 after release),"On release, startup is 8 and total frames is 39",10—18,8—Shieldbreak,--,31,,
Marth,Aerial Attacks,Side B (Dancing Blade),9,39/29,--,2.5/3.0,-26/-16,9—11,Second total frames is the air version. Can transition to next slash on frame 12-30,5/5,4/4,Close/Tipper,28,,
