character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Mega_man,Ground Attacks,Jab,7/19/31,35/47/59,--,3.0/4.0/2.0,-25/-23/-20,7 [7-8/9-12/13-36] / 19 [19-20/11-24/25-42] / 31 [31-32/33-36/37-54],Cannon and projectile hits generate on same frame.,4/4/4,3/2/2,Cannon/Projectiles,--,,
Mega_man,Ground Attacks,Forward Tilt,7/19/31,33/45/57,--,3.0/4.0/2.0,-25/-23/-20,7-8(9-12/13-36) / 19-20(11-24/25-42) / 31-32(33-36/37-54),Does not have a hitbox before the projectile comes out.,4/4/4,3/2/2,Cannon/Projectiles,--,,
Mega_man,Ground Attacks,Up Tilt,6,70/52/54,--,17.0/12.0/8.0,-49/-31/-33,6(7—9/10—16),Total frames refer to use on level ground/over an edge/under a platform. Invulnerable on frame 5-7,15/9/7,15/11/8,Early/late/later,54,,
Mega_man,Ground Attacks,Down Tilt,5,46,--,8.0/5.0,-33,5—8(9—21),Leg intangibility on frame 3-12,7/6,8/6,Early/late,25,,
Mega_man,Ground Attacks,Dash Attack,7/10/13/16/19/22/25/35,59,--,1.2/4.0,-16,7/10/13/16/19/22/25/35,--,4/5,2/8,Multi/final,24,,
Mega_man,Ground Attacks,Forward Smash,19,54,--,11.5,-18,19—42(79—108/199—222),Charge hold is frame 9,13,4,--,--,,
Mega_man,Ground Attacks,Up Smash,8/11/15/19/23/27/31,68,--,2.0/1.5/6.0,-32,8/11—12/15—16/19—20/23—24/27—28/31,Charge hold is frame 4,-/3/9,-/0/5,First/multi/final,37,,
Mega_man,Ground Attacks,Down Smash,17,78,--,17.0,-50,17(18—19/20—33),Charge hold is frame 4,11,11,--,45,,
Mega_man,Ground Attacks,Neutral Air,7/19/31,33/45/57,--,3.0/4.0/2.0,-25/-23/-20,7—9 [7-8/9-12/13-36] / 19—21 [19-20/11-24/25-42] / 31—34 [31-32/33-36/37-54],Cannon and projectile hits generate on same frame.,4/4/4,3/2/2,Cannon/Cannon(air)/Projectile,--,,
Mega_man,Ground Attacks,Forward Air,9,40,11,8.5/8.0/5.0,-7/-7/-8,9—11(12—17),Autocancels on frame 1-2 and 39 onward,7/7/6,4/4/3,Far/Close/Late,23,,
Mega_man,Ground Attacks,Back Air,4/7/10,44,20,3.0/4.0/5.0,-18/-17/-17,4—5/7—8/10—11,Autocancels on frame 1-3 and 40 onward,5/5/6,2/3/3,--,33,,
Mega_man,Ground Attacks,Up Air,11...,53,20,3.0/1.0/2.0,--,11—17/18—31/32—54/55—61 (rehit: 3/5/5/5),Autocancels on frame 51 onward,-/4/4,-/2/2,Early/late/final,--,,
Mega_man,Ground Attacks,Down Air,23,64,14,14.0/12.0,+1/+0,23—25(26—35),Autocancels on frame 1-4 and 55 onward,10/9,5/5,Early/Meteor,29,,
Mega_man,Ground Attacks,Neutral B (Metal Blade),16,42,--,5.0,-17,**,Projectile hits every 6 frames. Add 2 to startup and total frames when throwing backward,6,3,--,--,,
Mega_man,Ground Attacks,Side B (Crash Bomber),19,44,--,1.0/4.0,**,19—69,Does not attach to shields. Explosion occurs about 2.5 seconds later and hits on frame 1/6/11/16/21,4/5,-/2,Multi/Final,--,,
Mega_man,Ground Attacks,Up B (Rush Coil),--,41,--,--,--,--,Invulnerable on frame 7-10. Rush dissapears at Frame ~130,--,--,--,--,,
Mega_man,Ground Attacks,Down B (Leaf Shield),9—**,35,--,1.5,**,9—**,Hits every 11 frames. Leaves do not disappear after hitting something. Hold the button to move with the shield. Can delay 40 frames before an automatic throw.,4,3,--,--,,
Mega_man,Ground Attacks,"Leaf Shield, Throw",--,55,--,3.8,**,**,Hits every 11 frames.,5,2,--,--,,
Mega_man,Ground Attacks,Grab,6,37,--,--,,6—7,--,,,,30,,
Mega_man,Ground Attacks,Dash Grab,9,45,--,--,,9—10,--,,,,35,,
Mega_man,Ground Attacks,Pivot Grab,10,40,--,--,,10—11,--,,,,29,,
Mega_man,Ground Attacks,Pummel,1,19,--,1.3,,,Total frames includes 13 frames of hitlag,,,,,,
Mega_man,Ground Attacks,Forward Throw,10,32,--,8.0,,,--,,,,,,
Mega_man,Ground Attacks,Backward Throw,18,43,--,11.0,,,--,,,,,,
Mega_man,Ground Attacks,Up Throw,12,39,--,7.0,,,--,,,,,,
Mega_man,Ground Attacks,Down Throw,17,39,--,4.5,,,--,,,,,,
Mega_man,Ground Attacks,Spot Dodge,,20/25,--,,,,Intangible on frame 3-17,,,,,,
Mega_man,Ground Attacks,Forward Roll,,29,--,,,,Intangible on frame 4-15,,,,,,
Mega_man,Ground Attacks,Backward Roll,,34,--,,,,Intangible on frame 5-16,,,,,,
Mega_man,Ground Attacks,Neutral Air Dodge,,45,10,,,,Intangible on frame 3-30,,,,,,
Mega_man,Ground Attacks,"Air Dodge, Down",,63,11-19,,,,Intangible on frame 3-21,,,,,,
Mega_man,Ground Attacks,"Air Dodge, Diagonally Down",,70,11-19,,,,Intangible on frame 3-21,,,,,,
Mega_man,Ground Attacks,"Air Dodge, Left/Right",,76,11-19,,,,Intangible on frame 3-21,,,,,,
Mega_man,Ground Attacks,"Air Dodge, Diagonally Up",,84,11-19,,,,Intangible on frame 3-21,,,,,,
Mega_man,Ground Attacks,"Air Dodge, Up",,98,11-19,,,,Intangible on frame 3-21,,,,,,
Mega_man,Ground Attacks,Stats,,,,,,,,,,,,,
Mega_man,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Mega_man,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Mega_man,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Mega_man,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Mega_man,Aerial Attacks,Neutral Air,7/19/31,33/45/57,--,3.0/4.0/2.0,-25/-23/-20,7—9 [7-8/9-12/13-36] / 19—21 [19-20/11-24/25-42] / 31—34 [31-32/33-36/37-54],Cannon and projectile hits generate on same frame.,4/4/4,3/2/2,Cannon/Cannon(air)/Projectile,--,,
Mega_man,Aerial Attacks,Forward Air,9,40,11,8.5/8.0/5.0,-7/-7/-8,9—11(12—17),Autocancels on frame 1-2 and 39 onward,7/7/6,4/4/3,Far/Close/Late,23,,
Mega_man,Aerial Attacks,Back Air,4/7/10,44,20,3.0/4.0/5.0,-18/-17/-17,4—5/7—8/10—11,Autocancels on frame 1-3 and 40 onward,5/5/6,2/3/3,--,33,,
Mega_man,Aerial Attacks,Up Air,11...,53,20,3.0/1.0/2.0,--,11—17/18—31/32—54/55—61 (rehit: 3/5/5/5),Autocancels on frame 51 onward,-/4/4,-/2/2,Early/late/final,--,,
Mega_man,Aerial Attacks,Down Air,23,64,14,14.0/12.0,+1/+0,23—25(26—35),Autocancels on frame 1-4 and 55 onward,10/9,5/5,Early/Meteor,29,,
Mega_man,Aerial Attacks,Neutral B (Metal Blade),16,42,--,5.0,-17,**,Projectile hits every 6 frames. Add 2 to startup and total frames when throwing backward,6,3,--,--,,
