character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Meta_knight,Ground Attacks,Rapid Jab,4/7/10...,15,--,1.0,--,4/7/10...,Rapid Jab loop is 22 frames.,4,-,--,5,,
Meta_knight,Ground Attacks,Rapid Jab Finisher,3,30,--,2.0,-24,3,--,12,3,--,27,,
Meta_knight,Ground Attacks,Forward Tilt 1,6,25,--,2.0,-16,6,Transitions to next hit as early as frame 10.,4,3,--,19,,
Meta_knight,Ground Attacks,Forward Tilt 2,2,27,--,2.0,-22,2,Transitions to next hit as early as frame 7,4,3,--,25,,
Meta_knight,Ground Attacks,Forward Tilt 3,2,30,--,4.0,-23,2,--,11,5,--,28,,
Meta_knight,Ground Attacks,Up Tilt,8,34,--,6.0/7.0,-20/-19,8—10/11—14,--,7/8,6/7,Close/Tipper,20,,
Meta_knight,Ground Attacks,Down Tilt,3,18,--,5.0,-9,3—4,--,6,6,--,14,,
Meta_knight,Ground Attacks,Dash Attack,7,32,--,7.0/6.0,-18,7—11,--,7/7,7/7,Early/Late,21,,
Meta_knight,Ground Attacks,Forward Smash,24,41,--,16.0,-6,24,Charge hold is frame 20,15,11,--,17,,
Meta_knight,Ground Attacks,Up Smash,8/12/17,49,--,4.0/3.0/5.0,-28,8/12/17,Charge hold is frame 3,5/5/12,3/3/4,--,32,,
Meta_knight,Ground Attacks,Down Smash,4/9,37,--,10.0/13.0,-26/-19,4/9,Charge hold is frame 1,8/9,7/9,--,28,,
Meta_knight,Ground Attacks,Neutral Air,6,43,7,10.0/7.5,-3/-4,6—7/8—20,Autocancels on frame 1-5 and 40 onward,8/7,4/3,Early/Late,23,,
Meta_knight,Ground Attacks,Forward Air,9/12/15,39,10,1.5/3.0,-8/-8,9/12/15,Autocancels on frame 39 onward,4/10,2/2,Multi/Final,24,,
Meta_knight,Ground Attacks,Back Air,7/13/20,51,11,1.5/4.0,-9/-8,7—8/13—14/20—21,Autocancels on frame 1-6 and 40 onward,4/11,2/3,Multi/Final,30,,
Meta_knight,Ground Attacks,Up Air,6,26,9,4.0,-6,6,Autocancels on frame 1-5 and 24 onward,5,3,--,20,,
Meta_knight,Ground Attacks,Down Air,4,27,9,6.0,-6,4,Autocancels on frame 1-3 and 26 onward,6,3,--,23,,
Meta_knight,Ground Attacks,Neutral B (Mach Tornado),12,104,29,12.0/8.0,-81,12—21/22—46,Landing lag only occurs after entering special fall.,11/9,11/8,--,58,,
Meta_knight,Ground Attacks,Side B (Drill Rush),26/30/34/38/42/46/ 50/54/58/62/66/70,98,26,1.1/3.0,-24,26—69/70,Total frames is assuming you travel along the ground.,4/15,2/4,--,28,,
Meta_knight,Ground Attacks,Up B (Shuttle Loop),8/22,--,30,9.0/6.0/6.0,**,(8/9—10/11—12)22—27,--,11/6/9,9/6/6,Early/Late/Second,--,,
Meta_knight,Ground Attacks,"Up B, Air (Shuttle Loop, Air)",7/20,--,30,6.0/6.0,**,(7/8—10)20—26,--,6/9,6/6,First/Second,--,,
Meta_knight,Ground Attacks,Down B (Dimensional Cape),--,57,30,--,--,**,Invulnerable on frame 12-39. Landing lag only occurs if you enter special fall.,--,--,--,--,,
Meta_knight,Ground Attacks,"Dimensional Cape, Attack",34,92,30,16.0,-44,34,Invulnerable on frame 12-32. Landing lag only occurs if you enter special fall.,15,14,--,58,,
Meta_knight,Ground Attacks,Grab,7,36,--,--,,7—8,--,,,,28,,
Meta_knight,Ground Attacks,Dash Grab,11,44,--,--,,11—12,--,,,,32,,
Meta_knight,Ground Attacks,Pivot Grab,12,39,--,--,,12—13,--,,,,26,,
Meta_knight,Ground Attacks,Pummel,1,15,--,1.0,,,Total frames includes 10 frames of hitlag,,,,,,
Meta_knight,Ground Attacks,Forward Throw,8/10,27,--,6.0/3.0,,,--,,,,,,
Meta_knight,Ground Attacks,Backward Throw,16/18,34,--,7.0/3.0,,,--,,,,,,
Meta_knight,Ground Attacks,Up Throw,46,77,--,10.0,,,Meta Knight is airborne when he can act. Startup assumes level ground,,,,,,
Meta_knight,Ground Attacks,Down Throw,11—13/17—19/23—25/29—31/35—37/41—43/47—49/53—55/59—61/73—74,86,--,0.5/1.0/2.0,,,--,,,,,,
Meta_knight,Ground Attacks,Spot Dodge,,19/24,--,,,,Intangible on frame 3-16,,,,,,
Meta_knight,Ground Attacks,Forward Roll,,28,--,,,,Intangible on frame 4-14,,,,,,
Meta_knight,Ground Attacks,Backward Roll,,33,--,,,,Intangible on frame 4-15,,,,,,
Meta_knight,Ground Attacks,Neutral Air Dodge,,47,10,,,,Intangible on frame 2-26,,,,,,
Meta_knight,Ground Attacks,"Air Dodge, Down",,66,11-19,,,,Intangible on frame 2-19,,,,,,
Meta_knight,Ground Attacks,"Air Dodge, Diagonally Down",,74,11-19,,,,Intangible on frame 2-19,,,,,,
Meta_knight,Ground Attacks,"Air Dodge, Left/Right",,80,11-19,,,,Intangible on frame 2-19,,,,,,
Meta_knight,Ground Attacks,"Air Dodge, Diagonally Up",,94,11-19,,,,Intangible on frame 2-19,,,,,,
Meta_knight,Ground Attacks,"Air Dodge, Up",,101,11-19,,,,Intangible on frame 2-19,,,,,,
Meta_knight,Ground Attacks,Stats,,,,,,,,,,,,,
Meta_knight,Ground Attacks,Ledge Grab,,,,,,,,,,,,,
Meta_knight,Ground Attacks,Ledge Hang,,,,,,,,,,,,,
Meta_knight,Ground Attacks,Ledge Roll,,,,,,,,,,,,,
Meta_knight,Ground Attacks,Getup Attacks,,,,,,,,,,,,,
Meta_knight,Aerial Attacks,Neutral Air,6,43,7,10.0/7.5,-3/-4,6—7/8—20,Autocancels on frame 1-5 and 40 onward,8/7,4/3,Early/Late,23,,
Meta_knight,Aerial Attacks,Forward Air,9/12/15,39,10,1.5/3.0,-8/-8,9/12/15,Autocancels on frame 39 onward,4/10,2/2,Multi/Final,24,,
Meta_knight,Aerial Attacks,Back Air,7/13/20,51,11,1.5/4.0,-9/-8,7—8/13—14/20—21,Autocancels on frame 1-6 and 40 onward,4/11,2/3,Multi/Final,30,,
Meta_knight,Aerial Attacks,Up Air,6,26,9,4.0,-6,6,Autocancels on frame 1-5 and 24 onward,5,3,--,20,,
Meta_knight,Aerial Attacks,Down Air,4,27,9,6.0,-6,4,Autocancels on frame 1-3 and 26 onward,6,3,--,23,,
Meta_knight,Aerial Attacks,Neutral B (Mach Tornado),12,104,29,12.0/8.0,-81,12—21/22—46,Landing lag only occurs after entering special fall.,11/9,11/8,--,58,,
Meta_knight,Aerial Attacks,Side B (Drill Rush),26/30/34/38/42/46/ 50/54/58/62/66/70,98,26,1.1/3.0,-24,26—69/70,Total frames is assuming you travel along the ground.,4/15,2/4,--,28,,
Meta_knight,Aerial Attacks,Up B (Shuttle Loop),8/22,--,30,9.0/6.0/6.0,**,(8/9—10/11—12)22—27,--,11/6/9,9/6/6,Early/Late/Second,--,,
Meta_knight,Aerial Attacks,"Up B, Air (Shuttle Loop, Air)",7/20,--,30,6.0/6.0,**,(7/8—10)20—26,--,6/9,6/6,First/Second,--,,
Meta_knight,Aerial Attacks,Down B (Dimensional Cape),--,57,30,--,--,**,Invulnerable on frame 12-39. Landing lag only occurs if you enter special fall.,--,--,--,--,,
Meta_knight,Aerial Attacks,"Dimensional Cape, Attack",34,92,30,16.0,-44,34,Invulnerable on frame 12-32. Landing lag only occurs if you enter special fall.,15,14,--,58,,
Meta_knight,Aerial Attacks,Grab,7,36,--,--,,7—8,--,,,,28,,
Meta_knight,Aerial Attacks,Dash Grab,11,44,--,--,,11—12,--,,,,32,,
Meta_knight,Aerial Attacks,Pivot Grab,12,39,--,--,,12—13,--,,,,26,,
Meta_knight,Aerial Attacks,Pummel,1,15,--,1.0,,,Total frames includes 10 frames of hitlag,,,,,,
Meta_knight,Aerial Attacks,Forward Throw,8/10,27,--,6.0/3.0,,,--,,,,,,
Meta_knight,Aerial Attacks,Backward Throw,16/18,34,--,7.0/3.0,,,--,,,,,,
Meta_knight,Aerial Attacks,Up Throw,46,77,--,10.0,,,Meta Knight is airborne when he can act. Startup assumes level ground,,,,,,
Meta_knight,Aerial Attacks,Down Throw,11—13/17—19/23—25/29—31/35—37/41—43/47—49/53—55/59—61/73—74,86,--,0.5/1.0/2.0,,,--,,,,,,
Meta_knight,Aerial Attacks,Spot Dodge,,19/24,--,,,,Intangible on frame 3-16,,,,,,
Meta_knight,Aerial Attacks,Forward Roll,,28,--,,,,Intangible on frame 4-14,,,,,,
Meta_knight,Aerial Attacks,Backward Roll,,33,--,,,,Intangible on frame 4-15,,,,,,
Meta_knight,Aerial Attacks,Neutral Air Dodge,,47,10,,,,Intangible on frame 2-26,,,,,,
Meta_knight,Aerial Attacks,"Air Dodge, Down",,66,11-19,,,,Intangible on frame 2-19,,,,,,
Meta_knight,Aerial Attacks,"Air Dodge, Diagonally Down",,74,11-19,,,,Intangible on frame 2-19,,,,,,
Meta_knight,Aerial Attacks,"Air Dodge, Left/Right",,80,11-19,,,,Intangible on frame 2-19,,,,,,
Meta_knight,Aerial Attacks,"Air Dodge, Diagonally Up",,94,11-19,,,,Intangible on frame 2-19,,,,,,
Meta_knight,Aerial Attacks,"Air Dodge, Up",,101,11-19,,,,Intangible on frame 2-19,,,,,,
Meta_knight,Aerial Attacks,Stats,,,,,,,,,,,,,
Meta_knight,Aerial Attacks,Ledge Grab,,,,,,,,,,,,,
Meta_knight,Aerial Attacks,Ledge Hang,,,,,,,,,,,,,
Meta_knight,Aerial Attacks,Ledge Roll,,,,,,,,,,,,,
Meta_knight,Aerial Attacks,Getup Attacks,,,,,,,,,,,,,
Meta_knight,Special Attacks,Neutral B (Mach Tornado),12,104,29,12.0/8.0,-81,12—21/22—46,Landing lag only occurs after entering special fall.,11/9,11/8,--,58,,
Meta_knight,Special Attacks,Side B (Drill Rush),26/30/34/38/42/46/ 50/54/58/62/66/70,98,26,1.1/3.0,-24,26—69/70,Total frames is assuming you travel along the ground.,4/15,2/4,--,28,,
Meta_knight,Special Attacks,Up B (Shuttle Loop),8/22,--,30,9.0/6.0/6.0,**,(8/9—10/11—12)22—27,--,11/6/9,9/6/6,Early/Late/Second,--,,
Meta_knight,Special Attacks,"Up B, Air (Shuttle Loop, Air)",7/20,--,30,6.0/6.0,**,(7/8—10)20—26,--,6/9,6/6,First/Second,--,,
Meta_knight,Special Attacks,Down B (Dimensional Cape),--,57,30,--,--,**,Invulnerable on frame 12-39. Landing lag only occurs if you enter special fall.,--,--,--,--,,
Meta_knight,Special Attacks,"Dimensional Cape, Attack",34,92,30,16.0,-44,34,Invulnerable on frame 12-32. Landing lag only occurs if you enter special fall.,15,14,--,58,,
Meta_knight,Special Attacks,Grab,7,36,--,--,,7—8,--,,,,28,,
Meta_knight,Special Attacks,Dash Grab,11,44,--,--,,11—12,--,,,,32,,
Meta_knight,Special Attacks,Pivot Grab,12,39,--,--,,12—13,--,,,,26,,
Meta_knight,Special Attacks,Pummel,1,15,--,1.0,,,Total frames includes 10 frames of hitlag,,,,,,
Meta_knight,Special Attacks,Forward Throw,8/10,27,--,6.0/3.0,,,--,,,,,,
Meta_knight,Special Attacks,Backward Throw,16/18,34,--,7.0/3.0,,,--,,,,,,
Meta_knight,Special Attacks,Up Throw,46,77,--,10.0,,,Meta Knight is airborne when he can act. Startup assumes level ground,,,,,,
Meta_knight,Special Attacks,Down Throw,11—13/17—19/23—25/29—31/35—37/41—43/47—49/53—55/59—61/73—74,86,--,0.5/1.0/2.0,,,--,,,,,,
Meta_knight,Special Attacks,Spot Dodge,,19/24,--,,,,Intangible on frame 3-16,,,,,,
Meta_knight,Special Attacks,Forward Roll,,28,--,,,,Intangible on frame 4-14,,,,,,
Meta_knight,Special Attacks,Backward Roll,,33,--,,,,Intangible on frame 4-15,,,,,,
Meta_knight,Special Attacks,Neutral Air Dodge,,47,10,,,,Intangible on frame 2-26,,,,,,
Meta_knight,Special Attacks,"Air Dodge, Down",,66,11-19,,,,Intangible on frame 2-19,,,,,,
Meta_knight,Special Attacks,"Air Dodge, Diagonally Down",,74,11-19,,,,Intangible on frame 2-19,,,,,,
Meta_knight,Special Attacks,"Air Dodge, Left/Right",,80,11-19,,,,Intangible on frame 2-19,,,,,,
Meta_knight,Special Attacks,"Air Dodge, Diagonally Up",,94,11-19,,,,Intangible on frame 2-19,,,,,,
Meta_knight,Special Attacks,"Air Dodge, Up",,101,11-19,,,,Intangible on frame 2-19,,,,,,
Meta_knight,Special Attacks,Stats,,,,,,,,,,,,,
Meta_knight,Special Attacks,Ledge Grab,,,,,,,,,,,,,
Meta_knight,Special Attacks,Ledge Hang,,,,,,,,,,,,,
Meta_knight,Special Attacks,Ledge Roll,,,,,,,,,,,,,
Meta_knight,Special Attacks,Getup Attacks,,,,,,,,,,,,,
Meta_knight,Grabs / Throws,Grab,7,36,--,--,,7—8,--,,,,28,,
Meta_knight,Grabs / Throws,Dash Grab,11,44,--,--,,11—12,--,,,,32,,
Meta_knight,Grabs / Throws,Pivot Grab,12,39,--,--,,12—13,--,,,,26,,
Meta_knight,Grabs / Throws,Pummel,1,15,--,1.0,,,Total frames includes 10 frames of hitlag,,,,,,
Meta_knight,Grabs / Throws,Forward Throw,8/10,27,--,6.0/3.0,,,--,,,,,,
Meta_knight,Grabs / Throws,Backward Throw,16/18,34,--,7.0/3.0,,,--,,,,,,
Meta_knight,Grabs / Throws,Up Throw,46,77,--,10.0,,,Meta Knight is airborne when he can act. Startup assumes level ground,,,,,,
Meta_knight,Grabs / Throws,Down Throw,11—13/17—19/23—25/29—31/35—37/41—43/47—49/53—55/59—61/73—74,86,--,0.5/1.0/2.0,,,--,,,,,,
Meta_knight,Grabs / Throws,Spot Dodge,,19/24,--,,,,Intangible on frame 3-16,,,,,,
Meta_knight,Grabs / Throws,Forward Roll,,28,--,,,,Intangible on frame 4-14,,,,,,
Meta_knight,Grabs / Throws,Backward Roll,,33,--,,,,Intangible on frame 4-15,,,,,,
