character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Mewtwo,Ground Attacks,Jab,5,21,--,3.0,-12,5—6,Transitions to Rapid Jab as early as frame 12.,9,4,--,15,,
Mewtwo,Ground Attacks,Rapid Jab,5/8/11...,--,--,0.8,--,**,--,4,4,--,--,,
Mewtwo,Ground Attacks,Rapid Jab Finisher,6,40,--,2.5,-30,6—7,--,10,4,--,33,,
Mewtwo,Ground Attacks,Forward Tilt,10,35,--,11.0/10.0/9.0,-15/-15/-16,10—11,--,10/8/7,10/10/9,Close/Med/Far,24,,
Mewtwo,Ground Attacks,Up Tilt,8,29,--,"7.0/6.0/5.5, 5.0/4.0",-14/-15/-15,8(9—13),--,"7/6/6, 6/5","7/6/6, 6/5","Early close/med/far, Late med/far",16,,
Mewtwo,Ground Attacks,Down Tilt,6,23,--,5.0/4.5/4.0,-11/-12/-12,6—7,--,6/5/5,6/5/5,Close/med/far,16,,
Mewtwo,Ground Attacks,Dash Attack,10,38,--,12.0/6.0,-14,10—11(12—20),--,11/8,14/8,Early/Late,18,,
Mewtwo,Ground Attacks,Forward Smash,19,52,--,16.0/20.0,-20/-18,19—22,Charge hold is frame 12,10/15,11/13,Close/Far,30,,
Mewtwo,Ground Attacks,Up Smash,9/14/18/22,68,--,2.0/10.0,-39,9(10—11)/14—15/18—19/22—25,Charge hold is frame 2,4/8,3/7,Multi/Final,43,,
Mewtwo,Ground Attacks,Down Smash,21,40,--,16.0,-8,21—23,Charge hold is frame 15,14,11,--,17,,
Mewtwo,Ground Attacks,Neutral Air,7/11/15/19/23/27,49,10,1.6/4.0,-8/-7,7—8/11—12/15—16/19—20/23—24/27—28,Autocancels on frame 46 onward,7/10,2/3,Multi/Final,21,,
Mewtwo,Ground Attacks,Forward Air,7,39,8,13.0,-3,7—9,Autocancels on frame 37 onward,9,5,--,30,,
Mewtwo,Ground Attacks,Back Air,13,39,10,13.0/11.0/9.0,-5/-6/-6,13—17,Autocancels on frame 1-2 and 38 onward,9/8/7,5/4/4,Close/med/far,22,,
Mewtwo,Ground Attacks,Up Air,10,39,8,12.0/11.0/10.0,-3/-4/-4,10—14,Autocancels on frame 1-2 and 36 onward,9/8/8,5/4/4,Close/med/far,25,,
Mewtwo,Ground Attacks,Down Air,15,47,11,15.0/14.0,-6,15—18,Autocancels on frame 1-3 and frame 42 onward,12,5,--,29,,
