character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Mii_gunner,Ground Attacks,Jab 1,5,25,--,1.7,-17,5—6,Transitions to jab 2 as early as frame 8,7,3,--,19,,
Mii_gunner,Ground Attacks,Jab 2,4,25,--,1.8,-18,4—6,Transitions to jab 3 as early as frame 11,4,3,--,19,,
Mii_gunner,Ground Attacks,Jab 3,6/12,37,--,1.0/4.5,-20,"6—8, 12—13",--,3/6,0/5,--,24,,
Mii_gunner,Ground Attacks,Forward Tilt,7,33,--,13.0/10.5/8.0,-14,7—8/9—10/11—12,--,9/8/7,12/10/8,Early/Late/Later,21,,
Mii_gunner,Ground Attacks,Up Tilt,5,37,--,10.0/9.0/8.0,-22,5—7/8—9,--,8,10,Early Far/Close/Late Far (Close damage doesn't update on the late hit),28,,
Mii_gunner,Ground Attacks,Down Tilt,8,40,--,14.0,-19,8—10,--,10,13,--,30,,
Mii_gunner,Ground Attacks,Dash Attack,10,45,--,11.0,-20,10—14,--,8,15,--,31,,
Mii_gunner,Ground Attacks,Forward Smash,17...,77,--,1.8/7.5,-31,17—38(rehit: 4)/40,Charge hold is frame 5,4/16,3/6,Multi/Final,37,,
Mii_gunner,Ground Attacks,Up Smash,11/15/19/23/27,55,--,3.0/2.5/7.0,-22,11—12/15—16/19—20/23—24/27—28,Charge hold is frame 7,5/5/7,3/3/6,First/multi/final,27,,
Mii_gunner,Ground Attacks,Down Smash,9/23,52,--,11.5/14.0,-35/-19,9/23—25,Charge hold is frame 5,9/10,8/10,--,27,,
Mii_gunner,Ground Attacks,Neutral Air,8,41,11,10.0,-7,8—21,Autocancels on frame 1-3 and 35 onward,8,4,--,20,,
Mii_gunner,Ground Attacks,Forward Air,12,43,12,8.0/6.0,-1,12—16/17—20,Autocancels on frame 44 onward,7/6,4/3,Early/Late,23,,
Mii_gunner,Ground Attacks,Back Air,9,47,11,13.0/11.0,-6,9—10/11,Autocancels on frame 1-3 and 32 onward,9,5,Normal/Late,36,,
Mii_gunner,Ground Attacks,Up Air,17...,59,13,1.8/4.0,-11/-10,17/18—32(rehit: 3)/34,Autocancels on frame 1-10 and 58 onward,4/5,2/3,Multi/Final,25,,
Mii_gunner,Ground Attacks,Down Air,20,54,17,15.0/10.0/12.0/8.0,-12/-13/-12,20—21/22—25,Autocancels on frame 1-3 and 54 onward,10/8/9,5/4/5,Far/close/late,29,,
Mii_gunner,Ground Attacks,Charge Blast,3(+12),39,--,4.0—26.0,-27 to -6,3—62,Startup is 3 from charge state. 12 frames to enter charge state. 4 to cancel charge with shield. Takes 132 frames to reach full charge,8—23,2—8,--,--,,
Mii_gunner,Ground Attacks,Laser Blaze,10,42,--,5.0,-24,10—33,Fire rate is one shot per 22 frames,6,3,--,9,,
Mii_gunner,Ground Attacks,Grenade Launch,32,53,--,1.3/6.5,+6,32—111,Explosion hits are: 1/6/11/16/18,4/6,-/3,Multi/Final,--,,
