character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Minmin,Ground Attacks,Jab 1,5,24,--,2.5,-15,5—6,"Startup and total frames assumes player presses and releases A/B in one frame, or buffers the attack. Transitions to jab 2 on frame 10",7,4,--,18,,
Minmin,Ground Attacks,Jab 2,8,31,--,2.0,-20,8—9,Transitions to rapid jab on frame 14 or jab 3 on frame 15,6,3,--,22,,
Minmin,Ground Attacks,Jab 3,6,35,--,5.5,-23,6—7,--,14,6,--,28,,
Minmin,Ground Attacks,Rapid Jab,6/8/10...,--,--,0.5,--,6/8/10...,--,4,--,--,--,,
Minmin,Ground Attacks,Rapid Jab Finisher,7,41,--,5.0,-28,6—7,--,15,6,--,34,,
Minmin,Ground Attacks,"Forward Tilt, Dragon",14,58 (53 air),--,8.0,-31,Ground: 14(15—24) // Air: 14(15—22),Endlag on hit is 28. Endlag on block is 39. Can fire other arm beginning on frame 17. Min Min can move and jump at any point of the animation,7,8,--,36,,
Minmin,Ground Attacks,"Forward Tilt, Power Dragon",14,58,--,9.2,-29,Ground: 14(15—24) // Air: 14(15—22),**,**,9,--,36,,
Minmin,Ground Attacks,"Forward Tilt, Ramram",14,51 (47 air),--,5.0,-31,Ground: 14(15—21/22—29) // Air: 14(15—19/20—24),Can fire other arm beginning on frame 17. Projectile does not launch if blocked. Endlag is 37 if blocked.,6/5,6/2,--,27,,
Minmin,Ground Attacks,"Forward Tilt, Megawatt",14,67 (59 air),--,11.0,-30 — -34,Ground: 14(15—32) // Air: 14(15—27),Can fire other arm beginning on frame 17. Endlag on hit is 22-29 depending on how far the arm must retract. Endlag on block is 40-44 depending on how far the arm must retract.,10,10,--,40,,
Minmin,Ground Attacks,Up Tilt,5,41,--,(Clean) 5.0/7.0 // (Late) 4.0/6.0,-31/-30/-29,(5-6/7-11)(6-9/10-15),"Sweetspots are Min Min's feet, legs are sourspots.",5/6/6/7,5/6/6/7,(Left Leg)(Right Leg),26,,
