character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Mythra,Ground Attacks,Jab 1,2,20,--,2.0,-15,2—4,transitions to jab 2 on frame 5,4,3,--,16,,
Mythra,Ground Attacks,Jab 2,4,30,--,2.0,-23,4—5,Transitions to jab 3 on frame 13 or Rapid on 12,4,3,--,25,,
Mythra,Ground Attacks,Jab 3,4,29,--,4.0,-20,4—6,--,8,5,--,23,,
Mythra,Ground Attacks,Rapid Jab,8/12/16...,--,--,0.4,--,8/12/16...,--,4,4,--,--,,
Mythra,Ground Attacks,Rapid Jab Finisher,6,37,--,3.0,-27,6—7,--,7,4,--,30,,
Mythra,Ground Attacks,Forward Tilt,8,25,--,5.5,-11,8—9,--,6,6,--,16,,
Mythra,Ground Attacks,Up Tilt,7,26,--,4.0,-14,7—12,--,5,5,--,14,,
Mythra,Ground Attacks,Down Tilt,5,20,--,3.0/4.0,-11/-10,5—7,--,5/5,4/5,Close/Far,13,,
Mythra,Ground Attacks,Dash Attack,9,39,--,7.0/8.5,-22,9—10,--,*/7,*/8,Closest/Far,29,,
Mythra,Ground Attacks,Forward Smash,14,49,--,13.5,-26,14—17,charge hold on frame 3,9,9,--,32,,
Mythra,Ground Attacks,Up Smash,9/12/17/22/26,52,--,2.0/1.5/6.0,-40/-21,9—10/11—24(rehit: 5)/26—27,charge hold on frame 4,4/4/6,3/2/5,launcher/multihits/final hit,25,,
Mythra,Ground Attacks,Down Smash,8/14,44,--,9.0 / 10.5 / 6.0 / 7.5,-28/-30/-22/-24,8—10/14—16,"Charge hold on frame 2. Blade and leg can both hit the same shield. Third and fourth advantage assume this scenario, first and second are single, far hits.",7/8/6/7,*/8/5/6,blade close/far / leg close/far,28,,
Mythra,Ground Attacks,Neutral Air,8,50,13,2.0/3.0/2.0,-10,8—13(rehit: 3)(14—19),autocancels on frame 1-7 and 38 onward. Landing hitbox on frame 1.,7,3,Multi/Final/Landing,31,,
Mythra,Ground Attacks,Forward Air,8,37,10,7.0,-7,8—11,autocancels on frame 1-3 and 36 onward,7,3,--,26,,
Mythra,Ground Attacks,Back Air,10,33,10,7.5/6.5,-7,10—11(12),autocancels on frame 1-3 and 26 onward,7,3,Early/Late,21,,
Mythra,Ground Attacks,Up Air,9,30,8,6.0,-5,9—13,autocancels on frame 16 onward,6,3,--,17,,
Mythra,Ground Attacks,Down Air,13,40,11,8.0/6.0,-7,13—15(16),autocancels on frame 1-4 and 29 onward,7,4,Early/Late,24,,
